year,quintil_oecd_hh,regtyp,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Urban regions,Yes,0.01937,66,1987,0.01331,0.02543
2016,1st Quintile,Urban regions,No,0.98063,1921,1987,0.97457,0.98669
2016,1st Quintile,Rural regions,Yes,0.04820,69,1109,0.03559,0.06081
2016,1st Quintile,Rural regions,No,0.95180,1040,1109,0.93919,0.96441
2016,2nd Quintile,Urban regions,Yes,0.02907,87,1849,0.02141,0.03673
2016,2nd Quintile,Urban regions,No,0.97093,1762,1849,0.96327,0.97859
2016,2nd Quintile,Rural regions,Yes,0.06863,102,1192,0.05427,0.08299
2016,2nd Quintile,Rural regions,No,0.93137,1090,1192,0.91701,0.94573
2016,3rd Quintile,Urban regions,Yes,0.03757,99,1725,0.02859,0.04655
2016,3rd Quintile,Urban regions,No,0.96243,1626,1725,0.95345,0.97141
2016,3rd Quintile,Rural regions,Yes,0.05302,65,1018,0.03925,0.06679
2016,3rd Quintile,Rural regions,No,0.94698,953,1018,0.93321,0.96075
2016,4th Quintile,Urban regions,Yes,0.02595,75,1761,0.01852,0.03338
2016,4th Quintile,Urban regions,No,0.97405,1686,1761,0.96662,0.98148
2016,4th Quintile,Rural regions,Yes,0.03739,44,901,0.02500,0.04979
2016,4th Quintile,Rural regions,No,0.96261,857,901,0.95021,0.97500
2016,5th Quintile,Urban regions,Yes,0.02292,65,2050,0.01644,0.02940
2016,5th Quintile,Urban regions,No,0.97708,1985,2050,0.97060,0.98356
2016,5th Quintile,Rural regions,Yes,0.03659,37,705,0.02272,0.05046
2016,5th Quintile,Rural regions,No,0.96341,668,705,0.94954,0.97728
2021,1st Quintile,Urban regions,No,0.98604,1323,1323,0.97971,0.99236
2021,1st Quintile,Rural regions,No,0.97725,666,666,0.96592,0.98858
2021,2nd Quintile,Urban regions,Yes,0.02732,40,1332,0.01856,0.03607
2021,2nd Quintile,Urban regions,No,0.97268,1292,1332,0.96393,0.98144
2021,2nd Quintile,Rural regions,Yes,0.04444,51,852,0.03060,0.05829
2021,2nd Quintile,Rural regions,No,0.95556,801,852,0.94171,0.96940
2021,3rd Quintile,Urban regions,Yes,0.02444,44,1299,0.01604,0.03284
2021,3rd Quintile,Urban regions,No,0.97556,1255,1299,0.96716,0.98396
2021,3rd Quintile,Rural regions,Yes,0.03993,42,725,0.02567,0.05419
2021,3rd Quintile,Rural regions,No,0.96007,683,725,0.94581,0.97433
2021,4th Quintile,Urban regions,Yes,0.02396,37,1396,0.01593,0.03198
2021,4th Quintile,Urban regions,No,0.97604,1359,1396,0.96802,0.98407
2021,4th Quintile,Rural regions,Yes,0.04277,43,682,0.02758,0.05797
2021,4th Quintile,Rural regions,No,0.95723,639,682,0.94203,0.97242
2021,5th Quintile,Urban regions,Yes,0.01367,36,2018,0.00861,0.01874
2021,5th Quintile,Urban regions,No,0.98633,1982,2018,0.98126,0.99139
2021,5th Quintile,Rural regions,Yes,0.02333,33,691,0.01207,0.03459
2021,5th Quintile,Rural regions,No,0.97667,658,691,0.96541,0.98793
