,Unnamed: 0,year,hhtyp,pet_rabbit,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Single-person household,Yes,0.00862,36,14289,0.00561,0.01176
1,1,2016,Single-person household,No,0.99138,3352,14289,0.96729,1.01452
2,2,2016,Couple without children,Yes,0.0268,105,14289,0.0218,0.03138
3,3,2016,Couple without children,No,0.9732,3992,14289,0.94716,1.00475
4,4,2016,Single parent,Yes,0.0573,92,14289,0.04165,0.07376
5,5,2016,Single parent,No,0.9427,1432,14289,0.89156,1.0063
6,6,2016,Couple with children,Yes,0.0859,463,14289,0.07678,0.09583
7,7,2016,Couple with children,No,0.9141,4527,14289,0.87987,0.95061
8,8,2016,Multi-generational household,No,1.0,99,14289,0.7546,1.26423
9,9,2016,Other Combinations,No,1.0,191,14289,0.86358,1.15873
10,10,2021,Single-person household,No,1.0,3174,10921,0.96831,1.03116
11,11,2021,Couple without children,Yes,0.02111,57,10921,0.01569,0.02759
12,12,2021,Couple without children,No,0.97889,3341,10921,0.93672,1.01917
13,13,2021,Single parent,Yes,0.06231,49,10921,0.04257,0.08525
14,14,2021,Single parent,No,0.93769,845,10921,0.8486,1.00208
15,15,2021,Couple with children,Yes,0.06422,234,10921,0.05165,0.07724
16,16,2021,Couple with children,No,0.93578,2905,10921,0.89014,0.97533
17,17,2021,Multi-generational household,No,1.0,69,10921,0.67407,1.39869
18,18,2021,Other Combinations,No,1.0,247,10921,0.87016,1.16602
