,Unnamed: 0,year,bula_h,hhtyp,pet_rabbit,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Schleswig-Holstein,Single-person household,No,1.0,127,13594,0.84197,1.13358
1,1,2016,Schleswig-Holstein,Couple without children,No,1.0,129,13594,0.83449,1.16849
2,2,2016,Schleswig-Holstein,Single parent,No,1.0,57,13594,0.79976,1.21454
3,3,2016,Schleswig-Holstein,Couple with children,No,1.0,159,13594,0.83946,1.23242
4,4,2016,Hamburg,Single-person household,No,1.0,71,13594,0.86264,1.14873
5,5,2016,Hamburg,Couple without children,No,1.0,68,13594,0.78967,1.23214
6,6,2016,Hamburg,Couple with children,No,1.0,88,13594,0.76564,1.24845
7,7,2016,Lower Saxony,Single-person household,No,1.0,284,13594,0.91214,1.09887
8,8,2016,Lower Saxony,Couple without children,No,1.0,387,13594,0.90789,1.08296
9,9,2016,Lower Saxony,Single parent,No,1.0,149,13594,0.82316,1.20569
10,10,2016,Lower Saxony,Couple with children,Yes,0.08105,45,13594,0.05322,0.10937
11,11,2016,Lower Saxony,Couple with children,No,0.91895,433,13594,0.80219,1.0352
12,12,2016,Bremen,Couple with children,No,1.0,34,13594,0.62029,1.49172
13,13,2016,North Rhine-Westphalia,Single-person household,No,1.0,605,13594,0.94169,1.05242
14,14,2016,North Rhine-Westphalia,Couple without children,No,1.0,774,13594,0.9239,1.06426
15,15,2016,North Rhine-Westphalia,Single parent,No,1.0,293,13594,0.88103,1.12174
16,16,2016,North Rhine-Westphalia,Couple with children,Yes,0.06232,81,13594,0.04667,0.08207
17,17,2016,North Rhine-Westphalia,Couple with children,No,0.93768,1058,13594,0.87299,1.01902
18,18,2016,North Rhine-Westphalia,Other Combinations,No,1.0,44,13594,0.76004,1.31513
19,19,2016,Hesse,Single-person household,No,1.0,209,13594,0.91889,1.09941
20,20,2016,Hesse,Couple without children,No,1.0,271,13594,0.90791,1.10823
21,21,2016,Hesse,Single parent,No,1.0,102,13594,0.79222,1.28317
22,22,2016,Hesse,Couple with children,No,1.0,320,13594,0.86654,1.13847
23,23,2016,"Rhineland-Palatinate, Saarland",Single-person household,No,1.0,205,13594,0.9162,1.08625
24,24,2016,"Rhineland-Palatinate, Saarland",Couple without children,No,1.0,234,13594,0.89216,1.13431
25,25,2016,"Rhineland-Palatinate, Saarland",Single parent,No,1.0,74,13594,0.78736,1.17862
26,26,2016,"Rhineland-Palatinate, Saarland",Couple with children,Yes,0.1252,34,13594,0.08622,0.17382
27,27,2016,"Rhineland-Palatinate, Saarland",Couple with children,No,0.8748,262,13594,0.74189,1.05515
28,28,2016,Baden-Wuerttemberg,Single-person household,No,1.0,342,13594,0.90595,1.08642
29,29,2016,Baden-Wuerttemberg,Couple without children,No,1.0,421,13594,0.9089,1.09231
30,30,2016,Baden-Wuerttemberg,Single parent,No,1.0,141,13594,0.8495,1.14809
31,31,2016,Baden-Wuerttemberg,Couple with children,Yes,0.07168,60,13594,0.05091,0.09645
32,32,2016,Baden-Wuerttemberg,Couple with children,No,0.92832,610,13594,0.83471,1.02639
33,33,2016,Bavaria,Single-person household,No,1.0,516,13594,0.93112,1.07123
34,34,2016,Bavaria,Couple without children,No,1.0,628,13594,0.91771,1.07686
35,35,2016,Bavaria,Single parent,No,1.0,222,13594,0.83048,1.16182
36,36,2016,Bavaria,Couple with children,Yes,0.08546,85,13594,0.06902,0.11119
37,37,2016,Bavaria,Couple with children,No,0.91454,781,13594,0.82676,1.00066
38,38,2016,Berlin,Single-person household,No,1.0,224,13594,0.89618,1.08327
39,39,2016,Berlin,Couple without children,No,1.0,167,13594,0.85203,1.1534
40,40,2016,Berlin,Single parent,No,1.0,66,13594,0.81042,1.20797
