year,hhtyp,regtyp,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,Urban regions,No,0.99462,2300,2300,0.99163,0.99761
2016,Single-person household,Rural regions,No,0.98348,1052,1052,0.97577,0.99119
2016,Couple without children,Urban regions,Yes,0.01765,49,2568,0.01255,0.02274
2016,Couple without children,Urban regions,No,0.98235,2519,2568,0.97726,0.98745
2016,Couple without children,Rural regions,Yes,0.04414,56,1529,0.03384,0.05444
2016,Couple without children,Rural regions,No,0.95586,1473,1529,0.94556,0.96616
2016,Single parent,Urban regions,Yes,0.05893,59,992,0.04427,0.07359
2016,Single parent,Urban regions,No,0.94107,933,992,0.92641,0.95573
2016,Single parent,Rural regions,Yes,0.05560,33,532,0.03611,0.07509
2016,Single parent,Rural regions,No,0.94440,499,532,0.92491,0.96389
2016,Couple with children,Urban regions,Yes,0.07188,260,3297,0.06306,0.08070
2016,Couple with children,Urban regions,No,0.92812,3037,3297,0.91930,0.93694
2016,Couple with children,Rural regions,Yes,0.11643,203,1693,0.10115,0.13172
2016,Couple with children,Rural regions,No,0.88357,1490,1693,0.86828,0.89885
2016,Multi-generational household,Urban regions,No,0.94134,61,61,0.88188,1.00080
2016,Multi-generational household,Rural regions,No,0.88360,38,38,0.78026,0.98694
2016,Other Combinations,Urban regions,No,0.98413,135,135,0.96296,1.00529
2016,Other Combinations,Rural regions,No,0.96633,56,56,0.91866,1.01400
2021,No answer / don't know,Urban regions,No,0.93968,35,35,0.85965,1.01971
2021,Single-person household,Urban regions,No,0.99797,2241,2241,0.99611,0.99984
2021,Single-person household,Rural regions,No,0.98873,926,926,0.98193,0.99553
2021,Couple without children,Urban regions,No,0.98541,2196,2196,0.98040,0.99043
2021,Couple without children,Rural regions,Yes,0.03285,36,1197,0.02275,0.04295
2021,Couple without children,Rural regions,No,0.96715,1161,1197,0.95705,0.97725
2021,Single parent,Urban regions,No,0.95126,546,546,0.93318,0.96934
2021,Single parent,Rural regions,No,0.91456,301,301,0.88293,0.94619
2021,Couple with children,Urban regions,Yes,0.06157,124,2101,0.05129,0.07185
2021,Couple with children,Urban regions,No,0.93843,1977,2101,0.92815,0.94871
2021,Couple with children,Rural regions,Yes,0.07075,113,1061,0.05531,0.08618
2021,Couple with children,Rural regions,No,0.92925,948,1061,0.91382,0.94469
2021,Multi-generational household,Urban regions,No,0.95875,45,45,0.89999,1.01751
2021,Other Combinations,Urban regions,No,0.99857,185,185,0.99312,1.00403
2021,Other Combinations,Rural regions,No,0.96319,73,73,0.91970,1.00668
