year,regtyp,sampreg,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,West,Yes,0.02515,328,8255,0.02178,0.02853
2016,Urban regions,West,No,0.97485,7927,8255,0.97147,0.97822
2016,Urban regions,East,Yes,0.04247,64,1122,0.03066,0.05427
2016,Urban regions,East,No,0.95753,1058,1122,0.94573,0.96934
2016,Rural regions,West,Yes,0.03626,166,2973,0.02954,0.04298
2016,Rural regions,West,No,0.96374,2807,2973,0.95702,0.97046
2016,Rural regions,East,Yes,0.07417,151,1952,0.06254,0.08580
2016,Rural regions,East,No,0.92583,1801,1952,0.91420,0.93746
2021,Urban regions,West,Yes,0.02028,155,6511,0.01685,0.02370
2021,Urban regions,West,No,0.97972,6356,6511,0.97630,0.98315
2021,Urban regions,East,No,0.97778,869,869,0.96797,0.98759
2021,Rural regions,West,Yes,0.02659,94,2153,0.01979,0.03338
2021,Rural regions,West,No,0.97341,2059,2153,0.96662,0.98021
2021,Rural regions,East,Yes,0.05114,100,1493,0.03996,0.06231
2021,Rural regions,East,No,0.94886,1393,1493,0.93769,0.96004
