year,bula_h,sampreg,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,West,No,0.97947,483,483,0.96682,0.99213
2016,Hamburg,West,No,0.99534,260,260,0.98705,1.00363
2016,Lower Saxony,West,Yes,0.02499,62,1348,0.01666,0.03333
2016,Lower Saxony,West,No,0.97501,1286,1348,0.96667,0.98334
2016,Bremen,West,No,0.99645,103,103,0.98492,1.00799
2016,North Rhine-Westphalia,West,Yes,0.02610,116,2907,0.02030,0.03190
2016,North Rhine-Westphalia,West,No,0.97390,2791,2907,0.96810,0.97970
2016,Hesse,West,Yes,0.03085,43,978,0.02001,0.04170
2016,Hesse,West,No,0.96915,935,978,0.95830,0.97999
2016,"Rhineland-Palatinate, Saarland",West,Yes,0.03612,48,848,0.02356,0.04869
2016,"Rhineland-Palatinate, Saarland",West,No,0.96388,800,848,0.95131,0.97644
2016,Baden-Wuerttemberg,West,Yes,0.03437,81,1627,0.02552,0.04323
2016,Baden-Wuerttemberg,West,No,0.96563,1546,1627,0.95677,0.97448
2016,Bavaria,West,Yes,0.03119,112,2300,0.02409,0.03830
2016,Bavaria,West,No,0.96881,2188,2300,0.96170,0.97591
2016,Berlin,West,No,0.98477,342,342,0.97177,0.99777
2016,Berlin,East,No,0.98765,256,256,0.97409,1.00120
2016,Brandenburg,East,Yes,0.06843,38,562,0.04754,0.08932
2016,Brandenburg,East,No,0.93157,524,562,0.91068,0.95246
2016,Mecklenburg-Western Pomerania,East,No,0.95765,314,314,0.93534,0.97996
2016,Saxony,East,Yes,0.08503,76,865,0.06643,0.10362
2016,Saxony,East,No,0.91497,789,865,0.89638,0.93357
2016,Saxony-Anhalt,East,No,0.93454,483,483,0.91246,0.95662
2016,Thuringa,East,Yes,0.06144,51,544,0.04124,0.08164
2016,Thuringa,East,No,0.93856,493,544,0.91836,0.95876
2021,Schleswig-Holstein,West,No,0.98419,415,415,0.97218,0.99621
2021,Hamburg,West,No,0.98314,263,263,0.96755,0.99873
2021,Lower Saxony,West,Yes,0.02430,33,1062,0.01504,0.03357
2021,Lower Saxony,West,No,0.97570,1029,1062,0.96643,0.98496
2021,North Rhine-Westphalia,West,Yes,0.01648,53,2283,0.01126,0.02170
2021,North Rhine-Westphalia,West,No,0.98352,2230,2283,0.97830,0.98874
2021,Hesse,West,No,0.97659,681,681,0.96522,0.98795
2021,"Rhineland-Palatinate, Saarland",West,No,0.98213,517,517,0.97070,0.99356
2021,Baden-Wuerttemberg,West,Yes,0.03203,39,1215,0.02212,0.04193
2021,Baden-Wuerttemberg,West,No,0.96797,1176,1215,0.95807,0.97788
2021,Bavaria,West,Yes,0.02395,71,1747,0.01678,0.03113
2021,Bavaria,West,No,0.97605,1676,1747,0.96887,0.98322
2021,Berlin,West,No,0.98296,349,349,0.96936,0.99656
2021,Berlin,East,No,0.98510,194,194,0.96800,1.00219
2021,Brandenburg,East,No,0.98161,432,432,0.96893,0.99430
2021,Mecklenburg-Western Pomerania,East,No,0.93631,245,245,0.90567,0.96695
2021,Saxony,East,Yes,0.05586,50,733,0.03922,0.07250
2021,Saxony,East,No,0.94414,683,733,0.92750,0.96078
2021,Saxony-Anhalt,East,No,0.97019,348,348,0.95229,0.98808
2021,Thuringa,East,No,0.94878,360,360,0.92598,0.97159
