year,hhtyp,sampreg,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,West,No,0.98893,2518,2518,0.98485,0.99302
2016,Single-person household,East,No,0.97001,834,834,0.95843,0.98159
2016,Couple without children,West,Yes,0.01854,52,3085,0.01378,0.02330
2016,Couple without children,West,No,0.98070,3033,3085,0.97585,0.98556
2016,Couple without children,East,Yes,0.06464,53,1012,0.04948,0.07980
2016,Couple without children,East,No,0.93452,959,1012,0.91927,0.94977
2016,Single parent,West,Yes,0.05245,63,1188,0.03977,0.06513
2016,Single parent,West,No,0.94200,1125,1188,0.92871,0.95530
2016,Single parent,East,No,0.90926,307,307,0.87708,0.94145
2016,Couple with children,West,Yes,0.07426,355,4169,0.06630,0.08222
2016,Couple with children,West,No,0.91846,3814,4169,0.91015,0.92677
2016,Couple with children,East,Yes,0.14661,108,821,0.12240,0.17082
2016,Couple with children,East,No,0.84417,713,821,0.81934,0.86899
2016,Multi-generational household,West,No,0.92276,79,79,0.86351,0.98201
2016,Other Combinations,West,No,0.94929,165,165,0.91571,0.98287
2021,Single-person household,West,No,0.98763,2470,2470,0.98328,0.99199
2021,Single-person household,East,No,0.97214,698,698,0.95993,0.98436
2021,Couple without children,West,No,0.98156,2565,2565,0.97636,0.98677
2021,Couple without children,East,No,0.95922,792,792,0.94544,0.97301
2021,Single parent,West,Yes,0.05393,33,657,0.03665,0.07122
2021,Single parent,West,No,0.92899,624,657,0.90934,0.94865
2021,Single parent,East,No,0.90151,223,223,0.86231,0.94071
2021,Couple with children,West,Yes,0.05974,168,2611,0.05065,0.06883
2021,Couple with children,West,No,0.91701,2443,2611,0.90643,0.92760
2021,Couple with children,East,Yes,0.08305,69,551,0.05999,0.10611
2021,Couple with children,East,No,0.89654,482,551,0.87109,0.92199
2021,Multi-generational household,West,No,0.91357,54,54,0.83791,0.98922
2021,Other Combinations,West,No,0.97012,217,217,0.94742,0.99283
2021,Other Combinations,East,No,0.90619,41,41,0.81584,0.99655
