year,hhtyp,quintil_oecd_hh,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,1st Quintile,No,0.96750,979,979,0.95638,0.97861
2016,Single-person household,2nd Quintile,No,0.98550,714,714,0.97672,0.99427
2016,Single-person household,3rd Quintile,No,0.99088,629,629,0.98344,0.99831
2016,Single-person household,4th Quintile,No,0.99647,550,550,0.99151,1.00143
2016,Single-person household,5th Quintile,No,0.99735,476,476,0.99273,1.00197
2016,Couple without children,1st Quintile,No,0.95952,422,422,0.94070,0.97835
2016,Couple without children,2nd Quintile,No,0.96294,681,681,0.94874,0.97713
2016,Couple without children,3rd Quintile,No,0.96715,738,738,0.95428,0.98001
2016,Couple without children,4th Quintile,No,0.98060,912,912,0.97164,0.98955
2016,Couple without children,5th Quintile,No,0.97871,1239,1239,0.97067,0.98675
2016,Single parent,1st Quintile,Yes,0.06423,45,653,0.04541,0.08305
2016,Single parent,1st Quintile,No,0.91949,608,653,0.89861,0.94038
2016,Single parent,2nd Quintile,No,0.94040,384,384,0.91669,0.96411
2016,Single parent,3rd Quintile,No,0.92455,215,215,0.88916,0.95993
2016,Single parent,4th Quintile,No,0.97335,145,145,0.94704,0.99966
2016,Single parent,5th Quintile,No,0.98830,80,80,0.96459,1.01201
2016,Couple with children,1st Quintile,Yes,0.06425,65,926,0.04845,0.08005
2016,Couple with children,1st Quintile,No,0.88236,861,926,0.86159,0.90312
2016,Couple with children,2nd Quintile,Yes,0.10207,119,1112,0.08427,0.11987
2016,Couple with children,2nd Quintile,No,0.89793,993,1112,0.88013,0.91573
2016,Couple with children,3rd Quintile,Yes,0.10278,118,1057,0.08447,0.12110
2016,Couple with children,3rd Quintile,No,0.89722,939,1057,0.87890,0.91553
2016,Couple with children,4th Quintile,Yes,0.08286,93,993,0.06571,0.10002
2016,Couple with children,4th Quintile,No,0.91714,900,993,0.89998,0.93429
2016,Couple with children,5th Quintile,Yes,0.06609,68,901,0.04986,0.08232
2016,Couple with children,5th Quintile,No,0.93391,833,901,0.91768,0.95014
2016,Multi-generational household,1st Quintile,No,0.89135,32,32,0.78180,1.00090
2016,Multi-generational household,2nd Quintile,No,0.98847,34,34,0.95204,1.02490
2016,Other Combinations,1st Quintile,No,0.82242,59,59,0.72406,0.92077
2016,Other Combinations,2nd Quintile,No,0.96694,46,46,0.91470,1.01918
2016,Other Combinations,3rd Quintile,No,0.99343,38,38,0.96739,1.01947
2021,Single-person household,1st Quintile,No,0.97267,931,931,0.96219,0.98315
2021,Single-person household,2nd Quintile,No,0.98030,618,618,0.96933,0.99126
2021,Single-person household,3rd Quintile,No,0.99497,552,552,0.98906,1.00088
2021,Single-person household,4th Quintile,No,0.99758,511,511,0.99332,1.00184
2021,Single-person household,5th Quintile,No,0.99247,540,540,0.98517,0.99977
2021,Couple without children,1st Quintile,No,0.97531,334,334,0.95865,0.99198
2021,Couple without children,2nd Quintile,No,0.96356,546,546,0.94783,0.97930
2021,Couple without children,3rd Quintile,No,0.97274,553,553,0.95915,0.98632
2021,Couple without children,4th Quintile,No,0.98018,687,687,0.96975,0.99061
2021,Couple without children,5th Quintile,No,0.98721,1235,1235,0.98094,0.99348
2021,Single parent,1st Quintile,No,0.87904,256,256,0.83901,0.91906
2021,Single parent,2nd Quintile,No,0.91485,262,262,0.88099,0.94871
2021,Single parent,3rd Quintile,No,0.95394,133,133,0.91818,0.98970
2021,Single parent,4th Quintile,No,0.98424,119,119,0.96177,1.00671
2021,Single parent,5th Quintile,No,0.99694,76,76,0.98443,1.00944
2021,Couple with children,1st Quintile,No,0.81847,381,381,0.77971,0.85722
2021,Couple with children,2nd Quintile,Yes,0.05864,47,631,0.04029,0.07698
2021,Couple with children,2nd Quintile,No,0.93018,584,631,0.91028,0.95008
2021,Couple with children,3rd Quintile,Yes,0.07003,58,688,0.05094,0.08911
2021,Couple with children,3rd Quintile,No,0.92792,630,688,0.90858,0.94726
2021,Couple with children,4th Quintile,Yes,0.09260,58,669,0.07062,0.11458
2021,Couple with children,4th Quintile,No,0.90589,611,669,0.88375,0.92803
2021,Couple with children,5th Quintile,Yes,0.04612,50,769,0.03129,0.06096
2021,Couple with children,5th Quintile,No,0.94463,719,769,0.92846,0.96081
2021,Other Combinations,1st Quintile,No,0.85697,52,52,0.76088,0.95306
2021,Other Combinations,2nd Quintile,No,0.97373,53,53,0.93025,1.01720
2021,Other Combinations,3rd Quintile,No,0.99664,50,50,0.98043,1.01285
2021,Other Combinations,4th Quintile,No,0.99428,50,50,0.97317,1.01539
2021,Other Combinations,5th Quintile,No,0.99802,53,53,0.98595,1.01010
