year,quintil_oecd_hh,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,1st Quintile,Yes,0.40681,1382,3408,0.39031,0.42330
2015,1st Quintile,No,0.59319,2026,3408,0.57670,0.60969
2015,2nd Quintile,Yes,0.47952,1662,3278,0.46241,0.49662
2015,2nd Quintile,No,0.52048,1616,3278,0.50338,0.53759
2015,3rd Quintile,Yes,0.57594,1741,2956,0.55812,0.59376
2015,3rd Quintile,No,0.42406,1215,2956,0.40624,0.44188
2015,4th Quintile,Yes,0.58652,1728,2766,0.56816,0.60487
2015,4th Quintile,No,0.41348,1038,2766,0.39513,0.43184
2015,5th Quintile,Yes,0.65098,1983,2923,0.63370,0.66826
2015,5th Quintile,No,0.34902,940,2923,0.33174,0.36630
2016,1st Quintile,Yes,0.43062,1358,3042,0.41302,0.44822
2016,1st Quintile,No,0.56938,1684,3042,0.55178,0.58698
2016,2nd Quintile,Yes,0.52127,1686,3017,0.50344,0.53910
2016,2nd Quintile,No,0.47873,1331,3017,0.46090,0.49656
2016,3rd Quintile,Yes,0.63325,1753,2727,0.61516,0.65134
2016,3rd Quintile,No,0.36675,974,2727,0.34866,0.38484
2016,4th Quintile,Yes,0.66616,1810,2653,0.64821,0.68410
2016,4th Quintile,No,0.33384,843,2653,0.31590,0.35179
2016,5th Quintile,Yes,0.70434,1960,2744,0.68727,0.72142
2016,5th Quintile,No,0.29566,784,2744,0.27858,0.31273
2017,1st Quintile,Yes,0.47852,1567,3156,0.46109,0.49595
2017,1st Quintile,No,0.52148,1589,3156,0.50405,0.53891
2017,2nd Quintile,Yes,0.56615,1886,3209,0.54900,0.58330
2017,2nd Quintile,No,0.43385,1323,3209,0.41670,0.45100
2017,3rd Quintile,Yes,0.64101,2035,3075,0.62405,0.65796
2017,3rd Quintile,No,0.35899,1040,3075,0.34204,0.37595
2017,4th Quintile,Yes,0.65328,2066,3034,0.63634,0.67021
2017,4th Quintile,No,0.34672,968,3034,0.32979,0.36366
2017,5th Quintile,Yes,0.71103,2259,3082,0.69503,0.72704
2017,5th Quintile,No,0.28897,823,3082,0.27296,0.30497
2018,1st Quintile,Yes,0.51343,1680,3252,0.49625,0.53061
2018,1st Quintile,No,0.48657,1572,3252,0.46939,0.50375
2018,2nd Quintile,Yes,0.58565,1963,3276,0.56878,0.60252
2018,2nd Quintile,No,0.41435,1313,3276,0.39748,0.43122
2018,3rd Quintile,Yes,0.63939,1914,2923,0.62197,0.65680
2018,3rd Quintile,No,0.36061,1009,2923,0.34320,0.37803
2018,4th Quintile,Yes,0.69207,2049,2872,0.67519,0.70896
2018,4th Quintile,No,0.30793,823,2872,0.29104,0.32481
2018,5th Quintile,Yes,0.74021,2232,3001,0.72452,0.75590
2018,5th Quintile,No,0.25979,769,3001,0.24410,0.27548
2019,1st Quintile,Yes,0.50029,1234,2389,0.48023,0.52034
2019,1st Quintile,No,0.49971,1155,2389,0.47966,0.51977
2019,2nd Quintile,Yes,0.59370,1595,2604,0.57484,0.61257
2019,2nd Quintile,No,0.40630,1009,2604,0.38743,0.42516
2019,3rd Quintile,Yes,0.63491,1638,2503,0.61604,0.65378
2019,3rd Quintile,No,0.36509,865,2503,0.34622,0.38396
2019,4th Quintile,Yes,0.69076,1758,2459,0.67249,0.70903
2019,4th Quintile,No,0.30924,701,2459,0.29097,0.32751
2019,5th Quintile,Yes,0.74482,1946,2591,0.72803,0.76161
2019,5th Quintile,No,0.25518,645,2591,0.23839,0.27197
2020,1st Quintile,Yes,0.52051,1609,3339,0.50356,0.53746
2020,1st Quintile,No,0.47949,1730,3339,0.46254,0.49644
2020,2nd Quintile,Yes,0.62003,1946,3271,0.60339,0.63666
2020,2nd Quintile,No,0.37997,1325,3271,0.36334,0.39661
2020,3rd Quintile,Yes,0.65718,1890,2849,0.63975,0.67461
2020,3rd Quintile,No,0.34282,959,2849,0.32539,0.36025
2020,4th Quintile,Yes,0.70059,2009,2839,0.68374,0.71744
2020,4th Quintile,No,0.29941,830,2839,0.28256,0.31626
2020,5th Quintile,Yes,0.76001,2869,3724,0.74629,0.77373
2020,5th Quintile,No,0.23999,855,3724,0.22627,0.25371
2021,1st Quintile,Yes,0.51007,925,1747,0.48662,0.53352
2021,1st Quintile,No,0.48993,822,1747,0.46648,0.51338
2021,2nd Quintile,Yes,0.60476,1195,1957,0.58309,0.62643
2021,2nd Quintile,No,0.39524,762,1957,0.37357,0.41691
2021,3rd Quintile,Yes,0.67565,1231,1824,0.65416,0.69714
2021,3rd Quintile,No,0.32435,593,1824,0.30286,0.34584
2021,4th Quintile,Yes,0.69760,1345,1886,0.67687,0.71834
2021,4th Quintile,No,0.30240,541,1886,0.28166,0.32313
2021,5th Quintile,Yes,0.74543,1832,2420,0.72807,0.76278
2021,5th Quintile,No,0.25457,588,2420,0.23722,0.27193
2022,Not included in this version of the questionnaire,Yes,0.47853,95,184,0.40615,0.55091
2022,Not included in this version of the questionnaire,No,0.52147,89,184,0.44909,0.59385
2022,1st Quintile,Yes,0.56223,2556,4300,0.54740,0.57706
2022,1st Quintile,No,0.43777,1744,4300,0.42294,0.45260
2022,2nd Quintile,Yes,0.60789,2351,3742,0.59224,0.62353
2022,2nd Quintile,No,0.39211,1391,3742,0.37647,0.40776
2022,3rd Quintile,Yes,0.66508,2242,3308,0.64900,0.68117
2022,3rd Quintile,No,0.33492,1066,3308,0.31883,0.35100
2022,4th Quintile,Yes,0.67376,2346,3337,0.65785,0.68967
2022,4th Quintile,No,0.32624,991,3337,0.31033,0.34215
2022,5th Quintile,Yes,0.72242,2797,3784,0.70815,0.73669
2022,5th Quintile,No,0.27758,987,3784,0.26331,0.29185
