year,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Yes,0.54019,8498,15335,0.53230,0.54808
2015,No,0.45981,6837,15335,0.45192,0.46770
2016,Yes,0.59214,8567,14188,0.58405,0.60023
2016,No,0.40786,5621,14188,0.39977,0.41595
2017,Yes,0.61114,9814,15560,0.60348,0.61880
2017,No,0.38886,5746,15560,0.38120,0.39652
2018,Yes,0.63513,9841,15329,0.62751,0.64275
2018,No,0.36487,5488,15329,0.35725,0.37249
2019,Yes,0.63488,8172,12549,0.62646,0.64331
2019,No,0.36512,4377,12549,0.35669,0.37354
2020,Yes,0.65296,10329,16050,0.64560,0.66033
2020,No,0.34704,5721,16050,0.33967,0.35440
2021,Yes,0.64831,6536,9851,0.63888,0.65774
2021,No,0.35169,3315,9851,0.34226,0.36112
2022,Yes,0.64643,12387,18655,0.63957,0.65329
2022,No,0.35357,6268,18655,0.34671,0.36043
