year,hhtyp,regtyp,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,Urban regions,Yes,0.46020,1096,2377,0.44016,0.48024
2015,Single-person household,Urban regions,No,0.53980,1281,2377,0.51976,0.55984
2015,Single-person household,Rural regions,Yes,0.50220,574,1128,0.47301,0.53139
2015,Single-person household,Rural regions,No,0.49780,554,1128,0.46861,0.52699
2015,Couple without children,Urban regions,Yes,0.58886,1559,2699,0.57029,0.60743
2015,Couple without children,Urban regions,No,0.41114,1140,2699,0.39257,0.42971
2015,Couple without children,Rural regions,Yes,0.61703,967,1567,0.59296,0.64111
2015,Couple without children,Rural regions,No,0.38297,600,1567,0.35889,0.40704
2015,Single parent,Urban regions,Yes,0.45363,518,1072,0.42381,0.48344
2015,Single parent,Urban regions,No,0.54637,554,1072,0.51656,0.57619
2015,Single parent,Rural regions,Yes,0.51291,310,576,0.47206,0.55377
2015,Single parent,Rural regions,No,0.48709,266,576,0.44623,0.52794
2015,Couple with children,Urban regions,Yes,0.59109,2105,3664,0.57517,0.60701
2015,Couple with children,Urban regions,No,0.40891,1559,3664,0.39299,0.42483
2015,Couple with children,Rural regions,Yes,0.66177,1196,1873,0.64034,0.68321
2015,Couple with children,Rural regions,No,0.33823,677,1873,0.31679,0.35966
2015,Multi-generational household,Urban regions,Yes,0.38721,31,80,0.27980,0.49463
2015,Multi-generational household,Urban regions,No,0.61279,49,80,0.50537,0.72020
2015,Other Combinations,Urban regions,Yes,0.49500,83,179,0.42155,0.56846
2015,Other Combinations,Urban regions,No,0.50500,96,179,0.43154,0.57845
2015,Other Combinations,Rural regions,No,0.59423,34,34,0.42669,0.76177
2016,Single-person household,Urban regions,Yes,0.51438,1170,2282,0.49387,0.53489
2016,Single-person household,Urban regions,No,0.48562,1112,2282,0.46511,0.50613
2016,Single-person household,Rural regions,Yes,0.54577,609,1062,0.51581,0.57573
2016,Single-person household,Rural regions,No,0.45423,453,1062,0.42427,0.48419
2016,Couple without children,Urban regions,Yes,0.66208,1655,2546,0.64370,0.68045
2016,Couple without children,Urban regions,No,0.33792,891,2546,0.31955,0.35630
2016,Couple without children,Rural regions,Yes,0.67582,1021,1524,0.65232,0.69933
2016,Couple without children,Rural regions,No,0.32418,503,1524,0.30067,0.34768
2016,Single parent,Urban regions,Yes,0.48762,514,980,0.45631,0.51894
2016,Single parent,Urban regions,No,0.51238,466,980,0.48106,0.54369
2016,Single parent,Rural regions,Yes,0.51289,279,526,0.47013,0.55565
2016,Single parent,Rural regions,No,0.48711,247,526,0.44435,0.52987
2016,Couple with children,Urban regions,Yes,0.62167,2032,3280,0.60507,0.63827
2016,Couple with children,Urban regions,No,0.37833,1248,3280,0.36173,0.39493
2016,Couple with children,Rural regions,Yes,0.70978,1133,1687,0.68812,0.73145
2016,Couple with children,Rural regions,No,0.29022,554,1687,0.26855,0.31188
2016,Multi-generational household,Urban regions,Yes,0.59928,36,36,0.43693,0.76163
2016,Other Combinations,Urban regions,Yes,0.50419,64,136,0.41985,0.58853
2016,Other Combinations,Urban regions,No,0.49581,72,136,0.41147,0.58015
2016,Other Combinations,Rural regions,Yes,0.44832,32,32,0.27325,0.62339
2017,Single-person household,Urban regions,Yes,0.55456,1415,2551,0.53527,0.57385
2017,Single-person household,Urban regions,No,0.44544,1136,2551,0.42615,0.46473
2017,Single-person household,Rural regions,Yes,0.55361,701,1228,0.52579,0.58143
2017,Single-person household,Rural regions,No,0.44639,527,1228,0.41857,0.47421
2017,Couple without children,Urban regions,Yes,0.64883,1891,2873,0.63137,0.66629
2017,Couple without children,Urban regions,No,0.35117,982,2873,0.33371,0.36863
2017,Couple without children,Rural regions,Yes,0.68473,1147,1716,0.66274,0.70672
2017,Couple without children,Rural regions,No,0.31527,569,1716,0.29328,0.33726
2017,Single parent,Urban regions,Yes,0.51069,543,983,0.47942,0.54195
2017,Single parent,Urban regions,No,0.48931,440,983,0.45805,0.52058
2017,Single parent,Rural regions,Yes,0.54161,318,544,0.49970,0.58352
2017,Single parent,Rural regions,No,0.45839,226,544,0.41648,0.50030
2017,Couple with children,Urban regions,Yes,0.67291,2361,3494,0.65735,0.68847
2017,Couple with children,Urban regions,No,0.32709,1133,3494,0.31153,0.34265
2017,Couple with children,Rural regions,Yes,0.71348,1240,1802,0.69259,0.73436
2017,Couple with children,Rural regions,No,0.28652,562,1802,0.26564,0.30741
2017,Multi-generational household,Urban regions,Yes,0.44228,34,69,0.32424,0.56033
2017,Multi-generational household,Urban regions,No,0.55772,35,69,0.43967,0.67576
2017,Other Combinations,Urban regions,Yes,0.54674,99,181,0.47402,0.61947
2017,Other Combinations,Urban regions,No,0.45326,82,181,0.38053,0.52598
2017,Other Combinations,Rural regions,Yes,0.48193,46,46,0.33594,0.62793
2018,Single-person household,Urban regions,Yes,0.58067,1572,2721,0.56212,0.59921
2018,Single-person household,Urban regions,No,0.41933,1149,2721,0.40079,0.43788
2018,Single-person household,Rural regions,Yes,0.58818,751,1257,0.56096,0.61540
2018,Single-person household,Rural regions,No,0.41182,506,1257,0.38460,0.43904
2018,Couple without children,Urban regions,Yes,0.67828,1925,2843,0.66111,0.69546
2018,Couple without children,Urban regions,No,0.32172,918,2843,0.30454,0.33889
2018,Couple without children,Rural regions,Yes,0.69600,1150,1675,0.67396,0.71803
2018,Couple without children,Rural regions,No,0.30400,525,1675,0.28197,0.32604
2018,Single parent,Urban regions,Yes,0.55933,560,993,0.52843,0.59022
2018,Single parent,Urban regions,No,0.44067,433,993,0.40978,0.47157
2018,Single parent,Rural regions,Yes,0.55662,288,502,0.51312,0.60012
2018,Single parent,Rural regions,No,0.44338,214,502,0.39988,0.48688
2018,Couple with children,Urban regions,Yes,0.69124,2234,3281,0.67543,0.70705
2018,Couple with children,Urban regions,No,0.30876,1047,3281,0.29295,0.32457
2018,Couple with children,Rural regions,Yes,0.69684,1169,1716,0.67509,0.71860
2018,Couple with children,Rural regions,No,0.30316,547,1716,0.28140,0.32491
2018,Multi-generational household,Urban regions,Yes,0.59741,45,76,0.48642,0.70840
2018,Multi-generational household,Urban regions,No,0.40259,31,76,0.29160,0.51358
2018,Other Combinations,Urban regions,Yes,0.60243,89,160,0.52636,0.67850
2018,Other Combinations,Urban regions,No,0.39757,71,160,0.32150,0.47364
2018,Other Combinations,Rural regions,Yes,0.56047,40,40,0.40469,0.71624
2019,Single-person household,Urban regions,Yes,0.58579,1296,2192,0.56517,0.60642
2019,Single-person household,Urban regions,No,0.41421,896,2192,0.39358,0.43483
2019,Single-person household,Rural regions,Yes,0.57441,621,1044,0.54441,0.60442
2019,Single-person household,Rural regions,No,0.42559,423,1044,0.39558,0.45559
2019,Couple without children,Urban regions,Yes,0.68361,1642,2400,0.66499,0.70222
2019,Couple without children,Urban regions,No,0.31639,758,2400,0.29778,0.33501
2019,Couple without children,Rural regions,Yes,0.69520,981,1447,0.67148,0.71893
2019,Couple without children,Rural regions,No,0.30480,466,1447,0.28107,0.32852
2019,Single parent,Urban regions,Yes,0.54158,480,824,0.50754,0.57562
2019,Single parent,Urban regions,No,0.45842,344,824,0.42438,0.49246
2019,Single parent,Rural regions,Yes,0.58647,237,397,0.53797,0.63498
2019,Single parent,Rural regions,No,0.41353,160,397,0.36502,0.46203
2019,Couple with children,Urban regions,Yes,0.68113,1795,2605,0.66323,0.69903
2019,Couple with children,Urban regions,No,0.31887,810,2605,0.30097,0.33677
2019,Couple with children,Rural regions,Yes,0.71067,977,1395,0.68687,0.73448
2019,Couple with children,Rural regions,No,0.28933,418,1395,0.26552,0.31313
2019,Multi-generational household,Urban regions,Yes,0.56780,31,31,0.39053,0.74507
2019,Other Combinations,Urban regions,Yes,0.61309,61,109,0.52124,0.70495
2019,Other Combinations,Urban regions,No,0.38691,48,109,0.29505,0.47876
2019,Other Combinations,Rural regions,Yes,0.59642,35,35,0.43150,0.76133
2020,Single-person household,Urban regions,Yes,0.60453,1752,3178,0.58753,0.62153
2020,Single-person household,Urban regions,No,0.39547,1426,3178,0.37847,0.41247
2020,Single-person household,Rural regions,Yes,0.60874,824,1313,0.58233,0.63515
2020,Single-person household,Rural regions,No,0.39126,489,1313,0.36485,0.41767
2020,Couple without children,Urban regions,Yes,0.67628,2177,3253,0.66020,0.69237
2020,Couple without children,Urban regions,No,0.32372,1076,3253,0.30763,0.33980
2020,Couple without children,Rural regions,Yes,0.68464,1176,1714,0.66263,0.70664
2020,Couple without children,Rural regions,No,0.31536,538,1714,0.29336,0.33737
2020,Single parent,Urban regions,Yes,0.57873,509,892,0.54631,0.61115
2020,Single parent,Urban regions,No,0.42127,383,892,0.38885,0.45369
2020,Single parent,Rural regions,Yes,0.50767,262,439,0.46085,0.55449
2020,Single parent,Rural regions,No,0.49233,177,439,0.44551,0.53915
2020,Couple with children,Urban regions,Yes,0.72763,2230,3228,0.71227,0.74299
2020,Couple with children,Urban regions,No,0.27237,998,3228,0.25701,0.28773
2020,Couple with children,Rural regions,Yes,0.75305,1173,1629,0.73210,0.77400
2020,Couple with children,Rural regions,No,0.24695,456,1629,0.22600,0.26790
2020,Multi-generational household,Urban regions,Yes,0.63513,42,42,0.48778,0.78249
2020,Other Combinations,Urban regions,Yes,0.63101,106,200,0.56396,0.69805
2020,Other Combinations,Urban regions,No,0.36899,94,200,0.30195,0.43604
2020,Other Combinations,Rural regions,Yes,0.55463,49,87,0.44958,0.65967
2020,Other Combinations,Rural regions,No,0.44537,38,87,0.34033,0.55042
2021,Single-person household,Urban regions,Yes,0.59057,1119,1914,0.56853,0.61260
2021,Single-person household,Urban regions,No,0.40943,795,1914,0.38740,0.43147
2021,Single-person household,Rural regions,Yes,0.60166,535,840,0.56853,0.63478
2021,Single-person household,Rural regions,No,0.39834,305,840,0.36522,0.43147
2021,Couple without children,Urban regions,Yes,0.67140,1372,1999,0.65081,0.69200
2021,Couple without children,Urban regions,No,0.32860,627,1999,0.30800,0.34919
2021,Couple without children,Rural regions,Yes,0.69383,769,1102,0.66660,0.72105
2021,Couple without children,Rural regions,No,0.30617,333,1102,0.27895,0.33340
2021,Single parent,Urban regions,Yes,0.59116,322,526,0.54911,0.63322
2021,Single parent,Urban regions,No,0.40884,204,526,0.36678,0.45089
2021,Single parent,Rural regions,Yes,0.48535,180,295,0.42822,0.54248
2021,Single parent,Rural regions,No,0.51465,115,295,0.45752,0.57178
2021,Couple with children,Urban regions,Yes,0.73986,1338,1894,0.72010,0.75963
2021,Couple with children,Urban regions,No,0.26014,556,1894,0.24037,0.27990
2021,Couple with children,Rural regions,Yes,0.77119,708,964,0.74466,0.79773
2021,Couple with children,Rural regions,No,0.22881,256,964,0.20227,0.25534
2021,Other Combinations,Urban regions,Yes,0.66086,94,153,0.58560,0.73612
2021,Other Combinations,Urban regions,No,0.33914,59,153,0.26388,0.41440
2021,Other Combinations,Rural regions,Yes,0.58621,44,44,0.43900,0.73342
2022,No answer / don't know,Urban regions,Yes,0.57146,169,286,0.51400,0.62891
2022,No answer / don't know,Urban regions,No,0.42854,117,286,0.37109,0.48600
2022,No answer / don't know,Rural regions,Yes,0.71891,102,145,0.64549,0.79234
2022,No answer / don't know,Rural regions,No,0.28109,43,145,0.20766,0.35451
2022,Single-person household,Urban regions,Yes,0.59021,2235,3825,0.57462,0.60580
2022,Single-person household,Urban regions,No,0.40979,1590,3825,0.39420,0.42538
2022,Single-person household,Rural regions,Yes,0.60881,959,1491,0.58403,0.63359
2022,Single-person household,Rural regions,No,0.39119,532,1491,0.36641,0.41597
2022,Couple without children,Urban regions,Yes,0.68096,2554,3781,0.66610,0.69582
2022,Couple without children,Urban regions,No,0.31904,1227,3781,0.30418,0.33390
2022,Couple without children,Rural regions,Yes,0.72762,1312,1800,0.70705,0.74820
2022,Couple without children,Rural regions,No,0.27238,488,1800,0.25180,0.29295
2022,Single parent,Urban regions,Yes,0.54101,421,743,0.50516,0.57687
2022,Single parent,Urban regions,No,0.45899,322,743,0.42313,0.49484
2022,Single parent,Rural regions,Yes,0.54541,228,368,0.49446,0.59635
2022,Single parent,Rural regions,No,0.45459,140,368,0.40365,0.50554
2022,Couple with children,Urban regions,Yes,0.68818,2324,3291,0.67235,0.70401
2022,Couple with children,Urban regions,No,0.31182,967,3291,0.29599,0.32765
2022,Couple with children,Rural regions,Yes,0.75874,1314,1778,0.73885,0.77863
2022,Couple with children,Rural regions,No,0.24126,464,1778,0.22137,0.26115
2022,Other Combinations,Urban regions,Yes,0.67418,484,734,0.64025,0.70811
2022,Other Combinations,Urban regions,No,0.32582,250,734,0.29189,0.35975
2022,Other Combinations,Rural regions,Yes,0.66166,233,331,0.61061,0.71271
2022,Other Combinations,Rural regions,No,0.33834,98,331,0.28729,0.38939
