year,regtyp,sampreg,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Urban regions,West,Yes,0.51314,4658,8913,0.50277,0.52352
2015,Urban regions,West,No,0.48686,4255,8913,0.47648,0.49723
2015,Urban regions,East,Yes,0.63274,734,1158,0.60497,0.66052
2015,Urban regions,East,No,0.36726,424,1158,0.33948,0.39503
2015,Rural regions,West,Yes,0.55296,1824,3225,0.53580,0.57013
2015,Rural regions,West,No,0.44704,1401,3225,0.42987,0.46420
2015,Rural regions,East,Yes,0.60880,1282,2039,0.58761,0.62999
2015,Rural regions,East,No,0.39120,757,2039,0.37001,0.41239
2016,Urban regions,West,Yes,0.57159,4734,8175,0.56086,0.58231
2016,Urban regions,West,No,0.42841,3441,8175,0.41769,0.43914
2016,Urban regions,East,Yes,0.64707,737,1113,0.61898,0.67516
2016,Urban regions,East,No,0.35293,376,1113,0.32484,0.38102
2016,Rural regions,West,Yes,0.59287,1780,2952,0.57515,0.61060
2016,Rural regions,West,No,0.40713,1172,2952,0.38940,0.42485
2016,Rural regions,East,Yes,0.67005,1316,1948,0.64916,0.69093
2016,Rural regions,East,No,0.32995,632,1948,0.30907,0.35084
2017,Urban regions,West,Yes,0.59617,5512,8932,0.58599,0.60635
2017,Urban regions,West,No,0.40383,3420,8932,0.39365,0.41401
2017,Urban regions,East,Yes,0.68222,831,1219,0.65607,0.70837
2017,Urban regions,East,No,0.31778,388,1219,0.29163,0.34393
2017,Rural regions,West,Yes,0.60800,2025,3229,0.59116,0.62484
2017,Rural regions,West,No,0.39200,1204,3229,0.37516,0.40884
2017,Rural regions,East,Yes,0.65910,1446,2180,0.63919,0.67900
2017,Rural regions,East,No,0.34090,734,2180,0.32100,0.36081
2018,Urban regions,West,Yes,0.62307,5550,8840,0.61297,0.63317
2018,Urban regions,West,No,0.37693,3290,8840,0.36683,0.38703
2018,Urban regions,East,Yes,0.71200,875,1234,0.68672,0.73727
2018,Urban regions,East,No,0.28800,359,1234,0.26273,0.31328
2018,Rural regions,West,Yes,0.62113,1940,3081,0.60400,0.63827
2018,Rural regions,West,No,0.37887,1141,3081,0.36173,0.39600
2018,Rural regions,East,Yes,0.68274,1476,2174,0.66317,0.70230
2018,Rural regions,East,No,0.31726,698,2174,0.29770,0.33683
2019,Urban regions,West,Yes,0.62243,4570,7175,0.61122,0.63365
2019,Urban regions,West,No,0.37757,2605,7175,0.36635,0.38878
2019,Urban regions,East,Yes,0.72306,735,1009,0.69544,0.75069
2019,Urban regions,East,No,0.27694,274,1009,0.24931,0.30456
2019,Rural regions,West,Yes,0.61529,1620,2542,0.59637,0.63421
2019,Rural regions,West,No,0.38471,922,2542,0.36579,0.40363
2019,Rural regions,East,Yes,0.68781,1247,1823,0.66653,0.70909
2019,Rural regions,East,No,0.31219,576,1823,0.29091,0.33347
2020,Urban regions,West,Yes,0.64463,5909,9547,0.63503,0.65423
2020,Urban regions,West,No,0.35537,3638,9547,0.34577,0.36497
2020,Urban regions,East,Yes,0.71227,907,1271,0.68738,0.73717
2020,Urban regions,East,No,0.28773,364,1271,0.26283,0.31262
2020,Rural regions,West,Yes,0.63171,2007,3104,0.61474,0.64868
2020,Rural regions,West,No,0.36829,1097,3104,0.35132,0.38526
2020,Rural regions,East,Yes,0.70162,1506,2128,0.68218,0.72107
2020,Rural regions,East,No,0.29838,622,2128,0.27893,0.31782
2021,Urban regions,West,Yes,0.63736,3684,5741,0.62492,0.64979
2021,Urban regions,West,No,0.36264,2057,5741,0.35021,0.37508
2021,Urban regions,East,Yes,0.72934,598,800,0.69854,0.76015
2021,Urban regions,East,No,0.27066,202,800,0.23985,0.30146
2021,Rural regions,West,Yes,0.62730,1289,1952,0.60584,0.64876
2021,Rural regions,West,No,0.37270,663,1952,0.35124,0.39416
2021,Rural regions,East,Yes,0.70323,965,1358,0.67893,0.72754
2021,Rural regions,East,No,0.29677,393,1358,0.27246,0.32107
2022,Urban regions,West,Yes,0.62748,7124,11135,0.61850,0.63646
2022,Urban regions,West,No,0.37252,4011,11135,0.36354,0.38150
2022,Urban regions,East,Yes,0.69550,1093,1570,0.67273,0.71827
2022,Urban regions,East,No,0.30450,477,1570,0.28173,0.32727
2022,Rural regions,West,Yes,0.64728,2318,3416,0.63126,0.66331
2022,Rural regions,West,No,0.35272,1098,3416,0.33669,0.36874
2022,Rural regions,East,Yes,0.72446,1852,2534,0.70706,0.74185
2022,Rural regions,East,No,0.27554,682,2534,0.25815,0.29294
