year,quintil_oecd_hh,regtyp,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,1st Quintile,Urban regions,Yes,0.37721,841,2198,0.35694,0.39748
2015,1st Quintile,Urban regions,No,0.62279,1357,2198,0.60252,0.64306
2015,1st Quintile,Rural regions,Yes,0.46502,541,1210,0.43690,0.49314
2015,1st Quintile,Rural regions,No,0.53498,669,1210,0.50686,0.56310
2015,2nd Quintile,Urban regions,Yes,0.44191,946,1986,0.42007,0.46376
2015,2nd Quintile,Urban regions,No,0.55809,1040,1986,0.53624,0.57993
2015,2nd Quintile,Rural regions,Yes,0.54595,716,1292,0.51879,0.57311
2015,2nd Quintile,Rural regions,No,0.45405,576,1292,0.42689,0.48121
2015,3rd Quintile,Urban regions,Yes,0.55709,1062,1873,0.53459,0.57959
2015,3rd Quintile,Urban regions,No,0.44291,811,1873,0.42041,0.46541
2015,3rd Quintile,Rural regions,Yes,0.61149,679,1083,0.58245,0.64054
2015,3rd Quintile,Rural regions,No,0.38851,404,1083,0.35946,0.41755
2015,4th Quintile,Urban regions,Yes,0.58054,1079,1810,0.55780,0.60328
2015,4th Quintile,Urban regions,No,0.41946,731,1810,0.39672,0.44220
2015,4th Quintile,Rural regions,Yes,0.59912,649,956,0.56804,0.63021
2015,4th Quintile,Rural regions,No,0.40088,307,956,0.36979,0.43196
2015,5th Quintile,Urban regions,Yes,0.64228,1462,2201,0.62225,0.66231
2015,5th Quintile,Urban regions,No,0.35772,739,2201,0.33769,0.37775
2015,5th Quintile,Rural regions,Yes,0.68086,521,722,0.64684,0.71489
2015,5th Quintile,Rural regions,No,0.31914,201,722,0.28511,0.35316
2016,1st Quintile,Urban regions,Yes,0.38484,808,1943,0.36320,0.40648
2016,1st Quintile,Urban regions,No,0.61516,1135,1943,0.59352,0.63680
2016,1st Quintile,Rural regions,Yes,0.52283,550,1099,0.49329,0.55237
2016,1st Quintile,Rural regions,No,0.47717,549,1099,0.44763,0.50671
2016,2nd Quintile,Urban regions,Yes,0.50464,1004,1830,0.48172,0.52755
2016,2nd Quintile,Urban regions,No,0.49536,826,1830,0.47245,0.51828
2016,2nd Quintile,Rural regions,Yes,0.55147,682,1187,0.52317,0.57978
2016,2nd Quintile,Rural regions,No,0.44853,505,1187,0.42022,0.47683
2016,3rd Quintile,Urban regions,Yes,0.61993,1064,1716,0.59696,0.64290
2016,3rd Quintile,Urban regions,No,0.38007,652,1716,0.35710,0.40304
2016,3rd Quintile,Rural regions,Yes,0.65860,689,1011,0.62936,0.68785
2016,3rd Quintile,Rural regions,No,0.34140,322,1011,0.31215,0.37064
2016,4th Quintile,Urban regions,Yes,0.66359,1165,1753,0.64146,0.68571
2016,4th Quintile,Urban regions,No,0.33641,588,1753,0.31429,0.35854
2016,4th Quintile,Rural regions,Yes,0.67187,645,900,0.64118,0.70256
2016,4th Quintile,Rural regions,No,0.32813,255,900,0.29744,0.35882
2016,5th Quintile,Urban regions,Yes,0.69547,1430,2041,0.67550,0.71544
2016,5th Quintile,Urban regions,No,0.30453,611,2041,0.28456,0.32450
2016,5th Quintile,Rural regions,Yes,0.73201,530,703,0.69925,0.76478
2016,5th Quintile,Rural regions,No,0.26799,173,703,0.23522,0.30075
