year,plh0039,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,Very concerned,0.30455,6813,19225,0.29805,0.31106
2008,Somewhat concerned,0.41010,9650,19225,0.40315,0.41706
2008,Not concerned at all,0.11977,2762,19225,0.11518,0.12435
2009,Very concerned,0.29541,6074,17922,0.28873,0.30209
2009,Somewhat concerned,0.42280,9245,17922,0.41557,0.43004
2009,Not concerned at all,0.11919,2603,17922,0.11444,0.12393
2010,Very concerned,0.26932,5633,16558,0.26256,0.27608
2010,Somewhat concerned,0.37269,8421,16558,0.36532,0.38005
2010,Not concerned at all,0.11666,2504,16558,0.11177,0.12155
2011,Very concerned,0.26059,6928,20465,0.25458,0.26661
2011,Somewhat concerned,0.37777,10304,20465,0.37113,0.38442
2011,Not concerned at all,0.11761,3233,20465,0.11319,0.12202
2012,Very concerned,0.23582,6334,20364,0.22999,0.24165
2012,Somewhat concerned,0.39006,10406,20364,0.38336,0.39676
2012,Not concerned at all,0.13822,3624,20364,0.13348,0.14296
2013,Very concerned,0.22049,5803,18755,0.21455,0.22642
2013,Somewhat concerned,0.35409,9439,18755,0.34725,0.36094
2013,Not concerned at all,0.13159,3513,18755,0.12675,0.13643
2018,Very concerned,0.34212,10127,25545,0.33631,0.34794
2018,Somewhat concerned,0.38353,11950,25545,0.37757,0.38950
2018,Not concerned at all,0.10829,3468,25545,0.10448,0.11210
