year,bula_h,migback,pli0095_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,No migration background,At least once per month,0.19419,57,10421,0.19360,0.19477
1985,Schleswig-Holstein,No migration background,Seldom,0.58703,179,10421,0.58630,0.58776
1985,Schleswig-Holstein,No migration background,Never,0.21878,54,10421,0.21817,0.21939
1985,Hamburg,No migration background,At least once per month,0.23610,48,10421,0.23534,0.23687
1985,Hamburg,No migration background,Seldom,0.51168,99,10421,0.51078,0.51259
1985,Hamburg,No migration background,Never,0.25221,44,10421,0.25143,0.25300
1985,Hamburg,Direct migration background,At least once per month,1.00000,33,10421,1.00000,1.00000
1985,Lower Saxony,No migration background,At least once per week,0.08362,74,10421,0.08339,0.08385
1985,Lower Saxony,No migration background,At least once per month,0.22755,217,10421,0.22720,0.22790
1985,Lower Saxony,No migration background,Seldom,0.50359,485,10421,0.50317,0.50401
1985,Lower Saxony,No migration background,Never,0.18524,152,10421,0.18491,0.18556
1985,Lower Saxony,Direct migration background,At least once per month,0.42454,40,10421,0.42235,0.42673
1985,Lower Saxony,Direct migration background,Seldom,0.57546,61,10421,0.57327,0.57765
1985,Bremen,No migration background,Seldom,1.00000,40,10421,1.00000,1.00000
1985,North Rhine-Westphalia,No migration background,At least once per week,0.09153,187,10421,0.09137,0.09169
1985,North Rhine-Westphalia,No migration background,At least once per month,0.24505,537,10421,0.24480,0.24529
1985,North Rhine-Westphalia,No migration background,Seldom,0.45924,1005,10421,0.45896,0.45952
1985,North Rhine-Westphalia,No migration background,Never,0.20418,367,10421,0.20396,0.20441
1985,North Rhine-Westphalia,Direct migration background,At least once per week,0.16740,130,10421,0.16676,0.16803
1985,North Rhine-Westphalia,Direct migration background,At least once per month,0.28375,238,10421,0.28299,0.28452
1985,North Rhine-Westphalia,Direct migration background,Seldom,0.38897,306,10421,0.38814,0.38980
1985,North Rhine-Westphalia,Direct migration background,Never,0.15988,121,10421,0.15926,0.16050
1985,Hesse,No migration background,At least once per week,0.11407,81,10421,0.11375,0.11438
1985,Hesse,No migration background,At least once per month,0.26908,191,10421,0.26864,0.26952
1985,Hesse,No migration background,Seldom,0.42534,309,10421,0.42486,0.42583
1985,Hesse,No migration background,Never,0.19151,116,10421,0.19112,0.19190
1985,Hesse,Direct migration background,At least once per week,0.15306,79,10421,0.15215,0.15397
1985,Hesse,Direct migration background,At least once per month,0.32659,127,10421,0.32540,0.32777
1985,Hesse,Direct migration background,Seldom,0.36936,148,10421,0.36814,0.37059
1985,Hesse,Direct migration background,Never,0.15099,54,10421,0.15008,0.15190
1985,"Rhineland-Palatinate, Saarland",No migration background,At least once per week,0.09084,56,10421,0.09054,0.09114
1985,"Rhineland-Palatinate, Saarland",No migration background,At least once per month,0.28480,178,10421,0.28433,0.28527
1985,"Rhineland-Palatinate, Saarland",No migration background,Seldom,0.41513,265,10421,0.41462,0.41565
1985,"Rhineland-Palatinate, Saarland",No migration background,Never,0.20923,121,10421,0.20881,0.20966
1985,"Rhineland-Palatinate, Saarland",Direct migration background,At least once per month,1.00000,53,10421,1.00000,1.00000
1985,Baden-Wuerttemberg,No migration background,At least once per week,0.09858,118,10421,0.09835,0.09881
1985,Baden-Wuerttemberg,No migration background,At least once per month,0.24224,298,10421,0.24191,0.24257
1985,Baden-Wuerttemberg,No migration background,Seldom,0.45045,570,10421,0.45006,0.45084
1985,Baden-Wuerttemberg,No migration background,Never,0.20873,226,10421,0.20842,0.20905
1985,Baden-Wuerttemberg,Direct migration background,At least once per week,0.18715,160,10421,0.18640,0.18790
1985,Baden-Wuerttemberg,Direct migration background,At least once per month,0.24785,208,10421,0.24702,0.24869
1985,Baden-Wuerttemberg,Direct migration background,Seldom,0.40604,270,10421,0.40509,0.40698
1985,Baden-Wuerttemberg,Direct migration background,Never,0.15896,144,10421,0.15825,0.15966
1985,Bavaria,No migration background,At least once per week,0.09680,144,10421,0.09660,0.09700
1985,Bavaria,No migration background,At least once per month,0.19754,307,10421,0.19728,0.19781
1985,Bavaria,No migration background,Seldom,0.46919,706,10421,0.46885,0.46952
1985,Bavaria,No migration background,Never,0.23647,313,10421,0.23618,0.23675
1985,Bavaria,Direct migration background,At least once per week,0.15162,65,10421,0.15081,0.15242
1985,Bavaria,Direct migration background,At least once per month,0.34989,120,10421,0.34882,0.35096
1985,Bavaria,Direct migration background,Seldom,0.30574,119,10421,0.30471,0.30678
1985,Bavaria,Direct migration background,Never,0.19276,76,10421,0.19187,0.19364
1985,Berlin,No migration background,At least once per month,0.28255,75,10421,0.28179,0.28331
1985,Berlin,No migration background,Seldom,0.38389,103,10421,0.38307,0.38471
1985,Berlin,No migration background,Never,0.33356,66,10421,0.33277,0.33436
1985,Berlin,Direct migration background,At least once per month,0.40821,38,10421,0.40548,0.41095
1985,Berlin,Direct migration background,Seldom,0.59179,43,10421,0.58905,0.59452
1986,Schleswig-Holstein,No migration background,At least once per month,0.18408,46,10094,0.18351,0.18465
1986,Schleswig-Holstein,No migration background,Seldom,0.64190,175,10094,0.64120,0.64261
1986,Schleswig-Holstein,No migration background,Never,0.17401,45,10094,0.17346,0.17457
1986,Hamburg,No migration background,At least once per month,0.19931,35,10094,0.19858,0.20003
1986,Hamburg,No migration background,Seldom,0.54587,96,10094,0.54496,0.54677
1986,Hamburg,No migration background,Never,0.25482,38,10094,0.25403,0.25562
