"pli0095_h","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"Min 1x pro Woche","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1984","66 und älter","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1984","66 und älter","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Seltener","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Seltener","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Seltener","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Seltener","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Seltener","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Seltener","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Seltener","1984","66 und älter","kein Migrationshintergrund","","","",""
"Seltener","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Seltener","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Nie","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Nie","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Nie","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Nie","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Nie","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Nie","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Nie","1984","66 und älter","kein Migrationshintergrund","","","",""
"Nie","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Nie","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Nie, sehr selten (1984)","1984","16-34 Jahre alt","kein Migrationshintergrund","560","0.179820938277786","0.166295480996378","0.193346395559195"
"Nie, sehr selten (1984)","1984","16-34 Jahre alt","direkter Migrationshintergrund","318","0.214326003647864","0.192738024955596","0.235913982340132"
"Nie, sehr selten (1984)","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Nie, sehr selten (1984)","1984","35-65 Jahre alt","kein Migrationshintergrund","1171","0.2750191317628","0.261666690352193","0.288371573173407"
"Nie, sehr selten (1984)","1984","35-65 Jahre alt","direkter Migrationshintergrund","534","0.275905005093258","0.256172494659055","0.295637515527462"
"Nie, sehr selten (1984)","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Nie, sehr selten (1984)","1984","66 und älter","kein Migrationshintergrund","673","0.558173793272916","0.530250257500544","0.586097329045288"
"Nie, sehr selten (1984)","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Nie, sehr selten (1984)","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Gelegentlich (1984)","1984","16-34 Jahre alt","kein Migrationshintergrund","2164","0.698810141722721","0.682652526560498","0.714967756884945"
"Gelegentlich (1984)","1984","16-34 Jahre alt","direkter Migrationshintergrund","808","0.615721861216929","0.590131967389908","0.641311755043951"
"Gelegentlich (1984)","1984","16-34 Jahre alt","indirekter Migrationshintergrund","66","0.627664898747896","0.532914945947482","0.72241485154831"
"Gelegentlich (1984)","1984","35-65 Jahre alt","kein Migrationshintergrund","2674","0.620015154902467","0.605500716213731","0.634529593591202"
"Gelegentlich (1984)","1984","35-65 Jahre alt","direkter Migrationshintergrund","1121","0.584237829797574","0.562479673032909","0.60599598656224"
"Gelegentlich (1984)","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Gelegentlich (1984)","1984","66 und älter","kein Migrationshintergrund","439","0.35427608968209","0.327382157379122","0.381170021985057"
"Gelegentlich (1984)","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Gelegentlich (1984)","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Haeufig,regelmaessig (1984)","1984","16-34 Jahre alt","kein Migrationshintergrund","373","0.121368919999492","0.109867948881202","0.132869891117783"
"Haeufig,regelmaessig (1984)","1984","16-34 Jahre alt","direkter Migrationshintergrund","262","0.169952135135207","0.15019298601224","0.189711284258173"
"Haeufig,regelmaessig (1984)","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Haeufig,regelmaessig (1984)","1984","35-65 Jahre alt","kein Migrationshintergrund","451","0.104965713334734","0.0958001424257448","0.114131284243722"
"Haeufig,regelmaessig (1984)","1984","35-65 Jahre alt","direkter Migrationshintergrund","316","0.139857165109167","0.124545147238342","0.155169182979993"
"Haeufig,regelmaessig (1984)","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Haeufig,regelmaessig (1984)","1984","66 und älter","kein Migrationshintergrund","103","0.0875501170449941","0.0716575948190808","0.103442639270907"
"Haeufig,regelmaessig (1984)","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Haeufig,regelmaessig (1984)","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1985","16-34 Jahre alt","kein Migrationshintergrund","266","0.0934221544628539","0.0828045286012051","0.104039780324503"
"Min 1x pro Woche","1985","16-34 Jahre alt","direkter Migrationshintergrund","221","0.180294880420837","0.158008194280369","0.202581566561305"
"Min 1x pro Woche","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1985","35-65 Jahre alt","kein Migrationshintergrund","358","0.0915408811412287","0.082559135816176","0.100522626466281"
"Min 1x pro Woche","1985","35-65 Jahre alt","direkter Migrationshintergrund","297","0.162587457807226","0.145254927976788","0.179919987637665"
"Min 1x pro Woche","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1985","66 und älter","kein Migrationshintergrund","93","0.0902247412915197","0.0729528267264441","0.107496655856595"
"Min 1x pro Woche","1985","66 und älter","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1985","16-34 Jahre alt","kein Migrationshintergrund","893","0.308637577056419","0.291784577335524","0.325490576777315"
"Min 1x pro Monat","1985","16-34 Jahre alt","direkter Migrationshintergrund","375","0.353703425053942","0.325985511519704","0.381421338588179"
"Min 1x pro Monat","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1985","35-65 Jahre alt","kein Migrationshintergrund","909","0.229809351070431","0.216705967112857","0.242912735028005"
"Min 1x pro Monat","1985","35-65 Jahre alt","direkter Migrationshintergrund","509","0.276008100421528","0.255010170929968","0.297006029913088"
"Min 1x pro Monat","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1985","66 und älter","kein Migrationshintergrund","125","0.116044090558643","0.096736085062425","0.135352096054861"
"Min 1x pro Monat","1985","66 und älter","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"Seltener","1985","16-34 Jahre alt","kein Migrationshintergrund","1430","0.495112042668958","0.476871020189608","0.513353065148309"
"Seltener","1985","16-34 Jahre alt","direkter Migrationshintergrund","391","0.333513339860619","0.306180968596505","0.360845711124734"
"Seltener","1985","16-34 Jahre alt","indirekter Migrationshintergrund","57","0.456035362549457","0.366548515933949","0.545522209164965"
"Seltener","1985","35-65 Jahre alt","kein Migrationshintergrund","2034","0.505629370920423","0.490057421829297","0.52120132001155"
"Seltener","1985","35-65 Jahre alt","direkter Migrationshintergrund","623","0.398823088023778","0.37582244392147","0.421823732126087"
"Seltener","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Seltener","1985","66 und älter","kein Migrationshintergrund","305","0.275858273857628","0.248914067808377","0.302802479906879"
"Seltener","1985","66 und älter","direkter Migrationshintergrund","","","",""
"Seltener","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"Nie","1985","16-34 Jahre alt","kein Migrationshintergrund","297","0.102828225811768","0.0917468444848074","0.11390960713873"
"Nie","1985","16-34 Jahre alt","direkter Migrationshintergrund","156","0.132488354664601","0.112834330490252","0.152142378838951"
"Nie","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Nie","1985","35-65 Jahre alt","kein Migrationshintergrund","659","0.173020396867917","0.161239006424652","0.184801787311183"
"Nie","1985","35-65 Jahre alt","direkter Migrationshintergrund","312","0.162581353747467","0.145249086110979","0.179913621383955"
"Nie","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Nie","1985","66 und älter","kein Migrationshintergrund","534","0.517872894292209","0.487749565511628","0.54799622307279"
"Nie","1985","66 und älter","direkter Migrationshintergrund","","","",""
"Nie","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"Nie, sehr selten (1984)","1985","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Nie, sehr selten (1984)","1985","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Nie, sehr selten (1984)","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Nie, sehr selten (1984)","1985","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Nie, sehr selten (1984)","1985","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Nie, sehr selten (1984)","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Nie, sehr selten (1984)","1985","66 und älter","kein Migrationshintergrund","","","",""
"Nie, sehr selten (1984)","1985","66 und älter","direkter Migrationshintergrund","","","",""
"Nie, sehr selten (1984)","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"Gelegentlich (1984)","1985","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Gelegentlich (1984)","1985","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Gelegentlich (1984)","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Gelegentlich (1984)","1985","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Gelegentlich (1984)","1985","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Gelegentlich (1984)","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Gelegentlich (1984)","1985","66 und älter","kein Migrationshintergrund","","","",""
"Gelegentlich (1984)","1985","66 und älter","direkter Migrationshintergrund","","","",""
"Gelegentlich (1984)","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"Haeufig,regelmaessig (1984)","1985","16-34 Jahre alt","kein Migrationshintergrund","","","",""
