"pli0095_h","year","bula_h","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Min 1x pro Woche","1996","Schleswig-Holstein","1 Einkommensschwächstes Quintil","7","","",""
"Min 1x pro Woche","1996","Schleswig-Holstein","2","8","","",""
"Min 1x pro Woche","1996","Schleswig-Holstein","3","7","","",""
"Min 1x pro Woche","1996","Schleswig-Holstein","4","","","",""
"Min 1x pro Woche","1996","Schleswig-Holstein","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Woche","1996","Hamburg","1 Einkommensschwächstes Quintil","3","","",""
"Min 1x pro Woche","1996","Hamburg","2","","","",""
"Min 1x pro Woche","1996","Hamburg","3","6","","",""
"Min 1x pro Woche","1996","Hamburg","4","","","",""
"Min 1x pro Woche","1996","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Woche","1996","Niedersachsen","1 Einkommensschwächstes Quintil","44","0.134772739232712","0.0968207956824973","0.172724682782928"
"Min 1x pro Woche","1996","Niedersachsen","2","30","0.0953157999319418","0.0618062932477801","0.128825306616104"
"Min 1x pro Woche","1996","Niedersachsen","3","27","","",""
"Min 1x pro Woche","1996","Niedersachsen","4","17","","",""
"Min 1x pro Woche","1996","Niedersachsen","5 Einkommensstärkstes Quintil","5","","",""
"Min 1x pro Woche","1996","Bremen","1 Einkommensschwächstes Quintil","4","","",""
"Min 1x pro Woche","1996","Bremen","2","","","",""
"Min 1x pro Woche","1996","Bremen","3","","","",""
"Min 1x pro Woche","1996","Bremen","4","","","",""
"Min 1x pro Woche","1996","Bremen","5 Einkommensstärkstes Quintil","1","","",""
"Min 1x pro Woche","1996","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","127","0.12893786949007","0.107294090657744","0.150581648322396"
"Min 1x pro Woche","1996","Nordrhein-Westfalen","2","73","0.0900615116409596","0.0677957855584804","0.112327237723439"
"Min 1x pro Woche","1996","Nordrhein-Westfalen","3","42","0.0955232979951184","0.0672092954420805","0.123837300548156"
"Min 1x pro Woche","1996","Nordrhein-Westfalen","4","36","0.12295390969022","0.0879971940382212","0.157910625342219"
"Min 1x pro Woche","1996","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","12","","",""
"Min 1x pro Woche","1996","Hessen","1 Einkommensschwächstes Quintil","31","0.14400962684938","0.10197464185138","0.186044611847381"
"Min 1x pro Woche","1996","Hessen","2","37","0.129529757403691","0.086598273436862","0.172461241370521"
"Min 1x pro Woche","1996","Hessen","3","30","0.154088531618867","0.100750206793036","0.207426856444697"
"Min 1x pro Woche","1996","Hessen","4","21","","",""
"Min 1x pro Woche","1996","Hessen","5 Einkommensstärkstes Quintil","9","","",""
"Min 1x pro Woche","1996","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","34","0.151072220964534","0.104382470703507","0.197761971225561"
"Min 1x pro Woche","1996","Rheinland-Pfalz,Saarland","2","31","0.138127760559569","0.0911248393579504","0.185130681761187"
"Min 1x pro Woche","1996","Rheinland-Pfalz,Saarland","3","20","","",""
"Min 1x pro Woche","1996","Rheinland-Pfalz,Saarland","4","11","","",""
"Min 1x pro Woche","1996","Rheinland-Pfalz,Saarland","5 Einkommensstärkstes Quintil","3","","",""
"Min 1x pro Woche","1996","Baden-Württemberg","1 Einkommensschwächstes Quintil","88","0.121214740934696","0.094279079814251","0.14815040205514"
"Min 1x pro Woche","1996","Baden-Württemberg","2","80","0.185603524328375","0.150190040935091","0.221017007721659"
"Min 1x pro Woche","1996","Baden-Württemberg","3","49","0.138076981119574","0.101134967103841","0.175018995135307"
"Min 1x pro Woche","1996","Baden-Württemberg","4","35","0.160151841859833","0.111242978341378","0.209060705378288"
"Min 1x pro Woche","1996","Baden-Württemberg","5 Einkommensstärkstes Quintil","17","","",""
"Min 1x pro Woche","1996","Bayern","1 Einkommensschwächstes Quintil","65","0.159310161450047","0.126011349511704","0.19260897338839"
"Min 1x pro Woche","1996","Bayern","2","57","0.0890523225210666","0.0639361210406995","0.114168524001434"
"Min 1x pro Woche","1996","Bayern","3","25","","",""
"Min 1x pro Woche","1996","Bayern","4","35","0.188185864276191","0.139441835896429","0.236929892655954"
