"pli0095_h","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Min 1x pro Woche","1996","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","62","0.131408081164767","0.0988250117005389","0.163991150628996"
"Min 1x pro Woche","1996","(noch) kein Abschluss","2","31","0.118998348444573","0.0791793748643742","0.158817322024772"
"Min 1x pro Woche","1996","(noch) kein Abschluss","3","9","","",""
"Min 1x pro Woche","1996","(noch) kein Abschluss","4","6","","",""
"Min 1x pro Woche","1996","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","4","","",""
"Min 1x pro Woche","1996","Hauptschule","1 Einkommensschwächstes Quintil","299","0.136559827745115","0.122511185550614","0.150608469939617"
"Min 1x pro Woche","1996","Hauptschule","2","253","0.118924022293549","0.104117494449809","0.13373055013729"
"Min 1x pro Woche","1996","Hauptschule","3","130","0.141953446131613","0.120180464285792","0.163726427977434"
"Min 1x pro Woche","1996","Hauptschule","4","87","0.155914369385146","0.126716102820909","0.185112635949382"
"Min 1x pro Woche","1996","Hauptschule","5 Einkommensstärkstes Quintil","22","","",""
"Min 1x pro Woche","1996","Realschule","1 Einkommensschwächstes Quintil","117","0.114918564742446","0.0950220857792641","0.134815043705629"
"Min 1x pro Woche","1996","Realschule","2","84","0.0911016630378697","0.072395403471117","0.109807922604622"
"Min 1x pro Woche","1996","Realschule","3","65","0.114221247695781","0.0889587943872359","0.139483701004326"
"Min 1x pro Woche","1996","Realschule","4","48","0.113100384684336","0.081787643371232","0.14441312599744"
"Min 1x pro Woche","1996","Realschule","5 Einkommensstärkstes Quintil","15","","",""
"Min 1x pro Woche","1996","(Fach-)Abitur","1 Einkommensschwächstes Quintil","44","0.139118046764585","0.101836181572446","0.176399911956724"
"Min 1x pro Woche","1996","(Fach-)Abitur","2","29","","",""
"Min 1x pro Woche","1996","(Fach-)Abitur","3","25","","",""
"Min 1x pro Woche","1996","(Fach-)Abitur","4","10","","",""
"Min 1x pro Woche","1996","(Fach-)Abitur","5 Einkommensstärkstes Quintil","10","","",""
"Min 1x pro Woche","1996","AkademikerIn","1 Einkommensschwächstes Quintil","40","0.14832261517773","0.107764447368642","0.188880782986818"
"Min 1x pro Woche","1996","AkademikerIn","2","53","0.114140832139247","0.0853010144941502","0.142980649784344"
"Min 1x pro Woche","1996","AkademikerIn","3","34","0.0925044889242818","0.0626164006774719","0.122392577171092"
"Min 1x pro Woche","1996","AkademikerIn","4","37","0.108199444920451","0.0748358868598717","0.14156300298103"
"Min 1x pro Woche","1996","AkademikerIn","5 Einkommensstärkstes Quintil","17","","",""
"Min 1x pro Monat","1996","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","129","0.330060757339437","0.284709668338285","0.375411846340589"
"Min 1x pro Monat","1996","(noch) kein Abschluss","2","85","0.318612788534001","0.261312102227972","0.37591347484003"
"Min 1x pro Monat","1996","(noch) kein Abschluss","3","29","","",""
"Min 1x pro Monat","1996","(noch) kein Abschluss","4","15","","",""
"Min 1x pro Monat","1996","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","8","","",""
"Min 1x pro Monat","1996","Hauptschule","1 Einkommensschwächstes Quintil","709","0.269003006212227","0.250860674291113","0.287145338133342"
"Min 1x pro Monat","1996","Hauptschule","2","542","0.277352445877449","0.256874281666898","0.297830610088"
