year,migback,sex,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,male,At least once per week,0.08513,320,3767,0.07621,0.09404
1985,No migration background,male,At least once per month,0.26444,1023,3767,0.25035,0.27852
1985,No migration background,male,Seldom,0.47315,1815,3767,0.45720,0.48909
1985,No migration background,male,Never,0.17729,609,3767,0.16509,0.18949
1985,No migration background,female,At least once per week,0.09830,396,4117,0.08920,0.10739
1985,No migration background,female,At least once per month,0.20941,901,4117,0.19698,0.22184
1985,No migration background,female,Seldom,0.44697,1946,4117,0.43178,0.46216
1985,No migration background,female,Never,0.24532,874,4117,0.23217,0.25846
1985,Direct migration background,male,At least once per week,0.17324,286,1528,0.15426,0.19223
1985,Direct migration background,male,At least once per month,0.34136,522,1528,0.31758,0.36515
1985,Direct migration background,male,Seldom,0.35826,518,1528,0.33421,0.38231
1985,Direct migration background,male,Never,0.12713,202,1528,0.11042,0.14384
1985,Direct migration background,female,At least once per week,0.16135,228,1352,0.14173,0.18097
1985,Direct migration background,female,At least once per month,0.25856,357,1352,0.23521,0.28190
1985,Direct migration background,female,Seldom,0.37544,494,1352,0.34962,0.40127
1985,Direct migration background,female,Never,0.20465,273,1352,0.18313,0.22616
1985,Indirect migration background,female,Seldom,0.32481,34,34,0.16503,0.48459
1986,No migration background,male,At least once per week,0.06648,241,3619,0.05836,0.07460
1986,No migration background,male,At least once per month,0.23243,863,3619,0.21867,0.24620
1986,No migration background,male,Seldom,0.50745,1875,3619,0.49116,0.52374
1986,No migration background,male,Never,0.19364,640,3619,0.18076,0.20652
1986,No migration background,female,At least once per week,0.08811,325,3926,0.07924,0.09698
1986,No migration background,female,At least once per month,0.17089,725,3926,0.15911,0.18267
1986,No migration background,female,Seldom,0.47016,1964,3926,0.45454,0.48577
1986,No migration background,female,Never,0.27084,912,3926,0.25694,0.28474
1986,Direct migration background,male,At least once per week,0.08928,181,1504,0.07486,0.10369
1986,Direct migration background,male,At least once per month,0.31004,479,1504,0.28666,0.33342
1986,Direct migration background,male,Seldom,0.45271,596,1504,0.42754,0.47787
1986,Direct migration background,male,Never,0.14798,248,1504,0.13003,0.16593
1986,Direct migration background,female,At least once per week,0.09810,152,1308,0.08198,0.11423
1986,Direct migration background,female,At least once per month,0.23647,322,1308,0.21343,0.25951
1986,Direct migration background,female,Seldom,0.40998,522,1308,0.38331,0.43664
1986,Direct migration background,female,Never,0.25545,312,1308,0.23180,0.27909
1986,Indirect migration background,female,Seldom,0.53030,46,46,0.38448,0.67612
1988,No migration background,male,At least once per week,0.06324,218,3392,0.05505,0.07144
1988,No migration background,male,At least once per month,0.24702,840,3392,0.23250,0.26153
1988,No migration background,male,Seldom,0.49720,1732,3392,0.48037,0.51403
1988,No migration background,male,Never,0.19254,602,3392,0.17927,0.20581
1988,No migration background,female,At least once per week,0.07511,271,3632,0.06654,0.08368
1988,No migration background,female,At least once per month,0.16965,651,3632,0.15744,0.18186
1988,No migration background,female,Seldom,0.48224,1840,3632,0.46598,0.49849
1988,No migration background,female,Never,0.27300,870,3632,0.25851,0.28749
1988,Direct migration background,male,At least once per week,0.09653,185,1400,0.08105,0.11200
1988,Direct migration background,male,At least once per month,0.25736,393,1400,0.23445,0.28027
1988,Direct migration background,male,Seldom,0.42115,542,1400,0.39527,0.44702
1988,Direct migration background,male,Never,0.22496,280,1400,0.20308,0.24684
1988,Direct migration background,female,At least once per week,0.11322,166,1257,0.09569,0.13074
1988,Direct migration background,female,At least once per month,0.19318,277,1257,0.17134,0.21501
1988,Direct migration background,female,Seldom,0.41762,469,1257,0.39035,0.44489
1988,Direct migration background,female,Never,0.27598,345,1257,0.25126,0.30071
1988,Indirect migration background,male,At least once per month,0.28678,31,77,0.18510,0.38846
1988,Indirect migration background,male,Seldom,0.53661,46,77,0.42450,0.64872
1988,Indirect migration background,female,At least once per month,0.24011,32,80,0.14591,0.33430
1988,Indirect migration background,female,Seldom,0.43519,48,80,0.32586,0.54452
1990,No migration background,male,At least once per week,0.18871,398,2027,0.17167,0.20575
1990,No migration background,male,At least once per month,0.33773,693,2027,0.31714,0.35833
1990,No migration background,male,Seldom,0.40219,829,2027,0.38084,0.42354
1990,No migration background,male,Never,0.07137,107,2027,0.06016,0.08258
1990,No migration background,female,At least once per week,0.15144,337,2210,0.13649,0.16639
1990,No migration background,female,At least once per month,0.23387,543,2210,0.21622,0.25153
1990,No migration background,female,Seldom,0.45958,1066,2210,0.43880,0.48037
1990,No migration background,female,Never,0.15510,264,2210,0.14000,0.17020
1990,Direct migration background,female,Seldom,0.40749,31,31,0.23165,0.58332
1992,No migration background,male,At least once per week,0.07895,386,4898,0.07139,0.08650
1992,No migration background,male,At least once per month,0.28843,1484,4898,0.27574,0.30112
1992,No migration background,male,Seldom,0.49979,2500,4898,0.48579,0.51380
1992,No migration background,male,Never,0.13283,528,4898,0.12332,0.14233
1992,No migration background,female,At least once per week,0.09486,477,5358,0.08701,0.10270
1992,No migration background,female,At least once per month,0.22928,1275,5358,0.21802,0.24054
1992,No migration background,female,Seldom,0.48169,2790,5358,0.46831,0.49507
1992,No migration background,female,Never,0.19418,816,5358,0.18358,0.20477
