,Unnamed: 0,year,migback,pli0095_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,No migration background,At least once per week,0.09216,716,10827,0.09006,0.09407
1,1,1985,No migration background,At least once per month,0.23512,1925,10827,0.23181,0.23803
2,2,1985,No migration background,Seldom,0.45915,3761,10827,0.45501,0.46319
3,3,1985,No migration background,Never,0.21358,1483,10827,0.20947,0.21695
4,4,1985,Direct migration background,At least once per week,0.16746,514,10827,0.14833,0.1843
5,5,1985,Direct migration background,At least once per month,0.30079,879,10827,0.27982,0.32034
6,6,1985,Direct migration background,Seldom,0.36661,1012,10827,0.34115,0.39017
7,7,1985,Direct migration background,Never,0.16514,475,10827,0.14729,0.18443
8,8,1985,Indirect migration background,Seldom,1.0,62,10827,0.72667,1.33647
9,9,1986,No migration background,At least once per week,0.07795,566,10473,0.07597,0.08069
10,10,1986,No migration background,At least once per month,0.19978,1587,10473,0.19655,0.20297
11,11,1986,No migration background,Seldom,0.48765,3840,10473,0.4821,0.49306
12,12,1986,No migration background,Never,0.23462,1552,10473,0.22977,0.23972
13,13,1986,Direct migration background,At least once per week,0.09358,333,10473,0.08321,0.10498
14,14,1986,Direct migration background,At least once per month,0.27412,801,10473,0.25433,0.2977
15,15,1986,Direct migration background,Seldom,0.43184,1118,10473,0.40444,0.45983
16,16,1986,Direct migration background,Never,0.20046,560,10473,0.18017,0.22739
17,17,1986,Indirect migration background,At least once per month,0.30894,45,10473,0.19156,0.47983
18,18,1986,Indirect migration background,Seldom,0.69106,71,10473,0.5427,0.92195
19,19,1988,No migration background,At least once per week,0.06948,488,9875,0.06721,0.07222
20,20,1988,No migration background,At least once per month,0.20624,1491,9875,0.20304,0.21001
21,21,1988,No migration background,Seldom,0.48932,3572,9875,0.484,0.49543
22,22,1988,No migration background,Never,0.23497,1473,9875,0.23099,0.23945
23,23,1988,Direct migration background,At least once per week,0.10473,351,9875,0.09359,0.11855
24,24,1988,Direct migration background,At least once per month,0.22588,670,9875,0.2048,0.2462
25,25,1988,Direct migration background,Seldom,0.41935,1011,9875,0.38858,0.45036
26,26,1988,Direct migration background,Never,0.25004,625,9875,0.22614,0.27463
27,27,1988,Indirect migration background,At least once per month,0.28042,63,9875,0.1939,0.40468
28,28,1988,Indirect migration background,Seldom,0.51626,94,9875,0.41636,0.64535
29,29,1988,Indirect migration background,Never,0.20332,37,9875,0.11467,0.28791
30,30,1990,No migration background,At least once per week,0.16918,735,4332,0.16399,0.17446
31,31,1990,No migration background,At least once per month,0.28331,1236,4332,0.27727,0.29103
32,32,1990,No migration background,Seldom,0.43226,1895,4332,0.42313,0.4403
33,33,1990,No migration background,Never,0.11524,371,4332,0.11,0.1219
34,34,1990,Direct migration background,At least once per month,0.38283,36,4332,0.34461,0.43158
35,35,1990,Direct migration background,Seldom,0.61717,59,4332,0.57351,0.6763
36,36,1992,No migration background,At least once per week,0.08728,863,13181,0.08421,0.09077
37,37,1992,No migration background,At least once per month,0.25759,2759,13181,0.25295,0.2627
38,38,1992,No migration background,Seldom,0.4903,5289,13181,0.48327,0.49935
39,39,1992,No migration background,Never,0.16483,1344,13181,0.16068,0.16931
40,40,1992,Direct migration background,At least once per week,0.11852,351,13181,0.10784,0.13115
41,41,1992,Direct migration background,At least once per month,0.27585,762,13181,0.25327,0.29985
42,42,1992,Direct migration background,Seldom,0.4289,988,13181,0.40798,0.45369
43,43,1992,Direct migration background,Never,0.17673,422,13181,0.15911,0.20104
44,44,1992,Indirect migration background,At least once per week,0.13717,61,13181,0.11336,0.17009
45,45,1992,Indirect migration background,At least once per month,0.31933,140,13181,0.2633,0.38421
46,46,1992,Indirect migration background,Seldom,0.38283,155,13181,0.33038,0.43795
47,47,1992,Indirect migration background,Never,0.16067,47,13181,0.1225,0.2149
48,48,1994,No migration background,At least once per week,0.08551,852,12789,0.0817,0.08911
49,49,1994,No migration background,At least once per month,0.25635,2647,12789,0.25069,0.26311
50,50,1994,No migration background,Seldom,0.50502,5210,12789,0.497,0.51493
51,51,1994,No migration background,Never,0.15312,1249,12789,0.14755,0.15842
52,52,1994,Direct migration background,At least once per week,0.11886,308,12789,0.10746,0.13429
53,53,1994,Direct migration background,At least once per month,0.27178,710,12789,0.25408,0.29047
54,54,1994,Direct migration background,Seldom,0.4402,972,12789,0.4149,0.46572
55,55,1994,Direct migration background,Never,0.16915,356,12789,0.15025,0.19378
56,56,1994,Indirect migration background,At least once per week,0.14088,66,12789,0.11415,0.17365
57,57,1994,Indirect migration background,At least once per month,0.30671,170,12789,0.27254,0.34996
58,58,1994,Indirect migration background,Seldom,0.44123,209,12789,0.3912,0.50025
59,59,1994,Indirect migration background,Never,0.11118,40,12789,0.07189,0.15741
60,60,1996,No migration background,At least once per week,0.11248,1108,12993,0.10801,0.11795
61,61,1996,No migration background,At least once per month,0.29522,3095,12993,0.28817,0.30249
62,62,1996,No migration background,Seldom,0.46845,4734,12993,0.45966,0.47948
63,63,1996,No migration background,Never,0.12386,931,12993,0.11891,0.12871
64,64,1996,Direct migration background,At least once per week,0.16052,414,12993,0.14732,0.17892
65,65,1996,Direct migration background,At least once per month,0.30578,866,12993,0.29061,0.32714
66,66,1996,Direct migration background,Seldom,0.3933,978,12993,0.36403,0.4182
67,67,1996,Direct migration background,Never,0.1404,330,12993,0.12573,0.1591
68,68,1996,Indirect migration background,At least once per week,0.09622,57,12993,0.06354,0.13856
69,69,1996,Indirect migration background,At least once per month,0.3621,195,12993,0.31065,0.42519
70,70,1996,Indirect migration background,Seldom,0.46083,232,12993,0.41021,0.506
71,71,1996,Indirect migration background,Never,0.08085,53,12993,0.06327,0.10158
72,72,1997,No migration background,At least once per week,0.11013,1038,12729,0.10507,0.11436
73,73,1997,No migration background,At least once per month,0.28195,2908,12729,0.27402,0.28931
74,74,1997,No migration background,Seldom,0.46943,4724,12729,0.45974,0.47807
75,75,1997,No migration background,Never,0.13849,1041,12729,0.13365,0.14443
76,76,1997,Direct migration background,At least once per week,0.13565,378,12729,0.12267,0.15345
77,77,1997,Direct migration background,At least once per month,0.30078,760,12729,0.2831,0.32285
78,78,1997,Direct migration background,Seldom,0.41408,973,12729,0.3877,0.44016
79,79,1997,Direct migration background,Never,0.14949,346,12729,0.13346,0.163
80,80,1997,Indirect migration background,At least once per week,0.1458,89,12729,0.1212,0.17431
81,81,1997,Indirect migration background,At least once per month,0.30315,179,12729,0.25742,0.35953
82,82,1997,Indirect migration background,Seldom,0.45562,247,12729,0.39457,0.51416
