,Unnamed: 0,year,sex,pli0095_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,male,At least once per week,0.09493,618,10903,0.08963,0.1003
1,1,1985,male,At least once per month,0.27163,1559,10903,0.26354,0.27907
2,2,1985,male,Seldom,0.46143,2361,10903,0.4538,0.46951
3,3,1985,male,Never,0.17201,820,10903,0.16602,0.17912
4,4,1985,female,At least once per week,0.10395,634,10903,0.09805,0.11011
5,5,1985,female,At least once per month,0.21452,1273,10903,0.20788,0.22105
6,6,1985,female,Seldom,0.44003,2474,10903,0.42975,0.44774
7,7,1985,female,Never,0.24149,1164,10903,0.23279,0.25001
8,8,1986,male,At least once per week,0.06884,429,10509,0.06289,0.07295
9,9,1986,male,At least once per month,0.24146,1371,10509,0.2328,0.25086
10,10,1986,male,Seldom,0.50126,2497,10509,0.49055,0.51036
11,11,1986,male,Never,0.18844,895,10509,0.18199,0.19515
12,12,1986,female,At least once per week,0.08888,483,10509,0.0835,0.09509
13,13,1986,female,At least once per month,0.17663,1062,10509,0.16912,0.18235
14,14,1986,female,Seldom,0.46498,2532,10509,0.45586,0.47422
15,15,1986,female,Never,0.26951,1240,10509,0.26068,0.27937
16,16,1988,male,At least once per week,0.06671,412,9900,0.06159,0.07147
17,17,1988,male,At least once per month,0.24841,1264,9900,0.24116,0.25653
18,18,1988,male,Seldom,0.48919,2320,9900,0.47821,0.49966
19,19,1988,male,Never,0.19569,900,9900,0.18709,0.20473
20,20,1988,female,At least once per week,0.07886,452,9900,0.07303,0.08421
21,21,1988,female,At least once per month,0.17244,960,9900,0.16657,0.18133
22,22,1988,female,Seldom,0.47575,2357,9900,0.46625,0.48735
23,23,1988,female,Never,0.27296,1235,9900,0.26191,0.28282
24,24,1990,male,At least once per week,0.18885,411,4377,0.18017,0.19623
25,25,1990,male,At least once per month,0.33661,711,4377,0.3259,0.34677
26,26,1990,male,Seldom,0.40344,857,4377,0.39175,0.41427
27,27,1990,male,Never,0.0711,111,4377,0.06436,0.07803
28,28,1990,female,At least once per week,0.15342,352,4377,0.14688,0.16044
29,29,1990,female,At least once per month,0.23412,562,4377,0.2257,0.24424
30,30,1990,female,Seldom,0.45752,1097,4377,0.44633,0.46748
31,31,1990,female,Never,0.15493,276,4377,0.14717,0.16305
32,32,1992,male,At least once per week,0.08296,586,13181,0.07832,0.08813
33,33,1992,male,At least once per month,0.28989,1984,13181,0.27887,0.29792
34,34,1992,male,Seldom,0.48972,3090,13181,0.47924,0.50162
35,35,1992,male,Never,0.13743,753,13181,0.13139,0.14423
36,36,1992,female,At least once per week,0.09915,689,13181,0.09329,0.10479
37,37,1992,female,At least once per month,0.23299,1677,13181,0.22528,0.24159
38,38,1992,female,Seldom,0.47516,3342,13181,0.46462,0.48584
39,39,1992,female,Never,0.19271,1060,13181,0.18547,0.20135
40,40,1994,male,At least once per week,0.08949,593,12789,0.08396,0.09479
41,41,1994,male,At least once per month,0.29696,1947,12789,0.28739,0.30619
42,42,1994,male,Seldom,0.49969,3031,12789,0.48796,0.51226
43,43,1994,male,Never,0.11385,609,12789,0.10769,0.1196
44,44,1994,female,At least once per week,0.09156,633,12789,0.08522,0.09729
45,45,1994,female,At least once per month,0.22409,1580,12789,0.21583,0.23115
46,46,1994,female,Seldom,0.49263,3360,12789,0.4816,0.50691
47,47,1994,female,Never,0.19171,1036,12789,0.18246,0.1997
48,48,1996,male,At least once per week,0.11316,759,12993,0.10659,0.11926
49,49,1996,male,At least once per month,0.32997,2190,12993,0.31943,0.34065
50,50,1996,male,Seldom,0.45997,2821,12993,0.44701,0.47371
51,51,1996,male,Never,0.0969,498,12993,0.09008,0.10379
52,52,1996,female,At least once per week,0.12419,820,12993,0.11822,0.12987
53,53,1996,female,At least once per month,0.26825,1966,12993,0.25816,0.27781
54,54,1996,female,Seldom,0.45578,3123,12993,0.44367,0.46908
55,55,1996,female,Never,0.15178,816,12993,0.14315,0.15885
56,56,1997,male,At least once per week,0.10749,733,12729,0.10097,0.11307
57,57,1997,male,At least once per month,0.32892,2095,12729,0.31748,0.33967
58,58,1997,male,Seldom,0.45842,2787,12729,0.44315,0.47303
59,59,1997,male,Never,0.10517,549,12729,0.09832,0.11326
60,60,1997,female,At least once per week,0.12106,772,12729,0.11394,0.12844
61,61,1997,female,At least once per month,0.2441,1752,12729,0.23455,0.25379
62,62,1997,female,Seldom,0.46416,3157,12729,0.45078,0.47814
63,63,1997,female,Never,0.17067,884,12729,0.16375,0.17898
64,64,1999,male,At least once per week,0.09952,709,13596,0.09412,0.10577
65,65,1999,male,At least once per month,0.30705,2176,13596,0.29869,0.3165
66,66,1999,male,Seldom,0.49163,3138,13596,0.48042,0.50469
67,67,1999,male,Never,0.1018,562,13596,0.0946,0.10813
68,68,1999,female,At least once per week,0.11096,745,13596,0.10461,0.11747
69,69,1999,female,At least once per month,0.23332,1816,13596,0.22632,0.24254
70,70,1999,female,Seldom,0.48507,3496,13596,0.47319,0.49834
71,71,1999,female,Never,0.17064,954,13596,0.1628,0.1781
72,72,2001,male,At least once per week,0.12505,1331,21761,0.12151,0.12917
73,73,2001,male,At least once per month,0.32547,3529,21761,0.31876,0.33222
74,74,2001,male,Seldom,0.4402,4573,21761,0.43312,0.44864
75,75,2001,male,Never,0.10927,1029,21761,0.1051,0.11354
76,76,2001,female,At least once per week,0.12187,1377,21761,0.11784,0.12575
77,77,2001,female,At least once per month,0.26562,3181,21761,0.26007,0.27076
78,78,2001,female,Seldom,0.4344,5069,21761,0.42555,0.4424
79,79,2001,female,Never,0.17811,1672,21761,0.17368,0.18336
80,80,2005,male,At least once per week,0.12151,1139,20580,0.11581,0.12713
81,81,2005,male,At least once per month,0.33842,3354,20580,0.32763,0.34831
82,82,2005,male,Seldom,0.44768,4522,20580,0.43635,0.45799
83,83,2005,male,Never,0.09239,840,20580,0.08696,0.09783
84,84,2005,female,At least once per week,0.12116,1290,20580,0.11534,0.12617
85,85,2005,female,At least once per month,0.28294,3122,20580,0.2757,0.29137
86,86,2005,female,Seldom,0.44304,4964,20580,0.43254,0.45247
87,87,2005,female,Never,0.15286,1349,20580,0.14606,0.1596
88,88,2007,male,At least once per week,0.12194,1237,20388,0.11675,0.12807
89,89,2007,male,At least once per month,0.34912,3298,20388,0.33864,0.35944
