,Unnamed: 0,year,migback,pgisced97,pli0095_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,No migration background,Pre-primary Level,At least once per month,0.27259,35,10371,0.24554,0.29716
1,1,1985,No migration background,Pre-primary Level,Seldom,0.72741,86,10371,0.69517,0.75529
2,2,1985,No migration background,Primary Level,Seldom,1.0,39,10371,0.88795,1.12024
3,3,1985,No migration background,Lower Secondary Level,At least once per week,0.09503,189,10371,0.0905,0.09914
4,4,1985,No migration background,Lower Secondary Level,At least once per month,0.20124,442,10371,0.19575,0.20697
5,5,1985,No migration background,Lower Secondary Level,Seldom,0.42398,921,10371,0.41662,0.43114
6,6,1985,No migration background,Lower Secondary Level,Never,0.27975,511,10371,0.27094,0.28766
7,7,1985,No migration background,Upper Secondary Level,At least once per week,0.09106,385,10371,0.08851,0.09395
8,8,1985,No migration background,Upper Secondary Level,At least once per month,0.25456,1093,10371,0.25054,0.25862
9,9,1985,No migration background,Upper Secondary Level,Seldom,0.46774,2017,10371,0.46223,0.47355
10,10,1985,No migration background,Upper Secondary Level,Never,0.18664,682,10371,0.1813,0.19143
11,11,1985,No migration background,Post-secondary Non-tertiary Level,At least once per month,0.41219,49,10371,0.37867,0.45827
12,12,1985,No migration background,Post-secondary Non-tertiary Level,Seldom,0.58781,72,10371,0.54388,0.63896
13,13,1985,No migration background,First Stage of Tertiary Education,At least once per week,0.07991,45,10371,0.07297,0.08661
14,14,1985,No migration background,First Stage of Tertiary Education,At least once per month,0.23817,139,10371,0.22631,0.24991
15,15,1985,No migration background,First Stage of Tertiary Education,Seldom,0.453,263,10371,0.43903,0.46812
16,16,1985,No migration background,First Stage of Tertiary Education,Never,0.22892,115,10371,0.21454,0.24209
17,17,1985,No migration background,Second Stage of Tertiary Education,At least once per week,0.08206,50,10371,0.07396,0.09114
18,18,1985,No migration background,Second Stage of Tertiary Education,At least once per month,0.2231,143,10371,0.21288,0.2348
19,19,1985,No migration background,Second Stage of Tertiary Education,Seldom,0.52256,343,10371,0.50519,0.53811
20,20,1985,No migration background,Second Stage of Tertiary Education,Never,0.17229,97,10371,0.16082,0.18461
21,21,1985,Direct migration background,Primary Level,At least once per week,0.16038,123,10371,0.14306,0.18014
22,22,1985,Direct migration background,Primary Level,At least once per month,0.2904,209,10371,0.25361,0.33984
23,23,1985,Direct migration background,Primary Level,Seldom,0.33794,251,10371,0.30576,0.36729
24,24,1985,Direct migration background,Primary Level,Never,0.21129,157,10371,0.19109,0.23573
25,25,1985,Direct migration background,Lower Secondary Level,At least once per week,0.18403,168,10371,0.15548,0.21323
26,26,1985,Direct migration background,Lower Secondary Level,At least once per month,0.28557,289,10371,0.24677,0.32251
27,27,1985,Direct migration background,Lower Secondary Level,Seldom,0.33239,300,10371,0.29023,0.38219
28,28,1985,Direct migration background,Lower Secondary Level,Never,0.19801,146,10371,0.15133,0.2462
29,29,1985,Direct migration background,Upper Secondary Level,At least once per week,0.16358,158,10371,0.13807,0.18935
30,30,1985,Direct migration background,Upper Secondary Level,At least once per month,0.29198,282,10371,0.25537,0.32682
31,31,1985,Direct migration background,Upper Secondary Level,Seldom,0.39097,329,10371,0.35258,0.43748
32,32,1985,Direct migration background,Upper Secondary Level,Never,0.15347,128,10371,0.12384,0.18246
33,33,1985,Direct migration background,Post-secondary Non-tertiary Level,At least once per month,0.53906,35,10371,0.39463,0.71504
34,34,1985,Direct migration background,Post-secondary Non-tertiary Level,Seldom,0.46094,31,10371,0.31146,0.6126
35,35,1985,Direct migration background,Second Stage of Tertiary Education,Seldom,1.0,49,10371,0.76055,1.23714
36,36,1986,No migration background,Pre-primary Level,At least once per month,0.28764,31,9974,0.25147,0.33161
37,37,1986,No migration background,Pre-primary Level,Seldom,0.71236,77,9974,0.66043,0.76086
38,38,1986,No migration background,Primary Level,Seldom,1.0,39,9974,0.85411,1.13088
39,39,1986,No migration background,Lower Secondary Level,At least once per week,0.08902,157,9974,0.08423,0.09513
40,40,1986,No migration background,Lower Secondary Level,At least once per month,0.1673,339,9974,0.16187,0.17407
41,41,1986,No migration background,Lower Secondary Level,Seldom,0.43324,885,9974,0.42184,0.44354
42,42,1986,No migration background,Lower Secondary Level,Never,0.31045,531,9974,0.29968,0.32232
43,43,1986,No migration background,Upper Secondary Level,At least once per week,0.07112,283,9974,0.06845,0.07407
44,44,1986,No migration background,Upper Secondary Level,At least once per month,0.21056,912,9974,0.20595,0.21423
45,45,1986,No migration background,Upper Secondary Level,Seldom,0.51519,2132,9974,0.50748,0.52165
46,46,1986,No migration background,Upper Secondary Level,Never,0.20313,709,9974,0.19732,0.20862
