year,hhtyp,hlf0188,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2001,Single-person household,Yes,0.5421686746987951,11680,0.5331331242974688,0.5512042251001215
2001,Single-person household,No,0.4578313253012048,11680,0.4487957748998785,0.4668668757025311
2001,Couple without children,Yes,0.711048951048951,11680,0.7028284831510008,0.7192694189469013
2001,Couple without children,No,0.28895104895104895,11680,0.2807305810530986,0.2971715168489993
2001,Single parent,No,0.5854700854700855,11680,0.5765356947070379,0.5944044762331331
2001,Single parent,Yes,0.41452991452991456,11680,0.40559552376686697,0.42346430529296214
2001,Couple with children,Yes,0.6549566891241578,11680,0.6463352900766609,0.6635780881716548
2001,Couple with children,No,0.34504331087584217,11680,0.3364219118283452,0.35366470992333915
2001,Multi-generational household,No,0.5471698113207547,11680,0.5381423964814632,0.5561972261600462
2001,Multi-generational household,Yes,0.4528301886792453,11680,0.44380277383995387,0.4618576035185367
2001,Other Combinations,Yes,0.552,11680,0.5429813154681555,0.5610186845318446
2001,Other Combinations,No,0.448,11680,0.4389813154681555,0.4570186845318445
2003,Single-person household,Yes,0.5246636771300448,11804,0.5156545550616044,0.5336727991984852
2003,Single-person household,No,0.47533632286995514,11804,0.46632720080151474,0.48434544493839554
2003,Couple without children,Yes,0.7122245540398741,11804,0.7040572859833908,0.7203918220963573
2003,Couple without children,No,0.28777544596012594,11804,0.2796081779036427,0.2959427140166092
2003,Single parent,No,0.6014388489208633,11804,0.5926063276545338,0.6102713701871928
2003,Single parent,Yes,0.3985611510791367,11804,0.38972862981280726,0.40739367234546614
2003,Couple with children,Yes,0.6601164483260553,11804,0.6515713547685998,0.6686615418835108
2003,Couple with children,No,0.3398835516739447,11804,0.33133845811648927,0.3484286452314001
2003,Multi-generational household,Yes,0.5934959349593496,11804,0.5846349338336141,0.6023569360850851
2003,Multi-generational household,No,0.4065040650406504,11804,0.39764306391491494,0.41536506616638585
2003,Other Combinations,No,0.5175438596491229,11804,0.5085293113459884,0.5265584079522573
2003,Other Combinations,Yes,0.4824561403508772,11804,0.4734415920477428,0.4914706886540116
2005,Single-person household,No,0.5074523396880416,11199,0.49819282534246984,0.5167118540336134
2005,Single-person household,Yes,0.4925476603119584,11199,0.48328814596638664,0.5018071746575302
2005,Couple without children,Yes,0.6911364872213159,11199,0.6825792876068685,0.6996936868357634
2005,Couple without children,No,0.30886351277868407,11199,0.3003063131642366,0.3174207123931315
2005,Single parent,No,0.6473149492017417,11199,0.6384654683622053,0.6561644300412781
2005,Single parent,Yes,0.35268505079825835,11199,0.343835569958722,0.3615345316377947
2005,Couple with children,Yes,0.6267968538106862,11199,0.6178390303102327,0.6357546773111397
2005,Couple with children,No,0.37320314618931383,11199,0.36424532268886034,0.3821609696897673
2005,Multi-generational household,No,0.5619047619047619,11199,0.5527154694881707,0.5710940543213531
