year,migback,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,Catholic,0.33384,2975,10866,0.32497,0.34271
1990,No migration background,Protestant,0.44143,4359,10866,0.43209,0.45077
1990,No migration background,Other Christian community,0.01034,87,10866,0.00844,0.01225
1990,No migration background,Other religious community,0.00189,37,10866,0.00108,0.00271
1990,No migration background,Non-denominational,0.21190,3408,10866,0.20421,0.21958
1990,Direct migration background,Catholic,0.41547,1007,2630,0.39663,0.43431
1990,Direct migration background,Protestant,0.16633,178,2630,0.15210,0.18057
1990,Direct migration background,Other Christian community,0.06515,207,2630,0.05571,0.07458
1990,Direct migration background,Islamic community,0.19571,786,2630,0.18054,0.21087
1990,Direct migration background,Non-denominational,0.10617,186,2630,0.09440,0.11795
1990,Direct migration background,Christian orthodox,0.04016,266,2630,0.03265,0.04766
1990,Indirect migration background,Catholic,0.41915,138,245,0.35724,0.48106
1990,Indirect migration background,Islamic community,0.17843,58,245,0.13039,0.22647
1990,Indirect migration background,Christian orthodox,0.08339,49,245,0.04870,0.11808
1997,No migration background,Catholic,0.31387,2631,9727,0.30465,0.32310
1997,No migration background,Protestant,0.39424,3523,9727,0.38453,0.40395
1997,No migration background,Other Christian community,0.01093,95,9727,0.00886,0.01299
1997,No migration background,Non-denominational,0.27548,3478,9727,0.26660,0.28436
1997,Direct migration background,Catholic,0.41814,940,2425,0.39851,0.43778
1997,Direct migration background,Protestant,0.15941,253,2425,0.14484,0.17398
1997,Direct migration background,Other Christian community,0.07892,273,2425,0.06818,0.08965
1997,Direct migration background,Other religious community,0.18447,677,2425,0.16903,0.19991
1997,Direct migration background,Non-denominational,0.15598,282,2425,0.14153,0.17042
1997,Indirect migration background,Catholic,0.36512,201,561,0.32525,0.40500
1997,Indirect migration background,Protestant,0.17064,47,561,0.13948,0.20180
1997,Indirect migration background,Other Christian community,0.08278,92,561,0.05996,0.10560
1997,Indirect migration background,Other religious community,0.24221,163,561,0.20673,0.27770
1997,Indirect migration background,Non-denominational,0.13659,58,561,0.10814,0.16503
2003,No migration background,Catholic,0.30805,5378,18657,0.30143,0.31468
2003,No migration background,Protestant,0.38022,6828,18657,0.37326,0.38719
2003,No migration background,Other Christian community,0.00812,149,18657,0.00683,0.00941
2003,No migration background,Other religious community,0.00392,65,18657,0.00302,0.00482
2003,No migration background,Non-denominational,0.29968,6237,18657,0.29311,0.30626
2003,Direct migration background,Catholic,0.35286,923,2599,0.33448,0.37124
2003,Direct migration background,Protestant,0.18398,421,2599,0.16908,0.19888
2003,Direct migration background,Other Christian community,0.10107,280,2599,0.08948,0.11266
2003,Direct migration background,Other religious community,0.20793,617,2599,0.19232,0.22353
2003,Direct migration background,Non-denominational,0.15416,358,2599,0.14028,0.16805
2003,Indirect migration background,Catholic,0.34986,281,769,0.31613,0.38359
2003,Indirect migration background,Protestant,0.20869,120,769,0.17995,0.23743
2003,Indirect migration background,Other Christian community,0.06049,76,769,0.04363,0.07735
2003,Indirect migration background,Other religious community,0.23328,181,769,0.20337,0.26319
2003,Indirect migration background,Non-denominational,0.14768,111,769,0.12259,0.17277
2007,No migration background,Catholic,0.29839,4968,17550,0.29162,0.30516
2007,No migration background,Protestant,0.37695,6535,17550,0.36978,0.38412
2007,No migration background,Other Christian community,0.01096,181,17550,0.00942,0.01250
2007,No migration background,Non-denominational,0.31231,5866,17550,0.30546,0.31917
2007,Direct migration background,Catholic,0.33502,708,2084,0.31475,0.35529
2007,Direct migration background,Protestant,0.18456,413,2084,0.16790,0.20122
2007,Direct migration background,Other Christian community,0.11265,237,2084,0.09908,0.12623
2007,Direct migration background,Islamic community,0.21488,458,2084,0.19724,0.23252
2007,Direct migration background,Non-denominational,0.14008,268,2084,0.12517,0.15498
2007,Indirect migration background,Catholic,0.35333,273,771,0.31956,0.38709
2007,Indirect migration background,Protestant,0.19789,135,771,0.16975,0.22603
2007,Indirect migration background,Other Christian community,0.07953,86,771,0.06042,0.09864
2007,Indirect migration background,Islamic community,0.19992,160,771,0.17167,0.22817
2007,Indirect migration background,Non-denominational,0.15423,117,771,0.12872,0.17974
2011,No migration background,Catholic,0.28376,5358,19060,0.27736,0.29016
2011,No migration background,Protestant,0.36711,6915,19060,0.36027,0.37395
2011,No migration background,Other Christian community,0.01098,236,19060,0.00950,0.01246
2011,No migration background,Non-denominational,0.33612,6551,19060,0.32941,0.34283
2011,Direct migration background,Catholic,0.36136,723,2113,0.34087,0.38185
2011,Direct migration background,Protestant,0.20565,478,2113,0.18841,0.22289
2011,Direct migration background,Other Christian community,0.09776,207,2113,0.08509,0.11042
2011,Direct migration background,Islamic community,0.14477,342,2113,0.12976,0.15978
2011,Direct migration background,Non-denominational,0.17413,363,2113,0.15795,0.19030
2011,Indirect migration background,Catholic,0.39647,306,846,0.36349,0.42945
2011,Indirect migration background,Protestant,0.18559,145,846,0.15938,0.21181
