year,migback,quintil_oecd,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,1st Quintile,Catholic,0.31476,416,997,0.28591,0.34360
1990,No migration background,1st Quintile,Protestant,0.42665,534,997,0.39594,0.45737
1990,No migration background,1st Quintile,Non-denominational,0.03847,47,997,0.02653,0.05041
1990,No migration background,2nd Quintile,Catholic,0.34653,550,1225,0.31987,0.37319
1990,No migration background,2nd Quintile,Protestant,0.38706,598,1225,0.35977,0.41435
1990,No migration background,2nd Quintile,Non-denominational,0.05482,77,1225,0.04207,0.06757
1990,No migration background,3rd Quintile,Catholic,0.34274,541,1270,0.31662,0.36885
1990,No migration background,3rd Quintile,Protestant,0.40025,614,1270,0.37329,0.42721
1990,No migration background,3rd Quintile,Non-denominational,0.07845,115,1270,0.06365,0.09324
1990,No migration background,4th Quintile,Catholic,0.36963,623,1477,0.34500,0.39426
1990,No migration background,4th Quintile,Protestant,0.41312,700,1477,0.38800,0.43824
1990,No migration background,4th Quintile,Non-denominational,0.09754,154,1477,0.08241,0.11268
1990,No migration background,5th Quintile,Catholic,0.35655,621,1550,0.33270,0.38040
1990,No migration background,5th Quintile,Protestant,0.40501,709,1550,0.38056,0.42945
1990,No migration background,5th Quintile,Non-denominational,0.13176,220,1550,0.11492,0.14860
1990,Direct migration background,1st Quintile,Catholic,0.31537,242,775,0.28264,0.34811
1990,Direct migration background,1st Quintile,Protestant,0.11941,36,775,0.09656,0.14225
1990,Direct migration background,1st Quintile,Other Christian community,0.08656,65,775,0.06675,0.10637
1990,Direct migration background,1st Quintile,Islamic community,0.33568,369,775,0.30241,0.36895
1990,Direct migration background,1st Quintile,Christian orthodox,0.03201,63,775,0.01960,0.04441
1990,Direct migration background,2nd Quintile,Catholic,0.43047,212,525,0.38807,0.47286
1990,Direct migration background,2nd Quintile,Other Christian community,0.08516,56,525,0.06126,0.10906
1990,Direct migration background,2nd Quintile,Islamic community,0.24392,211,525,0.20715,0.28069
1990,Direct migration background,2nd Quintile,Christian orthodox,0.03073,46,525,0.01595,0.04551
1990,Direct migration background,3rd Quintile,Catholic,0.47846,236,474,0.43344,0.52348
1990,Direct migration background,3rd Quintile,Other Christian community,0.04758,39,474,0.02840,0.06676
1990,Direct migration background,3rd Quintile,Islamic community,0.15090,135,474,0.11864,0.18316
1990,Direct migration background,3rd Quintile,Christian orthodox,0.04174,64,474,0.02371,0.05976
1990,Direct migration background,4th Quintile,Catholic,0.51973,191,312,0.46421,0.57526
1990,Direct migration background,4th Quintile,Islamic community,0.11298,61,312,0.07780,0.14816
1990,Direct migration background,4th Quintile,Christian orthodox,0.06295,60,312,0.03595,0.08994
1990,Direct migration background,5th Quintile,Catholic,0.33048,101,165,0.25849,0.40248
1990,Direct migration background,5th Quintile,Protestant,0.26934,31,165,0.20144,0.33724
1990,Direct migration background,5th Quintile,Christian orthodox,0.05107,33,165,0.01738,0.08476
1990,Indirect migration background,1st Quintile,Catholic,0.04421,31,31,-0.02935,0.11778
1990,Indirect migration background,2nd Quintile,Catholic,0.11331,34,34,0.00516,0.22146
1990,Indirect migration background,3rd Quintile,Catholic,0.07494,35,35,-0.01356,0.16344
1997,No migration background,1st Quintile,Catholic,0.20862,302,1375,0.18714,0.23011
1997,No migration background,1st Quintile,Protestant,0.33202,506,1375,0.30712,0.35692
1997,No migration background,1st Quintile,Non-denominational,0.21248,567,1375,0.19085,0.23411
1997,No migration background,2nd Quintile,Catholic,0.24461,495,1961,0.22558,0.26364
1997,No migration background,2nd Quintile,Protestant,0.29243,655,1961,0.27229,0.31257
1997,No migration background,2nd Quintile,Non-denominational,0.24339,811,1961,0.22439,0.26239
1997,No migration background,3rd Quintile,Catholic,0.25469,558,2060,0.23587,0.27351
1997,No migration background,3rd Quintile,Protestant,0.33920,763,2060,0.31875,0.35965
1997,No migration background,3rd Quintile,Non-denominational,0.21147,739,2060,0.19383,0.22911
1997,No migration background,4th Quintile,Catholic,0.27982,608,2157,0.26087,0.29876
1997,No migration background,4th Quintile,Protestant,0.34291,843,2157,0.32287,0.36295
1997,No migration background,4th Quintile,Non-denominational,0.22430,706,2157,0.20669,0.24190
1997,No migration background,5th Quintile,Catholic,0.30583,668,2079,0.28602,0.32564
1997,No migration background,5th Quintile,Protestant,0.33207,756,2079,0.31182,0.35232
1997,No migration background,5th Quintile,Non-denominational,0.25100,655,2079,0.23236,0.26964
1997,Direct migration background,1st Quintile,Catholic,0.31952,250,792,0.28702,0.35202
1997,Direct migration background,1st Quintile,Protestant,0.11973,76,792,0.09711,0.14236
1997,Direct migration background,1st Quintile,Other Christian community,0.07087,70,792,0.05299,0.08875
1997,Direct migration background,1st Quintile,Other religious community,0.27025,335,792,0.23930,0.30120
1997,Direct migration background,1st Quintile,Non-denominational,0.09450,61,792,0.07411,0.11489
1997,Direct migration background,2nd Quintile,Catholic,0.37860,210,591,0.33946,0.41774
1997,Direct migration background,2nd Quintile,Protestant,0.11989,47,591,0.09368,0.14611
1997,Direct migration background,2nd Quintile,Other Christian community,0.06195,62,591,0.04250,0.08140
1997,Direct migration background,2nd Quintile,Other religious community,0.21813,193,591,0.18481,0.25146
1997,Direct migration background,2nd Quintile,Non-denominational,0.15204,79,591,0.12307,0.18101
1997,Direct migration background,3rd Quintile,Catholic,0.45723,202,431,0.41014,0.50431
1997,Direct migration background,3rd Quintile,Protestant,0.14287,43,431,0.10980,0.17595
1997,Direct migration background,3rd Quintile,Other Christian community,0.07091,50,431,0.04665,0.09517
1997,Direct migration background,3rd Quintile,Other religious community,0.15439,91,431,0.12024,0.18854
