"plh0258_h","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"Katholisch","1990","16-34 Jahre alt","kein Migrationshintergrund","1140","0.343087526347199","0.328628078994075","0.357546973700323"
"Katholisch","1990","16-34 Jahre alt","direkter Migrationshintergrund","316","0.401944414705347","0.370382597633907","0.433506231776787"
"Katholisch","1990","16-34 Jahre alt","indirekter Migrationshintergrund","120","0.365714215775308","0.3079437498149","0.423484681735717"
"Katholisch","1990","35-65 Jahre alt","kein Migrationshintergrund","1433","0.329259089334006","0.316727184578233","0.341790994089778"
"Katholisch","1990","35-65 Jahre alt","direkter Migrationshintergrund","652","0.40148283323513","0.377801564215077","0.425164102255182"
"Katholisch","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Katholisch","1990","66 und älter","kein Migrationshintergrund","419","0.339128137368857","0.314195756795021","0.364060517942692"
"Katholisch","1990","66 und älter","direkter Migrationshintergrund","51","0.518282377553739","0.422709881235818","0.613854873871661"
"Katholisch","1990","66 und älter","indirekter Migrationshintergrund","","","",""
"Evangelisch","1990","16-34 Jahre alt","kein Migrationshintergrund","1506","0.408180176198056","0.3932103697784","0.423149982617713"
"Evangelisch","1990","16-34 Jahre alt","direkter Migrationshintergrund","38","0.109370468661682","0.0892792256733985","0.129461711649965"
"Evangelisch","1990","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Evangelisch","1990","35-65 Jahre alt","kein Migrationshintergrund","2162","0.432096640313597","0.418886772711739","0.445306507915455"
"Evangelisch","1990","35-65 Jahre alt","direkter Migrationshintergrund","110","0.160534918269079","0.142800405994981","0.178269430543176"
"Evangelisch","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Evangelisch","1990","66 und älter","kein Migrationshintergrund","719","0.524652900301466","0.498352360176355","0.550953440426576"
"Evangelisch","1990","66 und älter","direkter Migrationshintergrund","32","0.3500573792207","0.258822569915812","0.441292188525589"
"Evangelisch","1990","66 und älter","indirekter Migrationshintergrund","","","",""
"Andere christlische Religionsgemeinschaft","1990","16-34 Jahre alt","kein Migrationshintergrund","35","0.00990648625348102","0.00689005519320576","0.0129229173137563"
"Andere christlische Religionsgemeinschaft","1990","16-34 Jahre alt","direkter Migrationshintergrund","54","0.0501997862560562","0.0361433479948136","0.0642562245172988"
"Andere christlische Religionsgemeinschaft","1990","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Andere christlische Religionsgemeinschaft","1990","35-65 Jahre alt","kein Migrationshintergrund","44","0.0114076943646001","0.00857579150137774","0.0142395972278224"
"Andere christlische Religionsgemeinschaft","1990","35-65 Jahre alt","direkter Migrationshintergrund","153","0.0777723974348423","0.0648344620650872","0.0907103328045974"
"Andere christlische Religionsgemeinschaft","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Andere christlische Religionsgemeinschaft","1990","66 und älter","kein Migrationshintergrund","","","",""
"Andere christlische Religionsgemeinschaft","1990","66 und älter","direkter Migrationshintergrund","","","",""
"Andere christlische Religionsgemeinschaft","1990","66 und älter","indirekter Migrationshintergrund","","","",""
"Islamische Religionsgemeinschaft","1990","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Islamische Religionsgemeinschaft","1990","16-34 Jahre alt","direkter Migrationshintergrund","395","0.316167626906976","0.286235212308156","0.346100041505797"
"Islamische Religionsgemeinschaft","1990","16-34 Jahre alt","indirekter Migrationshintergrund","58","0.232080293322653","0.181443114793721","0.282717471851586"
"Islamische Religionsgemeinschaft","1990","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Islamische Religionsgemeinschaft","1990","35-65 Jahre alt","direkter Migrationshintergrund","389","0.179437240178531","0.16089998758996","0.197974492767102"
"Islamische Religionsgemeinschaft","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Islamische Religionsgemeinschaft","1990","66 und älter","kein Migrationshintergrund","","","",""
"Islamische Religionsgemeinschaft","1990","66 und älter","direkter Migrationshintergrund","","","",""
"Islamische Religionsgemeinschaft","1990","66 und älter","indirekter Migrationshintergrund","","","",""
"Andere Religionsgemeinschaft","1990","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Andere Religionsgemeinschaft","1990","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Andere Religionsgemeinschaft","1990","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Andere Religionsgemeinschaft","1990","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Andere Religionsgemeinschaft","1990","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Andere Religionsgemeinschaft","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Andere Religionsgemeinschaft","1990","66 und älter","kein Migrationshintergrund","","","",""
"Andere Religionsgemeinschaft","1990","66 und älter","direkter Migrationshintergrund","","","",""
"Andere Religionsgemeinschaft","1990","66 und älter","indirekter Migrationshintergrund","","","",""
"Konfessionslos","1990","16-34 Jahre alt","kein Migrationshintergrund","1446","0.236208138314229","0.223271232467334","0.249145044161124"
"Konfessionslos","1990","16-34 Jahre alt","direkter Migrationshintergrund","48","0.0850261643201304","0.0670710218520896","0.102981306788171"
"Konfessionslos","1990","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Konfessionslos","1990","35-65 Jahre alt","kein Migrationshintergrund","1740","0.224725068852798","0.213594318743942","0.235855818961655"
"Konfessionslos","1990","35-65 Jahre alt","direkter Migrationshintergrund","127","0.11541794072784","0.0999817939407167","0.130854087514964"
"Konfessionslos","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Konfessionslos","1990","66 und älter","kein Migrationshintergrund","236","0.126985008044345","0.109449825932992","0.144520190155698"
"Konfessionslos","1990","66 und älter","direkter Migrationshintergrund","","","",""
"Konfessionslos","1990","66 und älter","indirekter Migrationshintergrund","","","",""
"Christlich orthodox","1990","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Christlich orthodox","1990","16-34 Jahre alt","direkter Migrationshintergrund","69","0.0310400267372664","0.0198759661208537","0.0422040873536791"
"Christlich orthodox","1990","16-34 Jahre alt","indirekter Migrationshintergrund","49","0.103359403169989","0.0668439532621639","0.139874853077814"
"Christlich orthodox","1990","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Christlich orthodox","1990","35-65 Jahre alt","direkter Migrationshintergrund","194","0.0484034108533354","0.0380353485791865","0.0587714731274843"
"Christlich orthodox","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Christlich orthodox","1990","66 und älter","kein Migrationshintergrund","","","",""
"Christlich orthodox","1990","66 und älter","direkter Migrationshintergrund","","","",""
"Christlich orthodox","1990","66 und älter","indirekter Migrationshintergrund","","","",""
"Schiitische Rel.gemeinschaft","1990","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Schiitische Rel.gemeinschaft","1990","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Schiitische Rel.gemeinschaft","1990","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Schiitische Rel.gemeinschaft","1990","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Schiitische Rel.gemeinschaft","1990","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Schiitische Rel.gemeinschaft","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Schiitische Rel.gemeinschaft","1990","66 und älter","kein Migrationshintergrund","","","",""
"Schiitische Rel.gemeinschaft","1990","66 und älter","direkter Migrationshintergrund","","","",""
"Schiitische Rel.gemeinschaft","1990","66 und älter","indirekter Migrationshintergrund","","","",""
"Sunnitische Rel.gemeinschaft","1990","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Sunnitische Rel.gemeinschaft","1990","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Sunnitische Rel.gemeinschaft","1990","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Sunnitische Rel.gemeinschaft","1990","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Sunnitische Rel.gemeinschaft","1990","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Sunnitische Rel.gemeinschaft","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Sunnitische Rel.gemeinschaft","1990","66 und älter","kein Migrationshintergrund","","","",""
"Sunnitische Rel.gemeinschaft","1990","66 und älter","direkter Migrationshintergrund","","","",""
"Sunnitische Rel.gemeinschaft","1990","66 und älter","indirekter Migrationshintergrund","","","",""
"Alevitische Rel.gemeinschaft","1990","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Alevitische Rel.gemeinschaft","1990","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Alevitische Rel.gemeinschaft","1990","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Alevitische Rel.gemeinschaft","1990","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Alevitische Rel.gemeinschaft","1990","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Alevitische Rel.gemeinschaft","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Alevitische Rel.gemeinschaft","1990","66 und älter","kein Migrationshintergrund","","","",""
"Alevitische Rel.gemeinschaft","1990","66 und älter","direkter Migrationshintergrund","","","",""
"Alevitische Rel.gemeinschaft","1990","66 und älter","indirekter Migrationshintergrund","","","",""
"Mehrfachnennung","1990","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Mehrfachnennung","1990","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Mehrfachnennung","1990","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Mehrfachnennung","1990","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Mehrfachnennung","1990","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Mehrfachnennung","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Mehrfachnennung","1990","66 und älter","kein Migrationshintergrund","","","",""
"Mehrfachnennung","1990","66 und älter","direkter Migrationshintergrund","","","",""
"Mehrfachnennung","1990","66 und älter","indirekter Migrationshintergrund","","","",""
"Katholisch","1991","16-34 Jahre alt","kein Migrationshintergrund","63","0.0445187800523559","0.0341742378050683","0.0548633222996435"
"Katholisch","1991","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Katholisch","1991","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
