"plh0258_h","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Katholisch","1990","(noch) kein Abschluss","329","0.371212499703186","0.339560597218445","0.402864402187926"
"Katholisch","1990","Hauptschulabschluss","2442","0.380813393373431","0.369471985622075","0.392154801124786"
"Katholisch","1990","Realschulabschluss","737","0.295215577753781","0.279381720767606","0.311049434739956"
"Katholisch","1990","(Fach-)Abitur","269","0.323565405767744","0.292672832656388","0.354457978879099"
"Katholisch","1990","AkademikerInnen","292","0.251667686019651","0.230989668965385","0.272345703073917"
"Evangelisch","1990","(noch) kein Abschluss","108","0.27961881655952","0.250215186489297","0.309022446629743"
"Evangelisch","1990","Hauptschulabschluss","2519","0.438152599282526","0.426564239642863","0.44974095892219"
"Evangelisch","1990","Realschulabschluss","1110","0.402722984317843","0.385698261720082","0.419747706915603"
"Evangelisch","1990","(Fach-)Abitur","282","0.414165005738235","0.381638718533985","0.446691292942485"
"Evangelisch","1990","AkademikerInnen","515","0.346476236107628","0.323802904999262","0.369149567215995"
"Andere christlische Religionsgemeinschaft","1990","(noch) kein Abschluss","58","0.0590508930154055","0.0436078502023955","0.0744939358284155"
"Andere christlische Religionsgemeinschaft","1990","Hauptschulabschluss","164","0.0141011834424215","0.011347309640876","0.0168550572439671"
"Andere christlische Religionsgemeinschaft","1990","Realschulabschluss","35","0.0142227906098455","0.0101125170301049","0.018333064189586"
"Andere christlische Religionsgemeinschaft","1990","(Fach-)Abitur","30","0.0254682489890877","0.0150652710617201","0.0358712269164553"
"Andere christlische Religionsgemeinschaft","1990","AkademikerInnen","","","",""
"Islamische Religionsgemeinschaft","1990","(noch) kein Abschluss","260","0.188429756396204","0.162810036674885","0.214049476117523"
"Islamische Religionsgemeinschaft","1990","Hauptschulabschluss","432","0.0191545827506585","0.0159532065477478","0.0223559589535692"
"Islamische Religionsgemeinschaft","1990","Realschulabschluss","","","",""
"Islamische Religionsgemeinschaft","1990","(Fach-)Abitur","77","0.0312407548376677","0.0197531675001108","0.0427283421752245"
"Islamische Religionsgemeinschaft","1990","AkademikerInnen","","","",""
"Andere Religionsgemeinschaft","1990","(noch) kein Abschluss","","","",""
"Andere Religionsgemeinschaft","1990","Hauptschulabschluss","","","",""
"Andere Religionsgemeinschaft","1990","Realschulabschluss","","","",""
"Andere Religionsgemeinschaft","1990","(Fach-)Abitur","","","",""
"Andere Religionsgemeinschaft","1990","AkademikerInnen","","","",""
"Konfessionslos","1990","(noch) kein Abschluss","47","0.0506550046296499","0.0362882132406777","0.0650217960186221"
"Konfessionslos","1990","Hauptschulabschluss","1289","0.14103865667443","0.132909303871951","0.149168009476909"
"Konfessionslos","1990","Realschulabschluss","1246","0.27999660728436","0.264410681977878","0.295582532590842"
"Konfessionslos","1990","(Fach-)Abitur","187","0.195849238854984","0.169643897605579","0.222054580104388"
"Konfessionslos","1990","AkademikerInnen","834","0.378763791420877","0.355650567885076","0.401877014956678"
"Christlich orthodox","1990","(noch) kein Abschluss","86","0.0356069574511968","0.0234666121183561","0.0477473027840375"
"Christlich orthodox","1990","Hauptschulabschluss","165","0.00404759775044564","0.00256467664818352","0.00553051885270776"
"Christlich orthodox","1990","Realschulabschluss","","","",""
"Christlich orthodox","1990","(Fach-)Abitur","","","",""
"Christlich orthodox","1990","AkademikerInnen","","","",""
"Schiitische Rel.gemeinschaft","1990","(noch) kein Abschluss","","","",""
"Schiitische Rel.gemeinschaft","1990","Hauptschulabschluss","","","",""
"Schiitische Rel.gemeinschaft","1990","Realschulabschluss","","","",""
"Schiitische Rel.gemeinschaft","1990","(Fach-)Abitur","","","",""
"Schiitische Rel.gemeinschaft","1990","AkademikerInnen","","","",""
"Sunnitische Rel.gemeinschaft","1990","(noch) kein Abschluss","","","",""
"Sunnitische Rel.gemeinschaft","1990","Hauptschulabschluss","","","",""
"Sunnitische Rel.gemeinschaft","1990","Realschulabschluss","","","",""
"Sunnitische Rel.gemeinschaft","1990","(Fach-)Abitur","","","",""
"Sunnitische Rel.gemeinschaft","1990","AkademikerInnen","","","",""
"Alevitische Rel.gemeinschaft","1990","(noch) kein Abschluss","","","",""
"Alevitische Rel.gemeinschaft","1990","Hauptschulabschluss","","","",""
"Alevitische Rel.gemeinschaft","1990","Realschulabschluss","","","",""
"Alevitische Rel.gemeinschaft","1990","(Fach-)Abitur","","","",""
"Alevitische Rel.gemeinschaft","1990","AkademikerInnen","","","",""
"Mehrfachnennung","1990","(noch) kein Abschluss","","","",""
"Mehrfachnennung","1990","Hauptschulabschluss","","","",""
"Mehrfachnennung","1990","Realschulabschluss","","","",""
"Mehrfachnennung","1990","(Fach-)Abitur","","","",""
"Mehrfachnennung","1990","AkademikerInnen","","","",""
"Katholisch","1991","(noch) kein Abschluss","","","",""
"Katholisch","1991","Hauptschulabschluss","86","0.0613304187474423","0.0492564613890943","0.0734043761057903"
"Katholisch","1991","Realschulabschluss","79","0.0555044979563839","0.0439560491423597","0.0670529467704082"
"Katholisch","1991","(Fach-)Abitur","","","",""
"Katholisch","1991","AkademikerInnen","36","0.0387668271716182","0.0265429257018831","0.0509907286413532"
"Evangelisch","1991","(noch) kein Abschluss","","","",""
"Evangelisch","1991","Hauptschulabschluss","499","0.357223829426127","0.333110599044464","0.381337059807791"
"Evangelisch","1991","Realschulabschluss","351","0.232298444788131","0.210998475428283","0.253598414147979"
"Evangelisch","1991","(Fach-)Abitur","","","",""
"Evangelisch","1991","AkademikerInnen","226","0.235036887496818","0.208186312103092","0.261887462890545"
