year,age_gr,regtyp,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Urban regions,Catholic,0.35474,816,2495,0.33596,0.37351
1990,17-29 y.,Urban regions,Protestant,0.41045,754,2495,0.39115,0.42976
1990,17-29 y.,Urban regions,Other Christian community,0.02281,69,2495,0.01695,0.02867
1990,17-29 y.,Urban regions,Islamic community,0.04825,359,2495,0.03984,0.05666
1990,17-29 y.,Urban regions,Non-denominational,0.15577,420,2495,0.14153,0.17000
1990,17-29 y.,Urban regions,Christian orthodox,0.00573,77,2495,0.00277,0.00870
1990,17-29 y.,Rural regions,Catholic,0.30995,313,1277,0.28457,0.33532
1990,17-29 y.,Rural regions,Protestant,0.34401,361,1277,0.31794,0.37007
1990,17-29 y.,Rural regions,Islamic community,0.00949,33,1277,0.00417,0.01481
1990,17-29 y.,Rural regions,Non-denominational,0.32272,570,1277,0.29707,0.34837
1990,30-45 y.,No answer / don't know,Non-denominational,0.82791,31,31,0.69284,0.96298
1990,30-45 y.,Urban regions,Catholic,0.38735,974,2713,0.36901,0.40568
1990,30-45 y.,Urban regions,Protestant,0.34518,752,2713,0.32729,0.36307
1990,30-45 y.,Urban regions,Other Christian community,0.02500,113,2713,0.01912,0.03087
1990,30-45 y.,Urban regions,Islamic community,0.03035,186,2713,0.02390,0.03681
1990,30-45 y.,Urban regions,Non-denominational,0.20188,622,2713,0.18677,0.21699
1990,30-45 y.,Urban regions,Christian orthodox,0.00567,66,2713,0.00285,0.00850
1990,30-45 y.,Rural regions,Catholic,0.29454,315,1445,0.27103,0.31805
1990,30-45 y.,Rural regions,Protestant,0.34822,444,1445,0.32365,0.37279
1990,30-45 y.,Rural regions,Non-denominational,0.33218,686,1445,0.30789,0.35648
1990,46-65 y.,Urban regions,Catholic,0.36562,944,2764,0.34766,0.38358
1990,46-65 y.,Urban regions,Protestant,0.42877,932,2764,0.41031,0.44722
1990,46-65 y.,Urban regions,Other Christian community,0.01852,78,2764,0.01349,0.02354
1990,46-65 y.,Urban regions,Islamic community,0.02425,221,2764,0.01852,0.02999
1990,46-65 y.,Urban regions,Non-denominational,0.15218,475,2764,0.13878,0.16557
1990,46-65 y.,Urban regions,Christian orthodox,0.00774,114,2764,0.00447,0.01101
1990,46-65 y.,Rural regions,Catholic,0.26343,297,1384,0.24022,0.28665
1990,46-65 y.,Rural regions,Protestant,0.43366,562,1384,0.40754,0.45978
1990,46-65 y.,Rural regions,Non-denominational,0.28018,525,1384,0.25651,0.30385
1990,66 and older,Urban regions,Catholic,0.35291,320,897,0.32162,0.38420
1990,66 and older,Urban regions,Protestant,0.51444,450,897,0.48171,0.54717
1990,66 and older,Urban regions,Non-denominational,0.12047,127,897,0.09916,0.14178
1990,66 and older,Rural regions,Catholic,0.31769,140,536,0.27823,0.35714
1990,66 and older,Rural regions,Protestant,0.52950,283,536,0.48721,0.57180
1990,66 and older,Rural regions,Non-denominational,0.14103,113,536,0.11153,0.17052
1997,17-29 y.,Urban regions,Catholic,0.36232,647,1963,0.34105,0.38359
1997,17-29 y.,Urban regions,Protestant,0.32055,516,1963,0.29990,0.34120
1997,17-29 y.,Urban regions,Other Christian community,0.02412,84,1963,0.01733,0.03091
1997,17-29 y.,Urban regions,Other religious community,0.09763,329,1963,0.08450,0.11077
1997,17-29 y.,Urban regions,Non-denominational,0.19328,387,1963,0.17581,0.21075
1997,17-29 y.,Rural regions,Catholic,0.27854,234,1020,0.25102,0.30607
1997,17-29 y.,Rural regions,Protestant,0.29523,278,1020,0.26723,0.32324
1997,17-29 y.,Rural regions,Other Christian community,0.01896,35,1020,0.01059,0.02734
1997,17-29 y.,Rural regions,Non-denominational,0.39006,473,1020,0.36011,0.42001
1997,30-45 y.,Urban regions,Catholic,0.34292,951,2864,0.32553,0.36031
1997,30-45 y.,Urban regions,Protestant,0.30814,773,2864,0.29123,0.32506
1997,30-45 y.,Urban regions,Other Christian community,0.02869,124,2864,0.02258,0.03481
1997,30-45 y.,Urban regions,Other religious community,0.04164,236,2864,0.03432,0.04896
