"plh0258_h","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Katholisch","1990","16-34 Jahre alt","(noch) kein Abschluss","112","0.376905427648429","0.326423068768748","0.42738778652811"
"Katholisch","1990","16-34 Jahre alt","Hauptschulabschluss","715","0.440949983669428","0.417968506302827","0.463931461036029"
"Katholisch","1990","16-34 Jahre alt","Realschulabschluss","419","0.281503978119679","0.261424071634401","0.301583884604957"
"Katholisch","1990","16-34 Jahre alt","(Fach-)Abitur","190","0.33747058672978","0.299698551112358","0.375242622347201"
"Katholisch","1990","16-34 Jahre alt","AkademikerInnen","82","0.236058248319805","0.199558814112588","0.272557682527023"
"Katholisch","1990","35-65 Jahre alt","(noch) kein Abschluss","203","0.329305636157378","0.288795404212223","0.369815868102533"
"Katholisch","1990","35-65 Jahre alt","Hauptschulabschluss","1368","0.367441741836865","0.352740128237268","0.382143355436463"
"Katholisch","1990","35-65 Jahre alt","Realschulabschluss","262","0.313931509235588","0.286072178474652","0.341790839996525"
"Katholisch","1990","35-65 Jahre alt","(Fach-)Abitur","65","0.304121173731637","0.244924917864984","0.36331742959829"
"Katholisch","1990","35-65 Jahre alt","AkademikerInnen","180","0.244233077525368","0.218417998540926","0.270048156509809"
"Katholisch","1990","66 und älter","(noch) kein Abschluss","","","",""
"Katholisch","1990","66 und älter","Hauptschulabschluss","359","0.36206602776525","0.333881986996221","0.39025006853428"
"Katholisch","1990","66 und älter","Realschulabschluss","56","0.297753777925191","0.23357312494244","0.361934430907942"
"Katholisch","1990","66 und älter","(Fach-)Abitur","","","",""
"Katholisch","1990","66 und älter","AkademikerInnen","30","0.345269920660712","0.255600010932573","0.434939830388852"
"Evangelisch","1990","16-34 Jahre alt","(noch) kein Abschluss","88","0.392817159373473","0.341942509871802","0.443691808875144"
"Evangelisch","1990","16-34 Jahre alt","Hauptschulabschluss","472","0.371214406526811","0.348851839831027","0.393576973222596"
"Evangelisch","1990","16-34 Jahre alt","Realschulabschluss","601","0.365711526320604","0.344207490854977","0.387215561786231"
"Evangelisch","1990","16-34 Jahre alt","(Fach-)Abitur","205","0.434931465565314","0.395330039825313","0.474532891305315"
"Evangelisch","1990","16-34 Jahre alt","AkademikerInnen","152","0.371526503590366","0.329994316353722","0.41305869082701"
"Evangelisch","1990","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Evangelisch","1990","35-65 Jahre alt","Hauptschulabschluss","1477","0.431727942637369","0.416623534104884","0.446832351169855"
"Evangelisch","1990","35-65 Jahre alt","Realschulabschluss","399","0.395733333189636","0.36637812774582","0.425088538633452"
