year,pgisced97,regtyp,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Pre-primary Level,Urban regions,Catholic,0.41715,49,93,0.31639,0.51791
1990,Pre-primary Level,Urban regions,Protestant,0.43812,44,93,0.33673,0.53951
1990,Primary Level,Urban regions,Catholic,0.36650,206,536,0.32567,0.40733
1990,Primary Level,Urban regions,Protestant,0.14877,31,536,0.11862,0.17893
1990,Primary Level,Urban regions,Other Christian community,0.08903,39,536,0.06490,0.11316
1990,Primary Level,Urban regions,Islamic community,0.29828,195,536,0.25951,0.33705
1990,Primary Level,Urban regions,Christian orthodox,0.06165,65,536,0.04127,0.08203
1990,Lower Secondary Level,Urban regions,Catholic,0.38657,772,2052,0.36549,0.40764
1990,Lower Secondary Level,Urban regions,Protestant,0.43525,633,2052,0.41379,0.45671
1990,Lower Secondary Level,Urban regions,Other Christian community,0.01982,70,2052,0.01379,0.02585
1990,Lower Secondary Level,Urban regions,Islamic community,0.04543,293,2052,0.03641,0.05444
1990,Lower Secondary Level,Urban regions,Non-denominational,0.09421,189,2052,0.08157,0.10686
1990,Lower Secondary Level,Urban regions,Christian orthodox,0.00937,95,2052,0.00520,0.01354
1990,Lower Secondary Level,Rural regions,Catholic,0.38089,290,825,0.34773,0.41404
1990,Lower Secondary Level,Rural regions,Protestant,0.44963,338,825,0.41566,0.48359
1990,Lower Secondary Level,Rural regions,Non-denominational,0.13780,197,825,0.11426,0.16133
1990,Upper Secondary Level,Urban regions,Catholic,0.37024,1480,4275,0.35576,0.38471
1990,Upper Secondary Level,Urban regions,Protestant,0.43326,1592,4275,0.41841,0.44812
1990,Upper Secondary Level,Urban regions,Other Christian community,0.01712,108,4275,0.01323,0.02101
1990,Upper Secondary Level,Urban regions,Islamic community,0.01233,181,4275,0.00902,0.01564
1990,Upper Secondary Level,Urban regions,Non-denominational,0.15916,840,4275,0.14819,0.17013
1990,Upper Secondary Level,Urban regions,Christian orthodox,0.00261,74,4275,0.00108,0.00414
1990,Upper Secondary Level,Rural regions,Catholic,0.27763,570,2628,0.26051,0.29476
1990,Upper Secondary Level,Rural regions,Protestant,0.40124,924,2628,0.38250,0.41998
1990,Upper Secondary Level,Rural regions,Non-denominational,0.30166,1134,2628,0.28411,0.31921
1990,Post-secondary Non-tertiary Level,Urban regions,Catholic,0.27156,85,267,0.21811,0.32501
1990,Post-secondary Non-tertiary Level,Urban regions,Protestant,0.42645,85,267,0.36702,0.48589
1990,Post-secondary Non-tertiary Level,Urban regions,Islamic community,0.04385,33,267,0.01924,0.06846
1990,Post-secondary Non-tertiary Level,Urban regions,Non-denominational,0.22871,64,267,0.17824,0.27919
1990,Post-secondary Non-tertiary Level,Rural regions,Non-denominational,0.28709,32,32,0.12783,0.44635
1990,First Stage of Tertiary Education,Urban regions,Catholic,0.40053,183,458,0.35560,0.44546
1990,First Stage of Tertiary Education,Urban regions,Protestant,0.39073,172,458,0.34600,0.43547
1990,First Stage of Tertiary Education,Urban regions,Non-denominational,0.17805,103,458,0.14298,0.21312
1990,First Stage of Tertiary Education,Rural regions,Catholic,0.29205,65,283,0.23898,0.34512
1990,First Stage of Tertiary Education,Rural regions,Protestant,0.43687,113,283,0.37898,0.49476
1990,First Stage of Tertiary Education,Rural regions,Non-denominational,0.25981,105,283,0.20862,0.31099
1990,Second Stage of Tertiary Education,Urban regions,Catholic,0.29216,224,937,0.26302,0.32129
1990,Second Stage of Tertiary Education,Urban regions,Protestant,0.35715,303,937,0.32646,0.38785
1990,Second Stage of Tertiary Education,Urban regions,Non-denominational,0.31524,410,937,0.28547,0.34500
1990,Second Stage of Tertiary Education,Rural regions,Catholic,0.16396,67,679,0.13609,0.19183
