year,sampreg,sex,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,male,Catholic,0.33028,1874,4629,0.31673,0.34383
1990,West,male,Protestant,0.34551,1541,4629,0.33181,0.35921
1990,West,male,Other Christian community,0.01439,142,4629,0.01096,0.01783
1990,West,male,Islamic community,0.02401,451,4629,0.01960,0.02842
1990,West,male,Non-denominational,0.10005,459,4629,0.09140,0.10869
1990,West,male,Christian orthodox,0.00538,162,4629,0.00327,0.00748
1990,West,female,Catholic,0.35331,1998,4755,0.33973,0.36690
1990,West,female,Protestant,0.38424,1774,4755,0.37041,0.39807
1990,West,female,Other Christian community,0.01885,163,4755,0.01498,0.02271
1990,West,female,Islamic community,0.01902,393,4755,0.01514,0.02290
1990,West,female,Non-denominational,0.05683,274,4755,0.05025,0.06342
1990,West,female,Christian orthodox,0.00423,153,4755,0.00239,0.00608
1990,East,male,Catholic,0.04272,114,2075,0.03402,0.05143
1990,East,male,Protestant,0.18799,502,2075,0.17117,0.20480
1990,East,male,Non-denominational,0.52721,1459,2075,0.50572,0.54870
1990,East,female,Catholic,0.04955,134,2286,0.04065,0.05845
1990,East,female,Protestant,0.27405,736,2286,0.25576,0.29234
1990,East,female,Non-denominational,0.46242,1416,2286,0.44197,0.48286
1997,West,male,Catholic,0.31102,1723,4427,0.29739,0.32466
1997,West,male,Protestant,0.28495,1316,4427,0.27165,0.29825
1997,West,male,Other Christian community,0.01869,217,4427,0.01470,0.02268
1997,West,male,Other religious community,0.03615,445,4427,0.03066,0.04165
1997,West,male,Non-denominational,0.15305,726,4427,0.14244,0.16366
1997,West,female,Catholic,0.33479,1874,4695,0.32129,0.34829
1997,West,female,Protestant,0.33740,1644,4695,0.32387,0.35092
1997,West,female,Other Christian community,0.02320,224,4695,0.01889,0.02751
1997,West,female,Other religious community,0.03118,417,4695,0.02621,0.03616
1997,West,female,Non-denominational,0.10000,536,4695,0.09142,0.10858
1997,East,male,Catholic,0.04405,84,1720,0.03435,0.05375
1997,East,male,Protestant,0.17323,354,1720,0.15534,0.19112
1997,East,male,Non-denominational,0.59731,1282,1720,0.57413,0.62050
1997,East,female,Catholic,0.03914,91,1874,0.03036,0.04793
1997,East,female,Protestant,0.24765,509,1874,0.22811,0.26720
1997,East,female,Non-denominational,0.55132,1274,1874,0.52880,0.57385
2003,West,male,Catholic,0.29385,2962,8033,0.28389,0.30381
2003,West,male,Protestant,0.28465,2755,8033,0.27478,0.29451
2003,West,male,Other Christian community,0.02039,226,8033,0.01730,0.02348
2003,West,male,Other religious community,0.04176,439,8033,0.03739,0.04614
2003,West,male,Non-denominational,0.16972,1651,8033,0.16151,0.17793
2003,West,female,Catholic,0.32603,3378,8670,0.31616,0.33590
2003,West,female,Protestant,0.33163,3370,8670,0.32172,0.34154
2003,West,female,Other Christian community,0.02142,255,8670,0.01838,0.02447
2003,West,female,Other religious community,0.03223,414,8670,0.02851,0.03594
2003,West,female,Non-denominational,0.11577,1253,8670,0.10903,0.12250
2003,East,male,Catholic,0.03805,122,2564,0.03064,0.04546
2003,East,male,Protestant,0.17084,517,2564,0.15627,0.18541
2003,East,male,Non-denominational,0.64642,1925,2564,0.62792,0.66493
2003,East,female,Catholic,0.03386,120,2724,0.02707,0.04066
2003,East,female,Protestant,0.23239,727,2724,0.21653,0.24825
2003,East,female,Non-denominational,0.59306,1877,2724,0.57461,0.61151
2007,West,male,Catholic,0.28885,2630,7323,0.27847,0.29924
2007,West,male,Protestant,0.28344,2645,7323,0.27312,0.29376
2007,West,male,Other Christian community,0.02283,208,7323,0.01941,0.02625
2007,West,male,Islamic community,0.04104,319,7323,0.03649,0.04558
2007,West,male,Non-denominational,0.17645,1521,7323,0.16771,0.18518
2007,West,female,Catholic,0.31430,3080,8102,0.30419,0.32441
2007,West,female,Protestant,0.32277,3193,8102,0.31259,0.33295
2007,West,female,Other Christian community,0.02925,266,8102,0.02558,0.03292
2007,West,female,Islamic community,0.03310,304,8102,0.02920,0.03699
2007,West,female,Non-denominational,0.13047,1259,8102,0.12314,0.13780
2007,East,male,Catholic,0.03633,118,2390,0.02882,0.04383
2007,East,male,Protestant,0.17785,516,2390,0.16252,0.19319
2007,East,male,Non-denominational,0.63997,1756,2390,0.62072,0.65922
2007,East,female,Catholic,0.04196,121,2565,0.03420,0.04972
2007,East,female,Protestant,0.24512,729,2565,0.22847,0.26177
2007,East,female,Non-denominational,0.58336,1715,2565,0.56427,0.60244
2011,West,male,Catholic,0.26589,2794,7834,0.25611,0.27568
2011,West,male,Protestant,0.26027,2787,7834,0.25055,0.26999
2011,West,male,Other Christian community,0.01794,202,7834,0.01500,0.02088
2011,West,male,Islamic community,0.02418,248,7834,0.02078,0.02758
2011,West,male,Non-denominational,0.19131,1803,7834,0.18260,0.20002
2011,West,female,Catholic,0.27958,3355,9083,0.27035,0.28882
2011,West,female,Protestant,0.30024,3601,9083,0.29081,0.30967
2011,West,female,Other Christian community,0.02375,271,9083,0.02062,0.02688
2011,West,female,Islamic community,0.02145,255,9083,0.01847,0.02443
2011,West,female,Non-denominational,0.14532,1601,9083,0.13807,0.15257
2011,East,male,Catholic,0.03071,115,2380,0.02377,0.03764
2011,East,male,Protestant,0.16454,476,2380,0.14965,0.17944
2011,East,male,Non-denominational,0.60364,1789,2380,0.58398,0.62329
2011,East,female,Catholic,0.03654,123,2687,0.02945,0.04364
