year,sampreg,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,Catholic,0.34202,3872,9418,0.33244,0.35160
1990,West,Protestant,0.36532,3315,9418,0.35560,0.37505
1990,West,Other Christian community,0.01668,305,9418,0.01410,0.01927
1990,West,Islamic community,0.02143,844,9418,0.01850,0.02435
1990,West,Other religious community,0.00175,34,9418,0.00091,0.00260
1990,West,Non-denominational,0.07775,733,9418,0.07235,0.08316
1990,West,Christian orthodox,0.00478,315,9418,0.00339,0.00618
1990,East,Catholic,0.04627,248,4396,0.04005,0.05248
1990,East,Protestant,0.23263,1238,4396,0.22014,0.24512
1990,East,Other religious community,0.00491,35,4396,0.00284,0.00698
1990,East,Non-denominational,0.49360,2875,4396,0.47882,0.50838
1997,West,Catholic,0.32318,3597,9122,0.31359,0.33278
1997,West,Protestant,0.31178,2960,9122,0.30228,0.32129
1997,West,Other Christian community,0.02100,441,9122,0.01806,0.02394
1997,West,Other religious community,0.03361,862,9122,0.02991,0.03731
1997,West,Non-denominational,0.12591,1262,9122,0.11910,0.13272
1997,East,Catholic,0.04154,175,3594,0.03502,0.04807
1997,East,Protestant,0.21123,863,3594,0.19789,0.22458
1997,East,Non-denominational,0.57383,2556,3594,0.55766,0.59000
2003,West,Catholic,0.31030,6340,16703,0.30328,0.31731
2003,West,Protestant,0.30866,6125,16703,0.30166,0.31567
2003,West,Other Christian community,0.02092,481,16703,0.01875,0.02309
2003,West,Other religious community,0.03689,853,16703,0.03403,0.03975
2003,West,Non-denominational,0.14214,2904,16703,0.13685,0.14744
2003,East,Catholic,0.03594,242,5288,0.03093,0.04096
2003,East,Protestant,0.20180,1244,5288,0.19098,0.21261
2003,East,Non-denominational,0.61959,3802,5288,0.60650,0.63267
2007,West,Catholic,0.30185,5710,15467,0.29462,0.30909
2007,West,Protestant,0.30353,5838,15467,0.29629,0.31078
2007,West,Other Christian community,0.02611,474,15467,0.02360,0.02862
2007,West,Islamic community,0.03698,623,15467,0.03401,0.03996
2007,West,Other religious community,0.00286,42,15467,0.00201,0.00370
2007,West,Non-denominational,0.15296,2780,15467,0.14729,0.15863
2007,East,Catholic,0.03914,239,4955,0.03374,0.04454
2007,East,Protestant,0.21150,1245,4955,0.20013,0.22287
2007,East,Non-denominational,0.61165,3471,4955,0.59808,0.62523
2011,West,Catholic,0.27291,6149,16966,0.26620,0.27961
2011,West,Protestant,0.28076,6388,16966,0.27399,0.28752
2011,West,Other Christian community,0.02092,473,16966,0.01876,0.02307
2011,West,Islamic community,0.02278,503,16966,0.02053,0.02502
2011,West,Other religious community,0.00330,49,16966,0.00244,0.00417
2011,West,Non-denominational,0.16772,3404,16966,0.16210,0.17334
2011,East,Catholic,0.03363,238,5110,0.02868,0.03857
2011,East,Protestant,0.18358,1150,5110,0.17297,0.19420
2011,East,Other Christian community,0.00692,43,5110,0.00465,0.00920
2011,East,Non-denominational,0.58081,3679,5110,0.56728,0.59434
2015,West,Catholic,0.28697,7144,21253,0.28089,0.29305
2015,West,Protestant,0.28071,6605,21253,0.27467,0.28675
2015,West,Other Christian community,0.01912,583,21253,0.01728,0.02096
2015,West,Islamic community,0.02133,732,21253,0.01939,0.02328
2015,West,Other religious community,0.00454,189,21253,0.00364,0.00545
2015,West,Non-denominational,0.19733,4701,21253,0.19198,0.20268
2015,West,Christian orthodox,0.00714,647,21253,0.00601,0.00827
2015,West,Shiite denomination,0.00150,72,21253,0.00098,0.00202
2015,West,Sunni denomination,0.01444,535,21253,0.01283,0.01604
2015,West,Alevi denomination,0.00161,45,21253,0.00107,0.00215
2015,East,Catholic,0.03354,295,5313,0.02870,0.03839
2015,East,Protestant,0.17235,1089,5313,0.16220,0.18251
2015,East,Other Christian community,0.00651,52,5313,0.00435,0.00867
2015,East,Non-denominational,0.62791,3831,5313,0.61491,0.64091
2015,East,Christian orthodox,0.00367,46,5313,0.00205,0.00530
2019,West,Catholic,0.26166,6330,22815,0.25596,0.26737
2019,West,Protestant,0.25771,6248,22815,0.25203,0.26338
2019,West,Other Christian community,0.01445,358,22815,0.01290,0.01600
2019,West,Islamic community,0.01059,402,22815,0.00927,0.01192
2019,West,Other religious community,0.00535,450,22815,0.00441,0.00630
2019,West,Non-denominational,0.22968,5728,22815,0.22423,0.23514
2019,West,Christian orthodox,0.01608,625,22815,0.01445,0.01771
2019,West,Shiite denomination,0.00321,211,22815,0.00248,0.00395
2019,West,Sunni denomination,0.03152,2410,22815,0.02925,0.03379
2019,West,Alevi denomination,0.00174,53,22815,0.00120,0.00228
2019,East,Catholic,0.03143,267,5941,0.02699,0.03587
2019,East,Protestant,0.16018,1071,5941,0.15085,0.16951
2019,East,Other Christian community,0.00633,53,5941,0.00431,0.00835
2019,East,Islamic community,0.00113,36,5941,0.00027,0.00198
2019,East,Non-denominational,0.63399,4084,5941,0.62174,0.64624
2019,East,Christian orthodox,0.00208,57,5941,0.00092,0.00324
2019,East,Shiite denomination,0.00060,45,5941,-0.00003,0.00122
2019,East,Sunni denomination,0.00569,328,5941,0.00377,0.00760
