year,pgisced97,quintil_oecd,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Primary Level,1st Quintile,Catholic,0.32158,76,186,0.25428,0.38889
1990,Primary Level,1st Quintile,Islamic community,0.32803,110,186,0.26037,0.39568
1990,Primary Level,2nd Quintile,Catholic,0.30603,54,120,0.22323,0.38883
1990,Primary Level,2nd Quintile,Islamic community,0.39927,66,120,0.31128,0.48726
1990,Primary Level,3rd Quintile,Catholic,0.42005,48,48,0.27894,0.56116
1990,Primary Level,4th Quintile,Catholic,0.35518,39,39,0.20301,0.50734
1990,Lower Secondary Level,1st Quintile,Catholic,0.38730,262,674,0.35050,0.42411
1990,Lower Secondary Level,1st Quintile,Protestant,0.46999,215,674,0.43228,0.50770
1990,Lower Secondary Level,1st Quintile,Other Christian community,0.02955,35,674,0.01675,0.04234
1990,Lower Secondary Level,1st Quintile,Islamic community,0.06777,162,674,0.04878,0.08676
1990,Lower Secondary Level,2nd Quintile,Catholic,0.43393,242,508,0.39079,0.47707
1990,Lower Secondary Level,2nd Quintile,Protestant,0.46026,196,508,0.41688,0.50365
1990,Lower Secondary Level,2nd Quintile,Islamic community,0.03510,70,508,0.01908,0.05112
1990,Lower Secondary Level,3rd Quintile,Catholic,0.43589,215,436,0.38929,0.48249
1990,Lower Secondary Level,3rd Quintile,Protestant,0.44190,163,436,0.39523,0.48857
1990,Lower Secondary Level,3rd Quintile,Islamic community,0.03467,58,436,0.01748,0.05186
1990,Lower Secondary Level,4th Quintile,Catholic,0.44204,194,364,0.39095,0.49313
1990,Lower Secondary Level,4th Quintile,Protestant,0.41577,139,364,0.36507,0.46647
1990,Lower Secondary Level,4th Quintile,Non-denominational,0.09438,31,364,0.06430,0.12445
1990,Lower Secondary Level,5th Quintile,Catholic,0.48171,106,181,0.40871,0.55471
1990,Lower Secondary Level,5th Quintile,Protestant,0.39669,75,181,0.32522,0.46816
1990,Upper Secondary Level,1st Quintile,Catholic,0.38417,272,656,0.34692,0.42142
1990,Upper Secondary Level,1st Quintile,Protestant,0.50085,277,656,0.46256,0.53914
1990,Upper Secondary Level,1st Quintile,Islamic community,0.02941,74,656,0.01647,0.04235
1990,Upper Secondary Level,1st Quintile,Non-denominational,0.05392,33,656,0.03662,0.07122
1990,Upper Secondary Level,2nd Quintile,Catholic,0.45363,396,880,0.42071,0.48654
