"plh0258_h","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"Katholisch","1990","(noch) kein Abschluss","kein Migrationshintergrund","65","0.386426740856891","0.318773539731719","0.454079941982063"
"Katholisch","1990","(noch) kein Abschluss","direkter Migrationshintergrund","248","0.361575304471395","0.324496779162327","0.398653829780464"
"Katholisch","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Katholisch","1990","Hauptschulabschluss","kein Migrationshintergrund","1780","0.371459823429655","0.358617283195922","0.384302363663388"
"Katholisch","1990","Hauptschulabschluss","direkter Migrationshintergrund","584","0.454924977398519","0.429355824100108","0.480494130696929"
"Katholisch","1990","Hauptschulabschluss","indirekter Migrationshintergrund","78","0.523946632954024","0.443211833441041","0.604681432467007"
"Katholisch","1990","Realschulabschluss","kein Migrationshintergrund","645","0.285964737571252","0.269727180983524","0.30220229415898"
"Katholisch","1990","Realschulabschluss","direkter Migrationshintergrund","68","0.46494358188878","0.388138403672257","0.541748760105303"
"Katholisch","1990","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"Katholisch","1990","(Fach-)Abitur","kein Migrationshintergrund","204","0.332110245558187","0.295820035817494","0.368400455298881"
"Katholisch","1990","(Fach-)Abitur","direkter Migrationshintergrund","53","0.273293102657187","0.21243639441844","0.334149810895933"
"Katholisch","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Katholisch","1990","AkademikerInnen","kein Migrationshintergrund","258","0.247019045906784","0.225651820292694","0.268386271520874"
"Katholisch","1990","AkademikerInnen","direkter Migrationshintergrund","33","0.298596240576903","0.218046627084492","0.379145854069313"
"Katholisch","1990","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"Evangelisch","1990","(noch) kein Abschluss","kein Migrationshintergrund","98","0.505572033427512","0.436107265695237","0.575036801159787"
"Evangelisch","1990","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Evangelisch","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Evangelisch","1990","Hauptschulabschluss","kein Migrationshintergrund","2406","0.468926206496212","0.45566270541256","0.482189707579864"
"Evangelisch","1990","Hauptschulabschluss","direkter Migrationshintergrund","106","0.179417377185037","0.15971531321321","0.199119441156864"
"Evangelisch","1990","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"Evangelisch","1990","Realschulabschluss","kein Migrationshintergrund","1074","0.410276977690119","0.392601660296871","0.427952295083368"
"Evangelisch","1990","Realschulabschluss","direkter Migrationshintergrund","32","0.271395212526854","0.202919322592124","0.339871102461585"
"Evangelisch","1990","Realschulabschluss","indirekter Migrationshintergrund","","","",""
