year,migback,sampreg,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,West,Catholic,0.34690,2752,6608,0.33542,0.35838
1990,No migration background,West,Protestant,0.40621,3156,6608,0.39436,0.41805
1990,No migration background,West,Other Christian community,0.01113,87,6608,0.00860,0.01366
1990,No migration background,West,Non-denominational,0.08194,613,6608,0.07533,0.08856
1990,No migration background,East,Catholic,0.04190,223,4253,0.03588,0.04792
1990,No migration background,East,Protestant,0.23411,1203,4253,0.22138,0.24684
1990,No migration background,East,Other religious community,0.00465,32,4253,0.00261,0.00670
1990,No migration background,East,Non-denominational,0.49726,2795,4253,0.48223,0.51229
1990,Direct migration background,West,Catholic,0.40759,982,2491,0.38829,0.42689
1990,Direct migration background,West,Protestant,0.15101,143,2491,0.13695,0.16507
1990,Direct migration background,West,Other Christian community,0.06632,207,2491,0.05655,0.07610
1990,Direct migration background,West,Islamic community,0.19924,786,2491,0.18355,0.21493
1990,Direct migration background,West,Non-denominational,0.07071,107,2491,0.06064,0.08078
1990,Direct migration background,West,Christian orthodox,0.04088,266,2491,0.03310,0.04866
1990,Direct migration background,East,Protestant,0.24138,35,114,0.16248,0.32028
1990,Direct migration background,East,Non-denominational,0.49239,79,114,0.40021,0.58457
1990,Indirect migration background,West,Catholic,0.08353,138,245,0.04881,0.11824
1990,Indirect migration background,West,Islamic community,0.03556,58,245,0.01232,0.05879
1990,Indirect migration background,West,Christian orthodox,0.01662,49,245,0.00058,0.03266
1997,No migration background,West,Catholic,0.32250,2474,6260,0.31092,0.33409
1997,No migration background,West,Protestant,0.35984,2694,6260,0.34795,0.37173
1997,No migration background,West,Other Christian community,0.01035,78,6260,0.00785,0.01286
1997,No migration background,West,Non-denominational,0.13378,1014,6260,0.12535,0.14221
1997,No migration background,East,Catholic,0.03692,157,3450,0.03063,0.04322
1997,No migration background,East,Protestant,0.21159,829,3450,0.19796,0.22522
1997,No migration background,East,Non-denominational,0.57757,2464,3450,0.56108,0.59405
1997,Direct migration background,West,Catholic,0.40608,924,2296,0.38599,0.42617
1997,Direct migration background,West,Protestant,0.14151,221,2296,0.12725,0.15577
1997,Direct migration background,West,Other Christian community,0.07756,271,2296,0.06661,0.08850
1997,Direct migration background,West,Other religious community,0.18326,676,2296,0.16744,0.19909
1997,Direct migration background,West,Non-denominational,0.11674,204,2296,0.10360,0.12988
1997,Direct migration background,East,Protestant,0.25290,32,110,0.17129,0.33450
1997,Direct migration background,East,Non-denominational,0.56563,78,110,0.47258,0.65869
1997,Indirect migration background,West,Catholic,0.13901,199,541,0.10983,0.16819
1997,Indirect migration background,West,Protestant,0.06496,45,541,0.04417,0.08574
1997,Indirect migration background,West,Other Christian community,0.03175,92,541,0.01696,0.04654
1997,Indirect migration background,West,Other religious community,0.09190,161,541,0.06754,0.11627
1997,Indirect migration background,West,Non-denominational,0.04186,44,541,0.02497,0.05876
2003,No migration background,West,Catholic,0.32160,5154,13470,0.31372,0.32949
2003,No migration background,West,Protestant,0.35311,5612,13470,0.34504,0.36118
2003,No migration background,West,Other Christian community,0.00760,127,13470,0.00613,0.00906
2003,No migration background,West,Other religious community,0.00369,58,13470,0.00267,0.00472
2003,No migration background,West,Non-denominational,0.15270,2519,13470,0.14663,0.15878
2003,No migration background,East,Catholic,0.03269,224,5158,0.02783,0.03754
2003,No migration background,East,Protestant,0.20248,1216,5158,0.19151,0.21345
2003,No migration background,East,Non-denominational,0.62410,3718,5158,0.61088,0.63732
2003,Direct migration background,West,Catholic,0.33864,908,2495,0.32007,0.35721
2003,Direct migration background,West,Protestant,0.17036,395,2495,0.15560,0.18511
2003,Direct migration background,West,Other Christian community,0.09819,279,2495,0.08651,0.10986
2003,Direct migration background,West,Other religious community,0.20279,615,2495,0.18701,0.21857
2003,Direct migration background,West,Non-denominational,0.13111,298,2495,0.11787,0.14436
2003,Direct migration background,East,Non-denominational,0.54775,60,60,0.42074,0.67475
2003,Indirect migration background,West,Catholic,0.14028,278,738,0.11521,0.16535
2003,Indirect migration background,West,Protestant,0.08470,118,738,0.06460,0.10481
2003,Indirect migration background,West,Other Christian community,0.02431,75,738,0.01319,0.03543
2003,Indirect migration background,West,Other religious community,0.09273,180,738,0.07179,0.11367
2003,Indirect migration background,West,Non-denominational,0.05009,87,738,0.03434,0.06584
2007,No migration background,West,Catholic,0.31276,4753,12692,0.30470,0.32083
2007,No migration background,West,Protestant,0.34930,5321,12692,0.34101,0.35760
2007,No migration background,West,Other Christian community,0.01041,155,12692,0.00864,0.01217
2007,No migration background,West,Non-denominational,0.16771,2463,12692,0.16121,0.17421
2007,No migration background,East,Catholic,0.03415,215,4832,0.02903,0.03927
2007,No migration background,East,Protestant,0.21091,1214,4832,0.19940,0.22241
2007,No migration background,East,Non-denominational,0.62044,3403,4832,0.60675,0.63412
2007,Direct migration background,West,Catholic,0.32534,691,1995,0.30478,0.34590
2007,Direct migration background,West,Protestant,0.17007,384,1995,0.15358,0.18656
2007,Direct migration background,West,Other Christian community,0.11081,234,1995,0.09703,0.12459
2007,Direct migration background,West,Islamic community,0.21367,457,1995,0.19568,0.23166
2007,Direct migration background,West,Non-denominational,0.12573,229,1995,0.11118,0.14028
2007,Direct migration background,East,Non-denominational,0.36515,39,39,0.21207,0.51824
2007,Indirect migration background,West,Catholic,0.17088,266,731,0.14357,0.19819
2007,Indirect migration background,West,Protestant,0.09762,133,731,0.07609,0.11915
2007,Indirect migration background,West,Other Christian community,0.03919,85,731,0.02511,0.05326
2007,Indirect migration background,West,Islamic community,0.09717,159,731,0.07568,0.11865
2007,Indirect migration background,West,Non-denominational,0.06318,88,731,0.04553,0.08083
2011,No migration background,West,Catholic,0.27993,5142,14097,0.27252,0.28735
2011,No migration background,West,Protestant,0.32331,5793,14097,0.31559,0.33104
2011,No migration background,West,Other Christian community,0.00956,199,14097,0.00795,0.01116
2011,No migration background,West,Non-denominational,0.18468,2963,14097,0.17828,0.19109
2011,No migration background,East,Catholic,0.03089,216,4963,0.02607,0.03570
2011,No migration background,East,Protestant,0.18605,1122,4963,0.17523,0.19688
2011,No migration background,East,Other Christian community,0.00600,37,4963,0.00386,0.00815
2011,No migration background,East,Non-denominational,0.58913,3588,4963,0.57544,0.60282
2011,Direct migration background,West,Catholic,0.30599,708,2010,0.28584,0.32614
2011,Direct migration background,West,Protestant,0.17035,452,2010,0.15391,0.18679
2011,Direct migration background,West,Other Christian community,0.08232,201,2010,0.07030,0.09434
2011,Direct migration background,West,Islamic community,0.12429,340,2010,0.10986,0.13872
2011,Direct migration background,West,Non-denominational,0.13721,309,2010,0.12216,0.15225
2011,Direct migration background,East,Non-denominational,0.38735,54,54,0.25620,0.51850
2011,Indirect migration background,West,Catholic,0.16170,299,800,0.13617,0.18723
2011,Indirect migration background,West,Protestant,0.07635,143,800,0.05794,0.09476
2011,Indirect migration background,West,Other Christian community,0.02727,73,800,0.01598,0.03857
2011,Indirect migration background,West,Islamic community,0.06223,153,800,0.04548,0.07898
2011,Indirect migration background,West,Non-denominational,0.06589,132,800,0.04869,0.08309
2011,Indirect migration background,East,Non-denominational,0.31917,37,37,0.16689,0.47144
2015,No migration background,West,Catholic,0.30229,5148,14147,0.29472,0.30985
2015,No migration background,West,Protestant,0.33022,5554,14147,0.32247,0.33797
2015,No migration background,West,Other Christian community,0.01338,215,14147,0.01148,0.01527
2015,No migration background,West,Non-denominational,0.20797,3230,14147,0.20128,0.21466
2015,No migration background,East,Catholic,0.02888,220,4829,0.02415,0.03360
2015,No migration background,East,Protestant,0.17714,1022,4829,0.16637,0.18791
2015,No migration background,East,Other Christian community,0.00636,39,4829,0.00412,0.00860
2015,No migration background,East,Non-denominational,0.63793,3548,4829,0.62437,0.65149
2015,Direct migration background,West,Catholic,0.30394,1566,5576,0.29187,0.31602
2015,Direct migration background,West,Protestant,0.15503,819,5576,0.14553,0.16453
