year,age_gr,sampreg,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,West,Catholic,0.41448,1079,2691,0.39586,0.43309
1990,17-29 y.,West,Protestant,0.43734,903,2691,0.41859,0.45609
1990,17-29 y.,West,Other Christian community,0.02064,76,2691,0.01527,0.02601
1990,17-29 y.,West,Islamic community,0.04485,392,2691,0.03703,0.05267
1990,17-29 y.,West,Non-denominational,0.06817,146,2691,0.05864,0.07769
1990,17-29 y.,West,Christian orthodox,0.00636,95,2691,0.00336,0.00936
1990,17-29 y.,East,Catholic,0.04543,51,1127,0.03327,0.05760
1990,17-29 y.,East,Protestant,0.19162,215,1127,0.16863,0.21461
1990,17-29 y.,East,Non-denominational,0.74949,861,1127,0.72418,0.77480
1990,30-45 y.,West,Catholic,0.43302,1214,2768,0.41456,0.45149
1990,30-45 y.,West,Protestant,0.37051,836,2768,0.35251,0.38850
1990,30-45 y.,West,Other Christian community,0.02449,126,2768,0.01873,0.03025
1990,30-45 y.,West,Islamic community,0.02983,213,2768,0.02349,0.03617
1990,30-45 y.,West,Non-denominational,0.12888,296,2768,0.11640,0.14137
1990,30-45 y.,West,Christian orthodox,0.00647,83,2768,0.00348,0.00945
1990,30-45 y.,East,Catholic,0.05050,75,1484,0.03936,0.06165
1990,30-45 y.,East,Protestant,0.23619,366,1484,0.21457,0.25780
1990,30-45 y.,East,Non-denominational,0.69701,1043,1484,0.67362,0.72040
1990,46-65 y.,West,Catholic,0.39624,1153,2890,0.37841,0.41408
1990,46-65 y.,West,Protestant,0.45156,1056,2890,0.43341,0.46970
1990,46-65 y.,West,Other Christian community,0.02058,93,2890,0.01540,0.02576
1990,46-65 y.,West,Islamic community,0.02199,234,2890,0.01664,0.02734
1990,46-65 y.,West,Non-denominational,0.09518,220,2890,0.08448,0.10589
1990,46-65 y.,West,Christian orthodox,0.00766,134,2890,0.00448,0.01084
1990,46-65 y.,East,Catholic,0.06565,88,1331,0.05234,0.07896
1990,46-65 y.,East,Protestant,0.33048,444,1331,0.30520,0.35576
1990,46-65 y.,East,Non-denominational,0.59218,799,1331,0.56577,0.61859
1990,66 and older,West,Catholic,0.39535,426,1017,0.36528,0.42541
1990,66 and older,West,Protestant,0.51851,520,1017,0.48779,0.54924
1990,66 and older,West,Non-denominational,0.06885,71,1017,0.05328,0.08442
1990,66 and older,East,Catholic,0.08331,34,419,0.05682,0.10981
1990,66 and older,East,Protestant,0.51024,213,419,0.46232,0.55816
1990,66 and older,East,Non-denominational,0.40131,172,419,0.35432,0.44830
1997,17-29 y.,West,Catholic,0.40979,842,2182,0.38915,0.43043
1997,17-29 y.,West,Protestant,0.35037,639,2182,0.33035,0.37039
1997,17-29 y.,West,Other Christian community,0.02536,114,2182,0.01876,0.03196
1997,17-29 y.,West,Other religious community,0.08714,352,2182,0.07531,0.09898
1997,17-29 y.,West,Non-denominational,0.12020,235,2182,0.10655,0.13385
1997,17-29 y.,East,Catholic,0.03749,39,820,0.02448,0.05050
