year,quintil_oecd,regtyp,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,Urban regions,Catholic,0.37166,510,1462,0.34688,0.39644
1990,1st Quintile,Urban regions,Protestant,0.44885,413,1462,0.42334,0.47435
1990,1st Quintile,Urban regions,Other Christian community,0.02490,62,1462,0.01691,0.03289
1990,1st Quintile,Urban regions,Islamic community,0.08456,351,1462,0.07029,0.09882
1990,1st Quintile,Urban regions,Non-denominational,0.05729,61,1462,0.04538,0.06921
1990,1st Quintile,Urban regions,Christian orthodox,0.00817,65,1462,0.00356,0.01279
1990,1st Quintile,Rural regions,Catholic,0.41908,179,384,0.36966,0.46849
1990,1st Quintile,Rural regions,Protestant,0.49335,161,384,0.44328,0.54343
1990,1st Quintile,Rural regions,Islamic community,0.02172,44,384,0.00712,0.03632
1990,2nd Quintile,Urban regions,Catholic,0.44231,629,1482,0.41701,0.46760
1990,2nd Quintile,Urban regions,Protestant,0.40691,445,1482,0.38189,0.43193
1990,2nd Quintile,Urban regions,Other Christian community,0.02862,70,1482,0.02013,0.03711
1990,2nd Quintile,Urban regions,Islamic community,0.04210,208,1482,0.03187,0.05233
1990,2nd Quintile,Urban regions,Non-denominational,0.07510,88,1482,0.06168,0.08852
1990,2nd Quintile,Urban regions,Christian orthodox,0.00445,42,1482,0.00106,0.00784
1990,2nd Quintile,Rural regions,Catholic,0.42384,167,352,0.37214,0.47553
1990,2nd Quintile,Rural regions,Protestant,0.51614,185,352,0.46386,0.56842
1990,3rd Quintile,Urban regions,Catholic,0.41805,650,1528,0.39331,0.44279
1990,3rd Quintile,Urban regions,Protestant,0.42684,498,1528,0.40203,0.45165
1990,3rd Quintile,Urban regions,Other Christian community,0.01892,54,1528,0.01209,0.02576
1990,3rd Quintile,Urban regions,Islamic community,0.02631,138,1528,0.01828,0.03434
1990,3rd Quintile,Urban regions,Non-denominational,0.10027,125,1528,0.08520,0.11533
1990,3rd Quintile,Urban regions,Christian orthodox,0.00685,63,1528,0.00271,0.01099
1990,3rd Quintile,Rural regions,Catholic,0.45513,162,309,0.39951,0.51074
1990,3rd Quintile,Rural regions,Protestant,0.47018,147,309,0.41444,0.52593
1990,4th Quintile,Urban regions,Catholic,0.39440,606,1470,0.36940,0.41939
1990,4th Quintile,Urban regions,Protestant,0.44148,549,1470,0.41608,0.46687
