"plh0258_h","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Katholisch","1990","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Katholisch","1990","(noch) kein Abschluss","Hamburg","","","",""
"Katholisch","1990","(noch) kein Abschluss","Niedersachsen","","","",""
"Katholisch","1990","(noch) kein Abschluss","Bremen","","","",""
"Katholisch","1990","(noch) kein Abschluss","Nordrhein-Westfalen","82","0.335359835016428","0.278730524321744","0.391989145711111"
"Katholisch","1990","(noch) kein Abschluss","Hessen","42","0.346770743221239","0.257421911040611","0.436119575401868"
"Katholisch","1990","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","30","0.677150906707507","0.538996650050685","0.81530516336433"
"Katholisch","1990","(noch) kein Abschluss","Baden-Wuerttemberg","97","0.508315538713543","0.441490565131151","0.575140512295936"
"Katholisch","1990","(noch) kein Abschluss","Bayern","46","0.575955691611686","0.477097507030787","0.674813876192585"
"Katholisch","1990","(noch) kein Abschluss","Saarland","","","",""
"Katholisch","1990","(noch) kein Abschluss","Berlin","","","",""
"Katholisch","1990","(noch) kein Abschluss","Brandenburg","","","",""
"Katholisch","1990","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Katholisch","1990","(noch) kein Abschluss","Sachsen","","","",""
"Katholisch","1990","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Katholisch","1990","(noch) kein Abschluss","Thueringen","","","",""
"Katholisch","1990","Hauptschulabschluss","Schleswig-Holstein","","","",""
"Katholisch","1990","Hauptschulabschluss","Hamburg","","","",""
"Katholisch","1990","Hauptschulabschluss","Niedersachsen","105","0.163267123833189","0.132405762509775","0.194128485156603"
"Katholisch","1990","Hauptschulabschluss","Bremen","","","",""
"Katholisch","1990","Hauptschulabschluss","Nordrhein-Westfalen","617","0.478380820263441","0.451832179417592","0.50492946110929"
"Katholisch","1990","Hauptschulabschluss","Hessen","154","0.281711914989695","0.243306300118094","0.320117529861296"
"Katholisch","1990","Hauptschulabschluss","Rheinland-Pfalz,Saarland","251","0.540448119242737","0.494300068355142","0.586596170130331"
"Katholisch","1990","Hauptschulabschluss","Baden-Wuerttemberg","526","0.502224850166523","0.472181872021536","0.532267828311511"
"Katholisch","1990","Hauptschulabschluss","Bayern","608","0.704333743459336","0.675223072003646","0.733444414915026"
"Katholisch","1990","Hauptschulabschluss","Saarland","","","",""
"Katholisch","1990","Hauptschulabschluss","Berlin","","","",""
"Katholisch","1990","Hauptschulabschluss","Brandenburg","","","",""
"Katholisch","1990","Hauptschulabschluss","Mecklenburg-Vorpommern","","","",""
"Katholisch","1990","Hauptschulabschluss","Sachsen","35","0.0750717763405899","0.0526802016263637","0.0974633510548162"
"Katholisch","1990","Hauptschulabschluss","Sachsen-Anhalt","","","",""
"Katholisch","1990","Hauptschulabschluss","Thueringen","39","0.130020661511617","0.0926415863845802","0.167399736638653"
"Katholisch","1990","Realschulabschluss","Schleswig-Holstein","","","",""
"Katholisch","1990","Realschulabschluss","Hamburg","","","",""
"Katholisch","1990","Realschulabschluss","Niedersachsen","","","",""
"Katholisch","1990","Realschulabschluss","Bremen","","","",""
"Katholisch","1990","Realschulabschluss","Nordrhein-Westfalen","214","0.507373820639576","0.460338295467453","0.5544093458117"
