year,bula_h,migback,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,No migration background,Protestant,0.59903,185,226,0.53499,0.66307
1990,Schleswig-Holstein,No migration background,Non-denominational,0.14564,41,226,0.09955,0.19173
1990,Hamburg,No migration background,Protestant,0.52064,62,111,0.42728,0.61400
1990,Hamburg,No migration background,Non-denominational,0.34363,49,111,0.25487,0.43238
1990,Lower Saxony,No migration background,Catholic,0.12073,111,797,0.09809,0.14336
1990,Lower Saxony,No migration background,Protestant,0.63238,591,797,0.59889,0.66588
1990,Lower Saxony,No migration background,Non-denominational,0.10839,95,797,0.08679,0.12999
1990,Lower Saxony,Direct migration background,Catholic,0.28510,55,104,0.19791,0.37229
1990,Lower Saxony,Direct migration background,Islamic community,0.19589,49,104,0.11924,0.27254
1990,Bremen,No migration background,Protestant,0.63700,62,62,0.51632,0.75767
1990,North Rhine-Westphalia,No migration background,Catholic,0.40311,858,1766,0.38022,0.42599
1990,North Rhine-Westphalia,No migration background,Protestant,0.35146,762,1766,0.32919,0.37374
1990,North Rhine-Westphalia,No migration background,Non-denominational,0.06728,146,1766,0.05559,0.07896
1990,North Rhine-Westphalia,Direct migration background,Catholic,0.30763,204,634,0.27167,0.34358
1990,North Rhine-Westphalia,Direct migration background,Protestant,0.17225,45,634,0.14284,0.20167
1990,North Rhine-Westphalia,Direct migration background,Other Christian community,0.07303,61,634,0.05276,0.09330
1990,North Rhine-Westphalia,Direct migration background,Islamic community,0.25817,253,634,0.22408,0.29226
1990,North Rhine-Westphalia,Direct migration background,Christian orthodox,0.05624,71,634,0.03830,0.07419
1990,North Rhine-Westphalia,Indirect migration background,Catholic,0.09078,42,42,0.00284,0.17872
1990,Hesse,No migration background,Catholic,0.21603,145,597,0.18299,0.24907
1990,Hesse,No migration background,Protestant,0.55966,399,597,0.51981,0.59952
1990,Hesse,No migration background,Non-denominational,0.07304,53,597,0.05215,0.09393
1990,Hesse,Direct migration background,Catholic,0.45592,146,293,0.39879,0.51304
1990,Hesse,Direct migration background,Islamic community,0.18734,116,293,0.14258,0.23209
1990,Hesse,Direct migration background,Christian orthodox,0.02875,31,293,0.00958,0.04792
1990,"Rhineland-Palatinate, Saarland",No migration background,Catholic,0.48931,301,514,0.44606,0.53257
1990,"Rhineland-Palatinate, Saarland",No migration background,Protestant,0.34093,213,514,0.29991,0.38195
1990,"Rhineland-Palatinate, Saarland",Direct migration background,Catholic,0.50753,74,74,0.39285,0.62222
1990,Baden-Wuerttemberg,No migration background,Catholic,0.37392,479,1005,0.34399,0.40385
1990,Baden-Wuerttemberg,No migration background,Protestant,0.38710,475,1005,0.35697,0.41723
1990,Baden-Wuerttemberg,No migration background,Non-denominational,0.04730,51,1005,0.03417,0.06043
1990,Baden-Wuerttemberg,Direct migration background,Catholic,0.53859,314,668,0.50075,0.57642
1990,Baden-Wuerttemberg,Direct migration background,Protestant,0.12648,32,668,0.10125,0.15170
1990,Baden-Wuerttemberg,Direct migration background,Other Christian community,0.07104,68,668,0.05155,0.09054
1990,Baden-Wuerttemberg,Direct migration background,Islamic community,0.15734,182,668,0.12971,0.18498
1990,Baden-Wuerttemberg,Direct migration background,Christian orthodox,0.03587,72,668,0.02176,0.04999
1990,Baden-Wuerttemberg,Indirect migration background,Catholic,0.07593,36,36,-0.01183,0.16369
1990,Bavaria,No migration background,Catholic,0.56490,809,1172,0.53651,0.59330
1990,Bavaria,No migration background,Protestant,0.21926,294,1172,0.19556,0.24295
1990,Bavaria,No migration background,Non-denominational,0.05153,69,1172,0.03887,0.06420
