year,pgisced97,sampreg,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Pre-primary Level,West,Catholic,0.44485,62,118,0.35480,0.53490
1990,Pre-primary Level,West,Protestant,0.43277,56,118,0.34299,0.52255
1990,Primary Level,West,Catholic,0.34118,231,612,0.30358,0.37877
1990,Primary Level,West,Protestant,0.21161,44,612,0.17922,0.24400
1990,Primary Level,West,Other Christian community,0.08183,45,612,0.06010,0.10357
1990,Primary Level,West,Islamic community,0.26665,216,612,0.23159,0.30172
1990,Primary Level,West,Christian orthodox,0.05745,76,612,0.03900,0.07590
1990,Lower Secondary Level,West,Catholic,0.42426,1020,2442,0.40465,0.44387
1990,Lower Secondary Level,West,Protestant,0.44374,788,2442,0.42403,0.46345
1990,Lower Secondary Level,West,Other Christian community,0.01985,82,2442,0.01431,0.02538
1990,Lower Secondary Level,West,Islamic community,0.03937,323,2442,0.03166,0.04709
1990,Lower Secondary Level,West,Non-denominational,0.05648,112,2442,0.04732,0.06564
1990,Lower Secondary Level,West,Christian orthodox,0.00909,117,2442,0.00533,0.01286
1990,Lower Secondary Level,East,Catholic,0.09119,42,507,0.06611,0.11628
1990,Lower Secondary Level,East,Protestant,0.40471,184,507,0.36194,0.44748
1990,Lower Secondary Level,East,Non-denominational,0.49029,281,507,0.44673,0.53385
1990,Upper Secondary Level,West,Catholic,0.41314,1906,4511,0.39876,0.42751
1990,Upper Secondary Level,West,Protestant,0.45786,1824,4511,0.44332,0.47240
1990,Upper Secondary Level,West,Other Christian community,0.01792,126,4511,0.01405,0.02180
1990,Upper Secondary Level,West,Islamic community,0.01105,191,4511,0.00800,0.01410
1990,Upper Secondary Level,West,Non-denominational,0.09246,371,4511,0.08400,0.10091
1990,Upper Secondary Level,West,Christian orthodox,0.00307,93,4511,0.00146,0.00469
1990,Upper Secondary Level,East,Catholic,0.05870,144,2493,0.04947,0.06793
1990,Upper Secondary Level,East,Protestant,0.28668,703,2493,0.26893,0.30444
1990,Upper Secondary Level,East,Non-denominational,0.64265,1646,2493,0.62383,0.66146
1990,Post-secondary Non-tertiary Level,West,Catholic,0.31486,102,269,0.25925,0.37047
1990,Post-secondary Non-tertiary Level,West,Protestant,0.43355,90,269,0.37421,0.49288
1990,Post-secondary Non-tertiary Level,West,Islamic community,0.04600,38,269,0.02092,0.07108
1990,Post-secondary Non-tertiary Level,West,Non-denominational,0.17406,39,269,0.12866,0.21945
1990,Post-secondary Non-tertiary Level,East,Non-denominational,0.72235,58,58,0.60609,0.83862
1990,First Stage of Tertiary Education,West,Catholic,0.43670,234,491,0.39278,0.48061
1990,First Stage of Tertiary Education,West,Protestant,0.41288,199,491,0.36929,0.45648
1990,First Stage of Tertiary Education,West,Non-denominational,0.12198,58,491,0.09300,0.15095
1990,First Stage of Tertiary Education,East,Protestant,0.36815,87,240,0.30700,0.42930
1990,First Stage of Tertiary Education,East,Non-denominational,0.57078,153,240,0.50803,0.63353
1990,Second Stage of Tertiary Education,West,Catholic,0.37551,252,656,0.33842,0.41259
1990,Second Stage of Tertiary Education,West,Protestant,0.40874,281,656,0.37109,0.44638
1990,Second Stage of Tertiary Education,West,Non-denominational,0.18042,123,656,0.15097,0.20987
1990,Second Stage of Tertiary Education,East,Catholic,0.03940,40,979,0.02720,0.05159
1990,Second Stage of Tertiary Education,East,Protestant,0.24310,233,979,0.21622,0.26999
