year,sex,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,male,Catholic,0.33480,1988,6736,0.32353,0.34607
1990,male,Protestant,0.38673,2043,6736,0.37510,0.39837
1990,male,Other Christian community,0.01412,142,6736,0.01130,0.01693
1990,male,Islamic community,0.02354,451,6736,0.01992,0.02716
1990,male,Other religious community,0.00295,32,6736,0.00165,0.00425
1990,male,Non-denominational,0.23243,1918,6736,0.22235,0.24252
1990,male,Christian orthodox,0.00527,162,6736,0.00354,0.00700
1990,female,Catholic,0.34970,2132,7078,0.33859,0.36081
1990,female,Protestant,0.43567,2510,7078,0.42412,0.44723
1990,female,Other Christian community,0.01799,163,7078,0.01489,0.02109
1990,female,Islamic community,0.01815,393,7078,0.01504,0.02126
1990,female,Other religious community,0.00293,37,7078,0.00167,0.00418
1990,female,Non-denominational,0.17053,1690,7078,0.16177,0.17930
1990,female,Christian orthodox,0.00404,153,7078,0.00256,0.00552
1997,male,Catholic,0.32221,1807,6160,0.31054,0.33388
1997,male,Protestant,0.32608,1670,6160,0.31437,0.33778
1997,male,Other Christian community,0.01971,225,6160,0.01624,0.02318
1997,male,Other religious community,0.03674,450,6160,0.03204,0.04144
1997,male,Non-denominational,0.29232,2008,6160,0.28096,0.30368
1997,female,Catholic,0.33601,1965,6580,0.32460,0.34743
1997,female,Protestant,0.38558,2153,6580,0.37382,0.39734
1997,female,Other Christian community,0.02393,235,6580,0.02024,0.02762
1997,female,Other religious community,0.03048,417,6580,0.02632,0.03463
1997,female,Non-denominational,0.22204,1810,6580,0.21200,0.23209
2003,male,Catholic,0.30128,3084,10609,0.29255,0.31001
2003,male,Protestant,0.32185,3272,10609,0.31296,0.33074
2003,male,Other Christian community,0.02088,233,10609,0.01815,0.02360
2003,male,Other religious community,0.04213,444,10609,0.03831,0.04595
2003,male,Non-denominational,0.31386,3576,10609,0.30503,0.32269
2003,female,Catholic,0.32813,3498,11416,0.31952,0.33674
2003,female,Protestant,0.37615,4097,11416,0.36726,0.38503
2003,female,Other Christian community,0.02243,272,11416,0.01972,0.02515
2003,female,Other religious community,0.03238,419,11416,0.02913,0.03563
2003,female,Non-denominational,0.24091,3130,11416,0.23306,0.24875
2007,male,Catholic,0.29397,2748,9726,0.28491,0.30302
2007,male,Protestant,0.32023,3161,9726,0.31096,0.32951
2007,male,Other Christian community,0.02382,219,9726,0.02079,0.02685
2007,male,Islamic community,0.04093,321,9726,0.03699,0.04486
2007,male,Non-denominational,0.31761,3277,9726,0.30835,0.32686
2007,female,Catholic,0.31632,3201,10686,0.30750,0.32514
2007,female,Protestant,0.36760,3922,10686,0.35846,0.37675
2007,female,Other Christian community,0.02992,285,10686,0.02669,0.03315
2007,female,Islamic community,0.03238,304,10686,0.02902,0.03573
2007,female,Non-denominational,0.25107,2974,10686,0.24285,0.25929
2011,male,Catholic,0.28983,2909,10231,0.28104,0.29862
2011,male,Protestant,0.31510,3263,10231,0.30610,0.32410
2011,male,Other Christian community,0.02050,218,10231,0.01775,0.02324
2011,male,Islamic community,0.02578,249,10231,0.02271,0.02885
2011,male,Non-denominational,0.34431,3592,10231,0.33510,0.35352
2011,female,Catholic,0.30518,3478,11798,0.29687,0.31349
2011,female,Protestant,0.36399,4275,11798,0.35531,0.37267
2011,female,Other Christian community,0.02695,298,11798,0.02403,0.02987
2011,female,Islamic community,0.02280,256,11798,0.02011,0.02550
2011,female,Non-denominational,0.27829,3491,11798,0.27020,0.28637
2015,male,Catholic,0.28101,3353,12207,0.27304,0.28898
2015,male,Protestant,0.28893,3297,12207,0.28088,0.29697
2015,male,Other Christian community,0.01821,263,12207,0.01584,0.02058
2015,male,Islamic community,0.02444,369,12207,0.02170,0.02718
2015,male,Other religious community,0.00489,86,12207,0.00365,0.00612
2015,male,Non-denominational,0.35586,4223,12207,0.34737,0.36436
2015,male,Christian orthodox,0.00728,305,12207,0.00577,0.00879
2015,male,Shiite denomination,0.00184,39,12207,0.00108,0.00260
2015,male,Sunni denomination,0.01577,272,12207,0.01356,0.01798
2015,female,Catholic,0.29833,4086,14376,0.29085,0.30581
2015,female,Protestant,0.33536,4397,14376,0.32764,0.34307
2015,female,Other Christian community,0.02211,372,14376,0.01970,0.02451
2015,female,Islamic community,0.01823,387,14376,0.01604,0.02041
2015,female,Other religious community,0.00512,123,14376,0.00395,0.00628
2015,female,Non-denominational,0.29666,4309,14376,0.28920,0.30413
2015,female,Christian orthodox,0.00830,388,14376,0.00682,0.00979
2015,female,Shiite denomination,0.00125,37,14376,0.00067,0.00183
2015,female,Sunni denomination,0.01321,277,14376,0.01134,0.01507
2019,male,Catholic,0.25523,3059,14107,0.24804,0.26243
2019,male,Protestant,0.26507,3248,14107,0.25778,0.27235
2019,male,Other Christian community,0.01502,177,14107,0.01301,0.01703
2019,male,Islamic community,0.01199,236,14107,0.01020,0.01379
2019,male,Other religious community,0.00564,246,14107,0.00440,0.00687
2019,male,Non-denominational,0.39190,5121,14107,0.38384,0.39995
2019,male,Christian orthodox,0.01390,296,14107,0.01196,0.01583
2019,male,Shiite denomination,0.00399,144,14107,0.00295,0.00503
2019,male,Sunni denomination,0.03469,1549,14107,0.03167,0.03771
2019,male,Alevi denomination,0.00257,31,14107,0.00174,0.00341
2019,female,Catholic,0.27759,3543,14722,0.27036,0.28483
2019,female,Protestant,0.31224,4081,14722,0.30475,0.31972
2019,female,Other Christian community,0.01630,235,14722,0.01425,0.01834
2019,female,Islamic community,0.00959,202,14722,0.00801,0.01116
2019,female,Other religious community,0.00546,230,14722,0.00427,0.00665
2019,female,Non-denominational,0.32596,4744,14722,0.31839,0.33353
2019,female,Christian orthodox,0.01884,386,14722,0.01664,0.02103
2019,female,Shiite denomination,0.00267,112,14722,0.00183,0.00350
