"plh0258_h","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Katholisch","1990","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","324","0.384347092812017","0.351645538468579","0.417048647155454"
"Katholisch","1990","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Katholisch","1990","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","2329","0.435971198078669","0.422702058324516","0.449240337832822"
"Katholisch","1990","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","113","0.0732683952465298","0.0607969470642482","0.0857398434288114"
"Katholisch","1990","Realschulabschluss","Westdeutschland, alte Bundeslaender","651","0.391485760242392","0.367725568486772","0.415245951998011"
"Katholisch","1990","Realschulabschluss","Ostdeutschland, neue Bundeslaender","86","0.0555178083331324","0.0441800646049777","0.0668555520612872"
"Katholisch","1990","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","263","0.347240520045767","0.313235550065789","0.381245490025745"
"Katholisch","1990","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Katholisch","1990","AkademikerInnen","Westdeutschland, alte Bundeslaender","252","0.37721990395162","0.341262772162508","0.413177035740732"
"Katholisch","1990","AkademikerInnen","Ostdeutschland, neue Bundeslaender","40","0.039259263049563","0.0271858773962349","0.0513326487028911"
"Evangelisch","1990","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","96","0.277043486195104","0.246957192722033","0.307129779668176"
"Evangelisch","1990","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Evangelisch","1990","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","1933","0.449545447269687","0.436234444807394","0.46285644973198"
"Evangelisch","1990","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","586","0.374629160820904","0.351463154919326","0.397795166722481"
"Evangelisch","1990","Realschulabschluss","Westdeutschland, alte Bundeslaender","719","0.464239100532357","0.439961098179465","0.488517102885249"
"Evangelisch","1990","Realschulabschluss","Ostdeutschland, neue Bundeslaender","391","0.2495574302608","0.228130617415463","0.270984243106137"
"Evangelisch","1990","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","259","0.43512609926703","0.399715447189823","0.470536751344238"
"Evangelisch","1990","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Evangelisch","1990","AkademikerInnen","Westdeutschland, alte Bundeslaender","282","0.408076761164366","0.371616144737608","0.444537377591124"
"Evangelisch","1990","AkademikerInnen","Ostdeutschland, neue Bundeslaender","233","0.242260869808636","0.215625643420221","0.268896096197052"
"Andere christlische Religionsgemeinschaft","1990","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","58","0.0623318672180166","0.0460794383165132","0.0785842961195201"
"Andere christlische Religionsgemeinschaft","1990","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Andere christlische Religionsgemeinschaft","1990","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","164","0.0166302127785088","0.0132082871901428","0.0200521383668748"
"Andere christlische Religionsgemeinschaft","1990","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Andere christlische Religionsgemeinschaft","1990","Realschulabschluss","Westdeutschland, alte Bundeslaender","35","0.0199351118000533","0.0131306569515908","0.0267395666485157"
"Andere christlische Religionsgemeinschaft","1990","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Andere christlische Religionsgemeinschaft","1990","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","30","0.0276304431934866","0.0159230499799691","0.039337836407004"
"Andere christlische Religionsgemeinschaft","1990","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Andere christlische Religionsgemeinschaft","1990","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Andere christlische Religionsgemeinschaft","1990","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Islamische Religionsgemeinschaft","1990","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","260","0.198899253776692","0.172064428421569","0.225734079131814"
"Islamische Religionsgemeinschaft","1990","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Islamische Religionsgemeinschaft","1990","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","432","0.0225899328327795","0.0186138163245067","0.0265660493410523"
"Islamische Religionsgemeinschaft","1990","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Islamische Religionsgemeinschaft","1990","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Islamische Religionsgemeinschaft","1990","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
