year,pgisced97,sex,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No answer / don't know,female,Catholic,0.51130,36,36,0.34569,0.67691
1990,Pre-primary Level,male,Catholic,0.44830,38,71,0.33179,0.56480
1990,Pre-primary Level,male,Protestant,0.39101,33,71,0.27669,0.50532
1990,Primary Level,male,Catholic,0.36248,104,212,0.29761,0.42734
1990,Primary Level,male,Islamic community,0.21362,74,212,0.15832,0.26893
1990,Primary Level,male,Christian orthodox,0.05960,34,212,0.02765,0.09154
1990,Primary Level,female,Catholic,0.32109,129,313,0.26928,0.37290
1990,Primary Level,female,Islamic community,0.29903,142,313,0.24823,0.34984
1990,Primary Level,female,Christian orthodox,0.05354,42,313,0.02856,0.07852
1990,Lower Secondary Level,male,Catholic,0.37755,347,985,0.34726,0.40784
1990,Lower Secondary Level,male,Protestant,0.36067,221,985,0.33066,0.39067
1990,Lower Secondary Level,male,Other Christian community,0.01765,32,985,0.00943,0.02588
1990,Lower Secondary Level,male,Islamic community,0.07124,178,985,0.05517,0.08732
1990,Lower Secondary Level,male,Non-denominational,0.14713,150,985,0.12500,0.16926
1990,Lower Secondary Level,male,Christian orthodox,0.01707,57,985,0.00897,0.02516
1990,Lower Secondary Level,female,Catholic,0.38913,715,1964,0.36756,0.41070
1990,Lower Secondary Level,female,Protestant,0.47012,751,1964,0.44804,0.49220
1990,Lower Secondary Level,female,Other Christian community,0.01750,50,1964,0.01170,0.02330
1990,Lower Secondary Level,female,Islamic community,0.02178,145,1964,0.01533,0.02824
1990,Lower Secondary Level,female,Non-denominational,0.09588,243,1964,0.08285,0.10890
1990,Lower Secondary Level,female,Christian orthodox,0.00481,60,1964,0.00175,0.00788
1990,Upper Secondary Level,male,Catholic,0.34416,1099,3650,0.32875,0.35958
1990,Upper Secondary Level,male,Protestant,0.39752,1209,3650,0.38164,0.41340
1990,Upper Secondary Level,male,Other Christian community,0.01366,69,3650,0.00990,0.01743
1990,Upper Secondary Level,male,Islamic community,0.01114,127,3650,0.00773,0.01454
1990,Upper Secondary Level,male,Non-denominational,0.22863,1092,3650,0.21501,0.24226
1990,Upper Secondary Level,male,Christian orthodox,0.00255,54,3650,0.00091,0.00418
1990,Upper Secondary Level,female,Catholic,0.33522,951,3354,0.31924,0.35119
1990,Upper Secondary Level,female,Protestant,0.45155,1318,3354,0.43471,0.46840
1990,Upper Secondary Level,female,Other Christian community,0.01480,57,3354,0.01072,0.01889
1990,Upper Secondary Level,female,Islamic community,0.00618,64,3354,0.00352,0.00883
1990,Upper Secondary Level,female,Non-denominational,0.18701,925,3354,0.17382,0.20021
1990,Upper Secondary Level,female,Christian orthodox,0.00231,39,3354,0.00069,0.00394
1990,Post-secondary Non-tertiary Level,male,Catholic,0.28559,61,169,0.21729,0.35390
1990,Post-secondary Non-tertiary Level,male,Protestant,0.39523,56,169,0.32130,0.46916
1990,Post-secondary Non-tertiary Level,male,Non-denominational,0.22959,52,169,0.16600,0.29319
1990,Post-secondary Non-tertiary Level,female,Catholic,0.27771,44,141,0.20352,0.35190
1990,Post-secondary Non-tertiary Level,female,Protestant,0.42256,52,141,0.34074,0.50439
1990,Post-secondary Non-tertiary Level,female,Non-denominational,0.25849,45,141,0.18596,0.33101
1990,First Stage of Tertiary Education,male,Catholic,0.32291,132,488,0.28138,0.36444
1990,First Stage of Tertiary Education,male,Protestant,0.38509,179,488,0.34188,0.42831
1990,First Stage of Tertiary Education,male,Non-denominational,0.27937,177,488,0.23951,0.31922
1990,First Stage of Tertiary Education,female,Catholic,0.43533,116,257,0.37459,0.49606
1990,First Stage of Tertiary Education,female,Protestant,0.43813,107,257,0.37735,0.49891
1990,First Stage of Tertiary Education,female,Non-denominational,0.09272,34,257,0.05719,0.12825
1990,Second Stage of Tertiary Education,male,Catholic,0.25499,178,889,0.22633,0.28366
1990,Second Stage of Tertiary Education,male,Protestant,0.38093,300,889,0.34899,0.41287
1990,Second Stage of Tertiary Education,male,Non-denominational,0.34567,411,889,0.31439,0.37695
1990,Second Stage of Tertiary Education,female,Catholic,0.24859,114,746,0.21756,0.27963
1990,Second Stage of Tertiary Education,female,Protestant,0.30192,214,746,0.26895,0.33489
1990,Second Stage of Tertiary Education,female,Non-denominational,0.42192,418,746,0.38646,0.45739
1997,No answer / don't know,male,Catholic,0.33092,32,98,0.23728,0.42456
1997,No answer / don't know,male,Other religious community,0.23949,33,98,0.15456,0.32442
1997,No answer / don't know,male,Non-denominational,0.23391,33,98,0.14966,0.31815
1997,No answer / don't know,female,Catholic,0.40108,48,82,0.29434,0.50781
1997,No answer / don't know,female,Protestant,0.28444,34,82,0.18619,0.38269
1997,Pre-primary Level,male,Catholic,0.38544,46,101,0.29005,0.48083
1997,Pre-primary Level,male,Non-denominational,0.26003,55,101,0.17406,0.34601
1997,Pre-primary Level,female,Catholic,0.30916,43,138,0.23177,0.38655
1997,Pre-primary Level,female,Protestant,0.38579,49,138,0.30427,0.46730
1997,Pre-primary Level,female,Non-denominational,0.21921,46,138,0.14993,0.28848
1997,Primary Level,male,Catholic,0.40359,79,135,0.32052,0.48666
1997,Primary Level,male,Other religious community,0.24246,56,135,0.16990,0.31503
1997,Primary Level,female,Catholic,0.30888,80,194,0.24369,0.37406
1997,Primary Level,female,Other religious community,0.33669,114,194,0.27002,0.40337
1997,Lower Secondary Level,male,Catholic,0.37934,265,815,0.34601,0.41268
1997,Lower Secondary Level,male,Protestant,0.30195,160,815,0.27041,0.33349
1997,Lower Secondary Level,male,Other Christian community,0.03384,59,815,0.02142,0.04626
