year,age_gr,bula_h,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Schleswig-Holstein,Protestant,0.74816,54,54,0.63130,0.86503
1990,17-29 y.,Lower Saxony,Catholic,0.09836,42,225,0.05936,0.13736
1990,17-29 y.,Lower Saxony,Protestant,0.77621,183,225,0.72163,0.83079
1990,17-29 y.,North Rhine-Westphalia,Catholic,0.43143,281,681,0.39421,0.46866
1990,17-29 y.,North Rhine-Westphalia,Protestant,0.41341,237,681,0.37640,0.45042
1990,17-29 y.,North Rhine-Westphalia,Islamic community,0.06182,132,681,0.04372,0.07993
1990,17-29 y.,North Rhine-Westphalia,Non-denominational,0.05343,31,681,0.03653,0.07034
1990,17-29 y.,Hesse,Catholic,0.30330,79,242,0.24526,0.36133
1990,17-29 y.,Hesse,Protestant,0.55651,108,242,0.49379,0.61923
1990,17-29 y.,Hesse,Islamic community,0.05571,55,242,0.02675,0.08467
1990,17-29 y.,"Rhineland-Palatinate, Saarland",Catholic,0.59070,110,166,0.51567,0.66572
1990,17-29 y.,"Rhineland-Palatinate, Saarland",Protestant,0.31253,56,166,0.24180,0.38325
1990,17-29 y.,Baden-Wuerttemberg,Catholic,0.48693,251,504,0.44325,0.53061
1990,17-29 y.,Baden-Wuerttemberg,Protestant,0.38135,133,504,0.33890,0.42379
1990,17-29 y.,Baden-Wuerttemberg,Islamic community,0.04890,88,504,0.03005,0.06774
1990,17-29 y.,Baden-Wuerttemberg,Christian orthodox,0.01299,32,504,0.00309,0.02288
1990,17-29 y.,Bavaria,Catholic,0.67964,289,411,0.63448,0.72481
1990,17-29 y.,Bavaria,Protestant,0.21824,82,411,0.17826,0.25823
1990,17-29 y.,Bavaria,Islamic community,0.02727,40,411,0.01151,0.04304
1990,17-29 y.,Berlin,Islamic community,0.07784,33,121,0.02990,0.12577
1990,17-29 y.,Berlin,Non-denominational,0.51118,88,121,0.42174,0.60062
1990,17-29 y.,Brandenburg,Protestant,0.20507,32,167,0.14365,0.26649
1990,17-29 y.,Brandenburg,Non-denominational,0.74741,135,167,0.68131,0.81351
1990,17-29 y.,Mecklenburg-Western Pomerania,Non-denominational,0.83480,126,126,0.76970,0.89991
1990,17-29 y.,Saxony,Protestant,0.21818,72,305,0.17175,0.26460
1990,17-29 y.,Saxony,Non-denominational,0.72700,233,305,0.67692,0.77708
