year,bula_h,sex,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,male,Protestant,0.62901,81,81,0.52315,0.73487
1990,Schleswig-Holstein,female,Protestant,0.80494,109,109,0.73021,0.87967
1990,Hamburg,male,Protestant,0.49801,32,32,0.32199,0.67402
1990,Hamburg,female,Protestant,0.55141,35,35,0.38423,0.71858
1990,Lower Saxony,male,Catholic,0.14476,86,444,0.11199,0.17752
1990,Lower Saxony,male,Protestant,0.66369,287,444,0.61970,0.70769
1990,Lower Saxony,male,Non-denominational,0.16476,71,444,0.13022,0.19931
1990,Lower Saxony,female,Catholic,0.15855,87,446,0.12461,0.19249
1990,Lower Saxony,female,Protestant,0.72321,324,446,0.68164,0.76478
1990,Lower Saxony,female,Non-denominational,0.08456,35,446,0.05871,0.11042
1990,Bremen,female,Protestant,0.80000,41,41,0.67604,0.92396
1990,North Rhine-Westphalia,male,Catholic,0.43989,526,1251,0.41237,0.46741
1990,North Rhine-Westphalia,male,Protestant,0.37798,373,1251,0.35110,0.40486
1990,North Rhine-Westphalia,male,Other Christian community,0.01896,42,1251,0.01140,0.02652
1990,North Rhine-Westphalia,male,Islamic community,0.03894,150,1251,0.02822,0.04967
1990,North Rhine-Westphalia,male,Non-denominational,0.11126,117,1251,0.09383,0.12870
1990,North Rhine-Westphalia,male,Christian orthodox,0.00916,43,1251,0.00388,0.01444
1990,North Rhine-Westphalia,female,Catholic,0.48815,578,1281,0.46076,0.51553
1990,North Rhine-Westphalia,female,Protestant,0.40213,436,1281,0.37527,0.42899
1990,North Rhine-Westphalia,female,Other Christian community,0.02324,51,1281,0.01499,0.03150
1990,North Rhine-Westphalia,female,Islamic community,0.02795,123,1281,0.01892,0.03698
1990,North Rhine-Westphalia,female,Non-denominational,0.05050,56,1281,0.03851,0.06250
1990,North Rhine-Westphalia,female,Christian orthodox,0.00566,37,1281,0.00155,0.00978
1990,Hesse,male,Catholic,0.30218,154,459,0.26013,0.34424
1990,Hesse,male,Protestant,0.52955,194,459,0.48384,0.57526
1990,Hesse,male,Islamic community,0.03358,63,459,0.01708,0.05008
1990,Hesse,male,Non-denominational,0.10604,48,459,0.07784,0.13423
1990,Hesse,female,Catholic,0.27611,151,461,0.23525,0.31697
1990,Hesse,female,Protestant,0.58718,218,461,0.54219,0.63217
1990,Hesse,female,Islamic community,0.03248,57,461,0.01628,0.04868
1990,Hesse,female,Non-denominational,0.07347,35,461,0.04963,0.09731
1990,"Rhineland-Palatinate, Saarland",male,Catholic,0.58182,183,285,0.52445,0.63919
1990,"Rhineland-Palatinate, Saarland",male,Protestant,0.33549,102,285,0.28057,0.39040
1990,"Rhineland-Palatinate, Saarland",female,Catholic,0.53995,200,316,0.48491,0.59499
1990,"Rhineland-Palatinate, Saarland",female,Protestant,0.39545,116,316,0.34146,0.44945
1990,Baden-Wuerttemberg,male,Catholic,0.45770,411,893,0.42501,0.49040
1990,Baden-Wuerttemberg,male,Protestant,0.40330,242,893,0.37110,0.43549
1990,Baden-Wuerttemberg,male,Other Christian community,0.03213,51,893,0.02056,0.04370
1990,Baden-Wuerttemberg,male,Islamic community,0.03542,107,893,0.02329,0.04755
1990,Baden-Wuerttemberg,male,Non-denominational,0.05896,36,893,0.04350,0.07442
