year,quintil_oecd,sampreg,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,West,Catholic,0.38491,689,1880,0.36291,0.40691
1990,1st Quintile,West,Protestant,0.46128,574,1880,0.43874,0.48382
1990,1st Quintile,West,Other Christian community,0.02776,80,1880,0.02033,0.03519
1990,1st Quintile,West,Islamic community,0.06701,395,1880,0.05570,0.07831
1990,1st Quintile,West,Non-denominational,0.04500,66,1880,0.03562,0.05437
1990,1st Quintile,West,Christian orthodox,0.00712,76,1880,0.00332,0.01092
1990,2nd Quintile,West,Catholic,0.43776,796,1878,0.41532,0.46021
1990,2nd Quintile,West,Protestant,0.43378,630,1878,0.41135,0.45620
1990,2nd Quintile,West,Other Christian community,0.02381,75,1878,0.01692,0.03071
1990,2nd Quintile,West,Islamic community,0.03557,227,1878,0.02719,0.04395
1990,2nd Quintile,West,Non-denominational,0.06323,96,1878,0.05222,0.07424
1990,2nd Quintile,West,Christian orthodox,0.00513,54,1878,0.00190,0.00836
1990,3rd Quintile,West,Catholic,0.42570,812,1877,0.40333,0.44808
1990,3rd Quintile,West,Protestant,0.43579,645,1877,0.41335,0.45823
1990,3rd Quintile,West,Other Christian community,0.01669,59,1877,0.01089,0.02248
1990,3rd Quintile,West,Islamic community,0.02262,146,1877,0.01589,0.02935
1990,3rd Quintile,West,Non-denominational,0.09038,140,1877,0.07740,0.10335
1990,3rd Quintile,West,Christian orthodox,0.00662,75,1877,0.00295,0.01030
1990,4th Quintile,West,Catholic,0.42115,843,1934,0.39914,0.44316
1990,4th Quintile,West,Protestant,0.43498,724,1934,0.41288,0.45708
1990,4th Quintile,West,Other Christian community,0.01999,51,1934,0.01375,0.02623
1990,4th Quintile,West,Islamic community,0.00938,64,1934,0.00508,0.01367
1990,4th Quintile,West,Non-denominational,0.10620,179,1934,0.09247,0.11994
1990,4th Quintile,West,Christian orthodox,0.00596,73,1934,0.00253,0.00939
1990,5th Quintile,West,Catholic,0.39086,731,1801,0.36832,0.41340
1990,5th Quintile,West,Protestant,0.43574,741,1801,0.41283,0.45865
1990,5th Quintile,West,Other Christian community,0.01348,40,1801,0.00815,0.01881
1990,5th Quintile,West,Non-denominational,0.15230,252,1801,0.13570,0.16890
1990,5th Quintile,West,Christian orthodox,0.00417,37,1801,0.00119,0.00715
1997,1st Quintile,West,Catholic,0.36910,565,1649,0.34580,0.39240
1997,1st Quintile,West,Protestant,0.37841,428,1649,0.35499,0.40182
1997,1st Quintile,West,Other Christian community,0.03699,98,1649,0.02788,0.04610
1997,1st Quintile,West,Other religious community,0.12079,420,1649,0.10506,0.13653
1997,1st Quintile,West,Non-denominational,0.08998,138,1649,0.07616,0.10379
1997,1st Quintile,East,Catholic,0.05278,31,699,0.03619,0.06937
1997,1st Quintile,East,Protestant,0.25930,166,699,0.22679,0.29182
1997,1st Quintile,East,Non-denominational,0.67533,502,699,0.64059,0.71007
1997,2nd Quintile,West,Catholic,0.42396,704,1738,0.40072,0.44720
1997,2nd Quintile,West,Protestant,0.36253,489,1738,0.33993,0.38514
1997,2nd Quintile,West,Other Christian community,0.02327,96,1738,0.01618,0.03036
1997,2nd Quintile,West,Other religious community,0.06265,250,1738,0.05126,0.07405
1997,2nd Quintile,West,Non-denominational,0.12509,199,1738,0.10954,0.14065
1997,2nd Quintile,East,Catholic,0.05194,41,971,0.03797,0.06590
1997,2nd Quintile,East,Protestant,0.24008,225,971,0.21320,0.26696
1997,2nd Quintile,East,Non-denominational,0.69602,705,971,0.66707,0.72497
1997,3rd Quintile,West,Catholic,0.41466,763,1762,0.39165,0.43767
1997,3rd Quintile,West,Protestant,0.40579,599,1762,0.38286,0.42873
1997,3rd Quintile,West,Other Christian community,0.01949,79,1762,0.01304,0.02595
1997,3rd Quintile,West,Other religious community,0.03198,109,1762,0.02376,0.04019
1997,3rd Quintile,West,Non-denominational,0.12539,212,1762,0.10992,0.14086
1997,3rd Quintile,East,Catholic,0.05169,50,847,0.03677,0.06661
1997,3rd Quintile,East,Protestant,0.27011,212,847,0.24019,0.30003
1997,3rd Quintile,East,Non-denominational,0.66397,585,847,0.63214,0.69580
1997,4th Quintile,West,Catholic,0.40431,791,1941,0.38248,0.42615
1997,4th Quintile,West,Protestant,0.39645,726,1941,0.37468,0.41822
1997,4th Quintile,West,Other Christian community,0.02620,93,1941,0.01909,0.03331
1997,4th Quintile,West,Other religious community,0.01198,61,1941,0.00714,0.01682
1997,4th Quintile,West,Non-denominational,0.16016,270,1941,0.14384,0.17648
1997,4th Quintile,East,Catholic,0.04629,36,707,0.03079,0.06179
1997,4th Quintile,East,Protestant,0.24164,175,707,0.21006,0.27321
