year,migback,sex,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,male,Catholic,0.26723,1392,5191,0.25519,0.27927
1990,No migration background,male,Protestant,0.34334,1963,5191,0.33042,0.35626
1990,No migration background,male,Other Christian community,0.00652,31,5191,0.00433,0.00871
1990,No migration background,male,Non-denominational,0.20303,1805,5191,0.19209,0.21398
1990,No migration background,female,Catholic,0.28747,1583,5638,0.27566,0.29929
1990,No migration background,female,Protestant,0.38939,2396,5638,0.37667,0.40212
1990,No migration background,female,Other Christian community,0.01054,56,5638,0.00787,0.01320
1990,No migration background,female,Non-denominational,0.15152,1603,5638,0.14216,0.16088
1990,Direct migration background,male,Catholic,0.38830,529,1373,0.36251,0.41409
1990,Direct migration background,male,Protestant,0.13487,75,1373,0.11679,0.15294
1990,Direct migration background,male,Other Christian community,0.05636,104,1373,0.04416,0.06856
1990,Direct migration background,male,Islamic community,0.19600,416,1373,0.17499,0.21701
1990,Direct migration background,male,Non-denominational,0.11528,107,1373,0.09839,0.13218
1990,Direct migration background,male,Christian orthodox,0.04330,142,1373,0.03253,0.05407
1990,Direct migration background,female,Catholic,0.39809,478,1257,0.37102,0.42516
1990,Direct migration background,female,Protestant,0.18053,103,1257,0.15926,0.20181
1990,Direct migration background,female,Other Christian community,0.06707,103,1257,0.05324,0.08091
1990,Direct migration background,female,Islamic community,0.17406,370,1257,0.15309,0.19503
1990,Direct migration background,female,Non-denominational,0.08523,79,1257,0.06979,0.10067
1990,Direct migration background,female,Christian orthodox,0.03255,124,1257,0.02273,0.04236
1990,Indirect migration background,male,Catholic,0.07208,67,102,0.02164,0.12252
1990,Indirect migration background,male,Islamic community,0.04204,35,102,0.00290,0.08118
1990,Indirect migration background,female,Catholic,0.08812,71,71,0.02171,0.15453
1997,No migration background,male,Catholic,0.25274,1235,4635,0.24023,0.26526
1997,No migration background,male,Protestant,0.29914,1543,4635,0.28595,0.31232
1997,No migration background,male,Other Christian community,0.00709,37,4635,0.00467,0.00950
1997,No migration background,male,Non-denominational,0.25728,1820,4635,0.24469,0.26986
1997,No migration background,female,Catholic,0.26898,1396,5092,0.25680,0.28116
1997,No migration background,female,Protestant,0.35507,1980,5092,0.34193,0.36822
1997,No migration background,female,Other Christian community,0.01097,58,5092,0.00811,0.01383
1997,No migration background,female,Non-denominational,0.20277,1658,5092,0.19173,0.21382
1997,Direct migration background,male,Catholic,0.38152,480,1227,0.35433,0.40871
1997,Direct migration background,male,Protestant,0.11932,104,1227,0.10118,0.13747
1997,Direct migration background,male,Other Christian community,0.07021,145,1227,0.05591,0.08451
1997,Direct migration background,male,Other religious community,0.17955,347,1227,0.15806,0.20103
1997,Direct migration background,male,Non-denominational,0.17087,151,1227,0.14980,0.19194
