year,bula_h,sampreg,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,West,Protestant,0.71708,190,232,0.65899,0.77516
1990,Schleswig-Holstein,West,Non-denominational,0.17493,42,232,0.12594,0.22392
1990,Hamburg,West,Protestant,0.52458,67,122,0.43559,0.61356
1990,Hamburg,West,Non-denominational,0.33953,55,122,0.25515,0.42390
1990,Lower Saxony,West,Catholic,0.15175,173,944,0.12885,0.17465
1990,Lower Saxony,West,Protestant,0.69386,611,944,0.66444,0.72328
1990,Lower Saxony,West,Islamic community,0.01695,54,944,0.00871,0.02519
1990,Lower Saxony,West,Non-denominational,0.12412,106,944,0.10307,0.14516
1990,Bremen,West,Protestant,0.69212,63,63,0.57721,0.80703
1990,North Rhine-Westphalia,West,Catholic,0.46546,1104,2532,0.44603,0.48489
1990,North Rhine-Westphalia,West,Protestant,0.39078,809,2532,0.37177,0.40979
1990,North Rhine-Westphalia,West,Other Christian community,0.02123,93,2532,0.01561,0.02684
1990,North Rhine-Westphalia,West,Islamic community,0.03312,273,2532,0.02615,0.04009
1990,North Rhine-Westphalia,West,Non-denominational,0.07907,173,2532,0.06855,0.08958
1990,North Rhine-Westphalia,West,Christian orthodox,0.00731,80,2532,0.00399,0.01063
1990,Hesse,West,Catholic,0.28912,305,954,0.26034,0.31790
1990,Hesse,West,Protestant,0.55842,412,954,0.52690,0.58995
1990,Hesse,West,Islamic community,0.03303,120,954,0.02168,0.04438
1990,Hesse,West,Non-denominational,0.08972,83,954,0.07157,0.10786
1990,Hesse,West,Christian orthodox,0.00537,34,954,0.00073,0.01000
1990,"Rhineland-Palatinate, Saarland",West,Catholic,0.55943,383,601,0.51971,0.59916
1990,"Rhineland-Palatinate, Saarland",West,Protestant,0.36756,218,601,0.32898,0.40614
1990,Baden-Wuerttemberg,West,Catholic,0.46688,829,1783,0.44372,0.49005
1990,Baden-Wuerttemberg,West,Protestant,0.40749,513,1783,0.38467,0.43030
