year,age_gr,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Catholic,0.33751,1130,3818,0.32251,0.35251
1990,17-29 y.,Protestant,0.38610,1118,3818,0.37065,0.40154
1990,17-29 y.,Other Christian community,0.01633,76,3818,0.01231,0.02036
1990,17-29 y.,Islamic community,0.03550,392,3818,0.02963,0.04137
1990,17-29 y.,Non-denominational,0.21026,1007,3818,0.19733,0.22319
1990,17-29 y.,Christian orthodox,0.00503,95,3818,0.00279,0.00728
1990,30-45 y.,Catholic,0.35710,1289,4252,0.34269,0.37150
1990,30-45 y.,Protestant,0.34385,1202,4252,0.32957,0.35813
1990,30-45 y.,Other Christian community,0.01963,126,4252,0.01546,0.02380
1990,30-45 y.,Islamic community,0.02391,213,4252,0.01931,0.02850
1990,30-45 y.,Non-denominational,0.24165,1339,4252,0.22878,0.25452
1990,30-45 y.,Christian orthodox,0.00518,83,4252,0.00302,0.00734
1990,46-65 y.,Catholic,0.33079,1241,4221,0.31660,0.34499
1990,46-65 y.,Protestant,0.42759,1500,4221,0.41266,0.44251
1990,46-65 y.,Other Christian community,0.01651,93,4221,0.01266,0.02035
1990,46-65 y.,Islamic community,0.01764,234,4221,0.01367,0.02161
1990,46-65 y.,Non-denominational,0.19357,1019,4221,0.18165,0.20549
1990,46-65 y.,Christian orthodox,0.00614,134,4221,0.00379,0.00850
1990,66 and older,Catholic,0.34014,460,1436,0.31562,0.36465
1990,66 and older,Protestant,0.51705,733,1436,0.49120,0.54291
1990,66 and older,Non-denominational,0.12768,243,1436,0.11041,0.14494
1997,17-29 y.,Catholic,0.33357,881,3010,0.31672,0.35041
1997,17-29 y.,Protestant,0.31139,795,3010,0.29484,0.32794
1997,17-29 y.,Other Christian community,0.02234,119,3010,0.01706,0.02762
1997,17-29 y.,Other religious community,0.06977,355,3010,0.06067,0.07887
1997,17-29 y.,Non-denominational,0.25444,860,3010,0.23888,0.27001
1997,30-45 y.,Catholic,0.32392,1287,4339,0.30999,0.33784
1997,30-45 y.,Protestant,0.31183,1176,4339,0.29805,0.32562
1997,30-45 y.,Other Christian community,0.02535,153,4339,0.02067,0.03003
1997,30-45 y.,Other religious community,0.03208,257,4339,0.02684,0.03732
1997,30-45 y.,Non-denominational,0.30244,1466,4339,0.28877,0.31611
1997,46-65 y.,Catholic,0.31796,1097,3819,0.30319,0.33274
1997,46-65 y.,Protestant,0.35155,1140,3819,0.33641,0.36670
1997,46-65 y.,Other Christian community,0.02518,164,3819,0.02021,0.03015
1997,46-65 y.,Other religious community,0.02739,231,3819,0.02221,0.03257
1997,46-65 y.,Non-denominational,0.27118,1187,3819,0.25708,0.28528
1997,66 and older,Catholic,0.34539,507,1524,0.32151,0.36927
1997,66 and older,Protestant,0.47232,712,1524,0.44725,0.49740
1997,66 and older,Non-denominational,0.15300,305,1524,0.13492,0.17108
2003,17-29 y.,Catholic,0.30792,1168,3983,0.29359,0.32226
2003,17-29 y.,Protestant,0.32425,1266,3983,0.30971,0.33878
2003,17-29 y.,Other Christian community,0.02573,104,3983,0.02081,0.03065
2003,17-29 y.,Other religious community,0.06158,219,3983,0.05412,0.06905
2003,17-29 y.,Non-denominational,0.27246,1226,3983,0.25863,0.28629
2003,30-45 y.,Catholic,0.30329,2060,6891,0.29244,0.31415
2003,30-45 y.,Protestant,0.30457,2052,6891,0.29370,0.31544
