year,bula_h,pgisced97,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Lower Secondary Level,Protestant,0.89521,47,47,0.80670,0.98372
1990,Schleswig-Holstein,Upper Secondary Level,Protestant,0.68209,106,139,0.60439,0.75978
1990,Schleswig-Holstein,Upper Secondary Level,Non-denominational,0.22316,33,139,0.15369,0.29263
1990,Hamburg,Upper Secondary Level,Protestant,0.57586,43,43,0.42639,0.72533
1990,Lower Saxony,Lower Secondary Level,Catholic,0.20010,51,197,0.14409,0.25612
1990,Lower Saxony,Lower Secondary Level,Protestant,0.68816,146,197,0.62331,0.75302
1990,Lower Saxony,Upper Secondary Level,Catholic,0.10693,67,474,0.07908,0.13478
1990,Lower Saxony,Upper Secondary Level,Protestant,0.76013,355,474,0.72165,0.79861
1990,Lower Saxony,Upper Secondary Level,Non-denominational,0.11369,52,474,0.08508,0.14229
1990,Lower Saxony,First Stage of Tertiary Education,Protestant,0.56068,37,37,0.39855,0.72281
1990,Lower Saxony,Second Stage of Tertiary Education,Protestant,0.47036,37,37,0.30731,0.63341
1990,Bremen,Upper Secondary Level,Protestant,0.63520,33,33,0.46842,0.80199
1990,North Rhine-Westphalia,Primary Level,Catholic,0.31683,56,129,0.23623,0.39743
1990,North Rhine-Westphalia,Primary Level,Islamic community,0.32893,73,129,0.24754,0.41032
1990,North Rhine-Westphalia,Lower Secondary Level,Catholic,0.44933,256,562,0.40816,0.49049
1990,North Rhine-Westphalia,Lower Secondary Level,Protestant,0.40111,172,562,0.36055,0.44167
1990,North Rhine-Westphalia,Lower Secondary Level,Islamic community,0.05565,102,562,0.03668,0.07462
1990,North Rhine-Westphalia,Lower Secondary Level,Non-denominational,0.06367,32,562,0.04346,0.08387
1990,North Rhine-Westphalia,Upper Secondary Level,Catholic,0.47881,560,1188,0.45039,0.50723
1990,North Rhine-Westphalia,Upper Secondary Level,Protestant,0.40946,451,1188,0.38148,0.43743
1990,North Rhine-Westphalia,Upper Secondary Level,Other Christian community,0.01985,38,1188,0.01192,0.02779
1990,North Rhine-Westphalia,Upper Secondary Level,Islamic community,0.01187,55,1188,0.00571,0.01804
1990,North Rhine-Westphalia,Upper Secondary Level,Non-denominational,0.07415,84,1188,0.05925,0.08906
1990,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Catholic,0.36892,35,35,0.20673,0.53111
1990,North Rhine-Westphalia,First Stage of Tertiary Education,Catholic,0.57681,78,113,0.48531,0.66831
1990,North Rhine-Westphalia,First Stage of Tertiary Education,Protestant,0.27211,35,113,0.18968,0.35453
1990,North Rhine-Westphalia,Second Stage of Tertiary Education,Catholic,0.44776,82,159,0.37023,0.52530
1990,North Rhine-Westphalia,Second Stage of Tertiary Education,Protestant,0.37898,77,159,0.30333,0.45462
1990,Hesse,Lower Secondary Level,Catholic,0.28437,80,228,0.22568,0.34305
1990,Hesse,Lower Secondary Level,Protestant,0.58773,101,228,0.52370,0.65177
1990,Hesse,Lower Secondary Level,Islamic community,0.03945,47,228,0.01413,0.06478
1990,Hesse,Upper Secondary Level,Catholic,0.30025,139,436,0.25718,0.34333
1990,Hesse,Upper Secondary Level,Protestant,0.58534,227,436,0.53904,0.63163
1990,Hesse,Upper Secondary Level,Islamic community,0.01860,33,436,0.00591,0.03130
1990,Hesse,Upper Secondary Level,Non-denominational,0.07515,37,436,0.05037,0.09992
1990,Hesse,Second Stage of Tertiary Education,Protestant,0.45871,35,35,0.29121,0.62620
1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Catholic,0.51264,120,197,0.44266,0.58261
1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Protestant,0.42874,77,197,0.35945,0.49802
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Catholic,0.59251,186,294,0.53625,0.64878
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Protestant,0.34859,108,294,0.29403,0.40315
1990,Baden-Wuerttemberg,Primary Level,Catholic,0.46306,82,136,0.37895,0.54718
1990,Baden-Wuerttemberg,Primary Level,Islamic community,0.21132,54,136,0.14246,0.28019
1990,Baden-Wuerttemberg,Lower Secondary Level,Catholic,0.49395,247,449,0.44766,0.54025
1990,Baden-Wuerttemberg,Lower Secondary Level,Protestant,0.38254,125,449,0.33753,0.42754
1990,Baden-Wuerttemberg,Lower Secondary Level,Islamic community,0.04796,77,449,0.02817,0.06774
1990,Baden-Wuerttemberg,Upper Secondary Level,Catholic,0.47096,378,734,0.43482,0.50710
1990,Baden-Wuerttemberg,Upper Secondary Level,Protestant,0.42757,271,734,0.39175,0.46338
1990,Baden-Wuerttemberg,Upper Secondary Level,Other Christian community,0.03209,41,734,0.01933,0.04484
1990,Baden-Wuerttemberg,Upper Secondary Level,Islamic community,0.01456,44,734,0.00589,0.02324
1990,Baden-Wuerttemberg,First Stage of Tertiary Education,Catholic,0.46773,47,84,0.36038,0.57507
1990,Baden-Wuerttemberg,First Stage of Tertiary Education,Protestant,0.39735,37,84,0.29208,0.50263
1990,Baden-Wuerttemberg,Second Stage of Tertiary Education,Catholic,0.36922,34,84,0.26540,0.47305
1990,Baden-Wuerttemberg,Second Stage of Tertiary Education,Protestant,0.53085,50,84,0.42349,0.63822
1990,Bavaria,Lower Secondary Level,Catholic,0.70070,239,367,0.65378,0.74762
1990,Bavaria,Lower Secondary Level,Protestant,0.19104,57,367,0.15076,0.23131
1990,Bavaria,Lower Secondary Level,Islamic community,0.03121,40,367,0.01340,0.04903
1990,Bavaria,Lower Secondary Level,Christian orthodox,0.01362,31,367,0.00175,0.02550
1990,Bavaria,Upper Secondary Level,Catholic,0.66413,525,744,0.63017,0.69809
1990,Bavaria,Upper Secondary Level,Protestant,0.25820,175,744,0.22673,0.28967
1990,Bavaria,Upper Secondary Level,Non-denominational,0.05782,44,744,0.04104,0.07460
1990,Bavaria,First Stage of Tertiary Education,Catholic,0.59176,56,56,0.46186,0.72166
1990,Bavaria,Second Stage of Tertiary Education,Catholic,0.51185,65,103,0.41484,0.60886
1990,Bavaria,Second Stage of Tertiary Education,Protestant,0.30445,38,103,0.21514,0.39375
1990,Berlin,Lower Secondary Level,Protestant,0.51881,37,71,0.40176,0.63586
1990,Berlin,Lower Secondary Level,Non-denominational,0.37809,34,71,0.26449,0.49168
1990,Berlin,Upper Secondary Level,Protestant,0.41442,89,227,0.35020,0.47865
1990,Berlin,Upper Secondary Level,Non-denominational,0.46646,138,227,0.40141,0.53150
1990,Berlin,Second Stage of Tertiary Education,Non-denominational,0.65500,108,108,0.56493,0.74507
1990,Brandenburg,Lower Secondary Level,Protestant,0.47368,36,83,0.36561,0.58175
1990,Brandenburg,Lower Secondary Level,Non-denominational,0.51813,47,83,0.40997,0.62628
1990,Brandenburg,Upper Secondary Level,Protestant,0.29459,102,376,0.24845,0.34073
