year,pgisced97,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No answer / don't know,Catholic,0.44267,65,136,0.35888,0.52646
1990,No answer / don't know,Protestant,0.28249,36,136,0.20655,0.35844
1990,No answer / don't know,Islamic community,0.10457,35,136,0.05295,0.15619
1990,Pre-primary Level,Catholic,0.41882,65,127,0.33267,0.50496
1990,Pre-primary Level,Protestant,0.41614,62,127,0.33007,0.50220
1990,Primary Level,Catholic,0.33951,233,618,0.30215,0.37688
1990,Primary Level,Protestant,0.22065,48,618,0.18793,0.25337
1990,Primary Level,Other Christian community,0.08010,45,618,0.05868,0.10152
1990,Primary Level,Islamic community,0.26101,216,618,0.22636,0.29567
1990,Primary Level,Christian orthodox,0.05624,76,618,0.03806,0.07442
1990,Lower Secondary Level,Catholic,0.38608,1062,2949,0.36850,0.40365
1990,Lower Secondary Level,Protestant,0.44131,972,2949,0.42338,0.45923
1990,Lower Secondary Level,Other Christian community,0.01754,82,2949,0.01280,0.02228
1990,Lower Secondary Level,Islamic community,0.03480,323,2949,0.02819,0.04142
1990,Lower Secondary Level,Non-denominational,0.10937,393,2949,0.09810,0.12063
1990,Lower Secondary Level,Christian orthodox,0.00804,117,2949,0.00482,0.01126
1990,Upper Secondary Level,Catholic,0.33988,2050,7035,0.32881,0.35095
1990,Upper Secondary Level,Protestant,0.42338,2527,7035,0.41183,0.43493
1990,Upper Secondary Level,Other Christian community,0.01421,126,7035,0.01144,0.01698
1990,Upper Secondary Level,Islamic community,0.00876,191,7035,0.00658,0.01094
1990,Upper Secondary Level,Other religious community,0.00258,31,7035,0.00139,0.00376
1990,Upper Secondary Level,Non-denominational,0.20872,2017,7035,0.19922,0.21821
1990,Upper Secondary Level,Christian orthodox,0.00243,93,7035,0.00128,0.00359
1990,Post-secondary Non-tertiary Level,Catholic,0.28208,105,348,0.23473,0.32943
1990,Post-secondary Non-tertiary Level,Protestant,0.40742,108,348,0.35572,0.45912
1990,Post-secondary Non-tertiary Level,Islamic community,0.04036,38,348,0.01965,0.06106
1990,Post-secondary Non-tertiary Level,Non-denominational,0.24248,97,348,0.19738,0.28757
1990,First Stage of Tertiary Education,Catholic,0.36754,248,745,0.33290,0.40218
1990,First Stage of Tertiary Education,Protestant,0.40615,286,745,0.37086,0.44144
1990,First Stage of Tertiary Education,Non-denominational,0.20527,211,745,0.17624,0.23429
1990,Second Stage of Tertiary Education,Catholic,0.25240,292,1635,0.23134,0.27347
1990,Second Stage of Tertiary Education,Protestant,0.34896,514,1635,0.32585,0.37207
1990,Second Stage of Tertiary Education,Non-denominational,0.37652,829,1635,0.35303,0.40001
1997,No answer / don't know,Catholic,0.37205,80,249,0.31189,0.43221
1997,No answer / don't know,Protestant,0.24140,50,249,0.18813,0.29466
1997,No answer / don't know,Other religious community,0.17237,62,249,0.12536,0.21937
