year,migback,regtyp,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,No answer / don't know,Non-denominational,0.81437,69,69,0.72195,0.90678
1990,No migration background,Urban regions,Catholic,0.35936,2081,6413,0.34762,0.37111
1990,No migration background,Urban regions,Protestant,0.45304,2744,6413,0.44086,0.46523
1990,No migration background,Urban regions,Other Christian community,0.01295,76,6413,0.01018,0.01571
1990,No migration background,Urban regions,Non-denominational,0.17250,1512,6413,0.16325,0.18174
1990,No migration background,Rural regions,Catholic,0.28487,893,4320,0.27140,0.29833
1990,No migration background,Rural regions,Protestant,0.42063,1600,4320,0.40590,0.43535
1990,No migration background,Rural regions,Non-denominational,0.28621,1827,4320,0.27273,0.29969
1990,Direct migration background,Urban regions,Catholic,0.42106,856,2222,0.40052,0.44159
1990,Direct migration background,Urban regions,Protestant,0.15604,129,2222,0.14095,0.17113
1990,Direct migration background,Urban regions,Other Christian community,0.06472,179,2222,0.05448,0.07495
1990,Direct migration background,Urban regions,Islamic community,0.21960,716,2222,0.20238,0.23681
1990,Direct migration background,Urban regions,Non-denominational,0.08794,119,2222,0.07616,0.09972
1990,Direct migration background,Urban regions,Christian orthodox,0.04098,223,2222,0.03273,0.04922
1990,Direct migration background,Rural regions,Catholic,0.39178,151,379,0.34257,0.44099
1990,Direct migration background,Rural regions,Protestant,0.21171,49,379,0.17053,0.25290
1990,Direct migration background,Rural regions,Islamic community,0.09143,70,379,0.06237,0.12049
1990,Direct migration background,Rural regions,Non-denominational,0.18443,66,379,0.14533,0.22353
1990,Direct migration background,Rural regions,Christian orthodox,0.03663,43,379,0.01769,0.05557
1990,Indirect migration background,Urban regions,Catholic,0.39284,117,208,0.32631,0.45938
1990,Indirect migration background,Urban regions,Islamic community,0.19099,54,208,0.13744,0.24454
1990,Indirect migration background,Urban regions,Christian orthodox,0.06583,37,208,0.03204,0.09961
1997,No migration background,Urban regions,Catholic,0.34260,1843,5824,0.33041,0.35479
1997,No migration background,Urban regions,Protestant,0.40444,2245,5824,0.39184,0.41705
1997,No migration background,Urban regions,Other Christian community,0.01176,68,5824,0.00899,0.01453
1997,No migration background,Urban regions,Non-denominational,0.23526,1668,5824,0.22436,0.24615
1997,No migration background,Rural regions,Catholic,0.25675,788,3875,0.24299,0.27050
1997,No migration background,Rural regions,Protestant,0.37356,1277,3875,0.35833,0.38880
1997,No migration background,Rural regions,Non-denominational,0.35585,1810,3875,0.34078,0.37093
1997,Direct migration background,Urban regions,Catholic,0.43397,789,2004,0.41227,0.45568
1997,Direct migration background,Urban regions,Protestant,0.14217,180,2004,0.12688,0.15746
1997,Direct migration background,Urban regions,Other Christian community,0.07928,226,2004,0.06745,0.09111
1997,Direct migration background,Urban regions,Other religious community,0.21058,622,2004,0.19273,0.22844
1997,Direct migration background,Urban regions,Non-denominational,0.13196,187,2004,0.11713,0.14678
1997,Direct migration background,Rural regions,Catholic,0.35079,151,421,0.30515,0.39643
1997,Direct migration background,Rural regions,Protestant,0.23277,73,421,0.19235,0.27319
1997,Direct migration background,Rural regions,Other Christian community,0.07736,47,421,0.05181,0.10291
1997,Direct migration background,Rural regions,Other religious community,0.07337,55,421,0.04844,0.09831
1997,Direct migration background,Rural regions,Non-denominational,0.25817,95,421,0.21632,0.30003
1997,Indirect migration background,Urban regions,Catholic,0.34442,166,477,0.30173,0.38711
1997,Indirect migration background,Urban regions,Protestant,0.17071,41,477,0.13691,0.20451
1997,Indirect migration background,Urban regions,Other Christian community,0.07134,69,477,0.04822,0.09447
1997,Indirect migration background,Urban regions,Other religious community,0.28134,158,477,0.24095,0.32174
1997,Indirect migration background,Urban regions,Non-denominational,0.13034,43,477,0.10010,0.16059
1997,Indirect migration background,Rural regions,Catholic,0.47755,35,35,0.30965,0.64545
2003,No migration background,Urban regions,Catholic,0.33604,3806,11842,0.32754,0.34455
2003,No migration background,Urban regions,Protestant,0.39184,4564,11842,0.38305,0.40063
2003,No migration background,Urban regions,Other Christian community,0.00962,112,11842,0.00786,0.01138
2003,No migration background,Urban regions,Other religious community,0.00493,56,11842,0.00366,0.00619
2003,No migration background,Urban regions,Non-denominational,0.25757,3304,11842,0.24969,0.26545
2003,No migration background,Rural regions,Catholic,0.25471,1572,6806,0.24435,0.26506
2003,No migration background,Rural regions,Protestant,0.35809,2264,6806,0.34670,0.36948
2003,No migration background,Rural regions,Other Christian community,0.00526,37,6806,0.00354,0.00698
2003,No migration background,Rural regions,Non-denominational,0.37994,2933,6806,0.36841,0.39148
2003,Direct migration background,Urban regions,Catholic,0.34479,752,2146,0.32468,0.36491
2003,Direct migration background,Urban regions,Protestant,0.17585,331,2146,0.15974,0.19196
2003,Direct migration background,Urban regions,Other Christian community,0.10073,222,2146,0.08800,0.11347
2003,Direct migration background,Urban regions,Other religious community,0.23682,572,2146,0.21883,0.25481
2003,Direct migration background,Urban regions,Non-denominational,0.14181,269,2146,0.12704,0.15657
2003,Direct migration background,Rural regions,Catholic,0.38945,171,453,0.34450,0.43441
2003,Direct migration background,Rural regions,Protestant,0.22086,90,453,0.18262,0.25910
2003,Direct migration background,Rural regions,Other Christian community,0.10262,58,453,0.07464,0.13059
2003,Direct migration background,Rural regions,Other religious community,0.07686,45,453,0.05230,0.10142
2003,Direct migration background,Rural regions,Non-denominational,0.21021,89,453,0.17264,0.24777
2003,Indirect migration background,Urban regions,Catholic,0.33666,240,668,0.30080,0.37253
2003,Indirect migration background,Urban regions,Protestant,0.22063,104,668,0.18916,0.25210
2003,Indirect migration background,Urban regions,Other Christian community,0.05736,63,668,0.03971,0.07500
2003,Indirect migration background,Urban regions,Other religious community,0.24680,171,668,0.21408,0.27952
2003,Indirect migration background,Urban regions,Non-denominational,0.13855,90,668,0.11233,0.16477
2003,Indirect migration background,Rural regions,Catholic,0.43349,41,41,0.27991,0.58706
2007,No migration background,Urban regions,Catholic,0.32318,3468,11052,0.31446,0.33190
2007,No migration background,Urban regions,Protestant,0.38413,4314,11052,0.37507,0.39320
2007,No migration background,Urban regions,Other Christian community,0.01370,146,11052,0.01153,0.01587
2007,No migration background,Urban regions,Non-denominational,0.27722,3124,11052,0.26888,0.28557
2007,No migration background,Rural regions,Catholic,0.25214,1500,6498,0.24158,0.26270
