"plh0258_h","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Katholisch","1990","(noch) kein Abschluss","maennlich","162","0.393877678615362","0.346524704533123","0.441230652697601"
"Katholisch","1990","(noch) kein Abschluss","weiblich","167","0.347849394696631","0.305504648591143","0.39019414080212"
"Katholisch","1990","Hauptschulabschluss","maennlich","1185","0.385921645911312","0.369475940790794","0.40236735103183"
"Katholisch","1990","Hauptschulabschluss","weiblich","1257","0.376563683782267","0.360900660080251","0.392226707484284"
"Katholisch","1990","Realschulabschluss","maennlich","290","0.256167764670548","0.23387589708857","0.278459632252526"
"Katholisch","1990","Realschulabschluss","weiblich","447","0.325296452242791","0.303124078573076","0.347468825912506"
"Katholisch","1990","(Fach-)Abitur","maennlich","153","0.317609823937382","0.277046253112467","0.358173394762296"
"Katholisch","1990","(Fach-)Abitur","weiblich","116","0.331951917245811","0.284289736552217","0.379614097939405"
"Katholisch","1990","AkademikerInnen","maennlich","178","0.254673114369112","0.226581477306562","0.282764751431662"
"Katholisch","1990","AkademikerInnen","weiblich","114","0.247241876499117","0.216730891945495","0.277752861052739"
"Evangelisch","1990","(noch) kein Abschluss","maennlich","56","0.300873848547331","0.256425417939573","0.345322279155088"
"Evangelisch","1990","(noch) kein Abschluss","weiblich","52","0.257709280959864","0.218824290094888","0.29659427182484"
"Evangelisch","1990","Hauptschulabschluss","maennlich","1054","0.401278958389119","0.384720248792515","0.417837667985723"
"Evangelisch","1990","Hauptschulabschluss","weiblich","1465","0.468828894983215","0.452697023783765","0.484960766182665"
"Evangelisch","1990","Realschulabschluss","maennlich","448","0.354362809733473","0.329936095295446","0.3787895241715"
"Evangelisch","1990","Realschulabschluss","weiblich","662","0.439977729899578","0.416484970819695","0.463470488979461"
"Evangelisch","1990","(Fach-)Abitur","maennlich","168","0.416210654597849","0.373261214002984","0.459160095192714"
"Evangelisch","1990","(Fach-)Abitur","weiblich","114","0.411284370708793","0.361481274523431","0.461087466894155"
"Evangelisch","1990","AkademikerInnen","maennlich","301","0.379919711896468","0.348624205605103","0.411215218187833"
"Evangelisch","1990","AkademikerInnen","weiblich","214","0.297227198587732","0.264903635511623","0.32955076166384"
"Andere christlische Religionsgemeinschaft","1990","(noch) kein Abschluss","maennlich","","","",""
"Andere christlische Religionsgemeinschaft","1990","(noch) kein Abschluss","weiblich","34","0.067931053493752","0.0455599116856802","0.0903021953018238"
"Andere christlische Religionsgemeinschaft","1990","Hauptschulabschluss","maennlich","84","0.0137966996317041","0.00985610405356625","0.0177372952098419"
"Andere christlische Religionsgemeinschaft","1990","Hauptschulabschluss","weiblich","80","0.0143544927220949","0.0105093307575899","0.0181996546865998"
"Andere christlische Religionsgemeinschaft","1990","Realschulabschluss","maennlich","","","",""
"Andere christlische Religionsgemeinschaft","1990","Realschulabschluss","weiblich","","","",""
"Andere christlische Religionsgemeinschaft","1990","(Fach-)Abitur","maennlich","","","",""
"Andere christlische Religionsgemeinschaft","1990","(Fach-)Abitur","weiblich","","","",""
"Andere christlische Religionsgemeinschaft","1990","AkademikerInnen","maennlich","","","",""
"Andere christlische Religionsgemeinschaft","1990","AkademikerInnen","weiblich","","","",""
"Islamische Religionsgemeinschaft","1990","(noch) kein Abschluss","maennlich","103","0.159690936841558","0.124189486536955","0.19519238714616"
"Islamische Religionsgemeinschaft","1990","(noch) kein Abschluss","weiblich","157","0.218053526921965","0.181342204692013","0.254764849151917"
"Islamische Religionsgemeinschaft","1990","Hauptschulabschluss","maennlich","258","0.0246740202857089","0.0194333614260415","0.0299146791453763"
"Islamische Religionsgemeinschaft","1990","Hauptschulabschluss","weiblich","174","0.0145627959396914","0.0106902444671878","0.0184353474121949"
"Islamische Religionsgemeinschaft","1990","Realschulabschluss","maennlich","","","",""
"Islamische Religionsgemeinschaft","1990","Realschulabschluss","weiblich","","","",""
"Islamische Religionsgemeinschaft","1990","(Fach-)Abitur","maennlich","54","0.0404057154662661","0.0232488455077575","0.0575625854247747"
"Islamische Religionsgemeinschaft","1990","(Fach-)Abitur","weiblich","","","",""
"Islamische Religionsgemeinschaft","1990","AkademikerInnen","maennlich","","","",""
"Islamische Religionsgemeinschaft","1990","AkademikerInnen","weiblich","","","",""
"Andere Religionsgemeinschaft","1990","(noch) kein Abschluss","maennlich","","","",""
"Andere Religionsgemeinschaft","1990","(noch) kein Abschluss","weiblich","","","",""
"Andere Religionsgemeinschaft","1990","Hauptschulabschluss","maennlich","","","",""
"Andere Religionsgemeinschaft","1990","Hauptschulabschluss","weiblich","","","",""
"Andere Religionsgemeinschaft","1990","Realschulabschluss","maennlich","","","",""
"Andere Religionsgemeinschaft","1990","Realschulabschluss","weiblich","","","",""
"Andere Religionsgemeinschaft","1990","(Fach-)Abitur","maennlich","","","",""
"Andere Religionsgemeinschaft","1990","(Fach-)Abitur","weiblich","","","",""
"Andere Religionsgemeinschaft","1990","AkademikerInnen","maennlich","","","",""
"Andere Religionsgemeinschaft","1990","AkademikerInnen","weiblich","","","",""
"Konfessionslos","1990","(noch) kein Abschluss","maennlich","","","",""
"Konfessionslos","1990","(noch) kein Abschluss","weiblich","","","",""
"Konfessionslos","1990","Hauptschulabschluss","maennlich","675","0.16629842404989","0.153719589257984","0.178877258841796"
"Konfessionslos","1990","Hauptschulabschluss","weiblich","614","0.120024293173408","0.109518465818369","0.130530120528446"
"Konfessionslos","1990","Realschulabschluss","maennlich","693","0.367738766409708","0.343114420560038","0.392363112259378"
"Konfessionslos","1990","Realschulabschluss","weiblich","553","0.212403554879139","0.193046076049817","0.231761033708461"
