year,bula_h,quintil_oecd,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,1st Quintile,Protestant,0.76949,47,47,0.64778,0.89120
1990,Schleswig-Holstein,2nd Quintile,Protestant,0.74244,38,38,0.60154,0.88335
1990,Schleswig-Holstein,3rd Quintile,Protestant,0.73139,36,36,0.58455,0.87824
1990,Schleswig-Holstein,4th Quintile,Protestant,0.66349,37,37,0.50913,0.81784
1990,Schleswig-Holstein,5th Quintile,Protestant,0.67284,32,32,0.50767,0.83800
1990,Lower Saxony,1st Quintile,Catholic,0.21049,52,164,0.14791,0.27307
1990,Lower Saxony,1st Quintile,Protestant,0.67254,112,164,0.60050,0.74459
1990,Lower Saxony,2nd Quintile,Catholic,0.14316,31,153,0.08748,0.19884
1990,Lower Saxony,2nd Quintile,Protestant,0.75246,122,153,0.68385,0.82108
1990,Lower Saxony,3rd Quintile,Catholic,0.14411,32,151,0.08790,0.20031
1990,Lower Saxony,3rd Quintile,Protestant,0.73734,119,151,0.66692,0.80777
1990,Lower Saxony,4th Quintile,Catholic,0.13198,35,208,0.08587,0.17809
1990,Lower Saxony,4th Quintile,Protestant,0.69612,142,208,0.63346,0.75877
1990,Lower Saxony,4th Quintile,Non-denominational,0.16224,31,208,0.11201,0.21246
1990,Lower Saxony,5th Quintile,Protestant,0.61933,116,159,0.54362,0.69504
1990,Lower Saxony,5th Quintile,Non-denominational,0.23972,43,159,0.17315,0.30628
1990,North Rhine-Westphalia,1st Quintile,Catholic,0.43083,229,517,0.38810,0.47356
1990,North Rhine-Westphalia,1st Quintile,Protestant,0.39642,154,517,0.35422,0.43863
1990,North Rhine-Westphalia,1st Quintile,Islamic community,0.09118,134,517,0.06634,0.11602
1990,North Rhine-Westphalia,2nd Quintile,Catholic,0.48339,246,487,0.43897,0.52782
1990,North Rhine-Westphalia,2nd Quintile,Protestant,0.39134,164,487,0.34795,0.43473
1990,North Rhine-Westphalia,2nd Quintile,Islamic community,0.04212,77,487,0.02426,0.05998
1990,North Rhine-Westphalia,3rd Quintile,Catholic,0.50373,216,448,0.45738,0.55008
1990,North Rhine-Westphalia,3rd Quintile,Protestant,0.35165,144,448,0.30738,0.39591
1990,North Rhine-Westphalia,3rd Quintile,Islamic community,0.02396,50,448,0.00978,0.03813
1990,North Rhine-Westphalia,3rd Quintile,Non-denominational,0.08154,38,448,0.05617,0.10691
1990,North Rhine-Westphalia,4th Quintile,Catholic,0.45201,193,362,0.40067,0.50335
1990,North Rhine-Westphalia,4th Quintile,Protestant,0.42606,169,362,0.37505,0.47707
1990,North Rhine-Westphalia,5th Quintile,Catholic,0.45843,219,459,0.41279,0.50406
1990,North Rhine-Westphalia,5th Quintile,Protestant,0.39029,177,459,0.34561,0.43497
1990,North Rhine-Westphalia,5th Quintile,Non-denominational,0.13015,63,459,0.09933,0.16097
