"plh0258_h","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Katholisch","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1506","0.428815237767297","0.412744274196961","0.444886201337632"
"Katholisch","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","70","0.0420854786511453","0.0325184422677885","0.0516525150345022"
"Katholisch","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1957","0.405687623936513","0.391764769424205","0.419610478448822"
"Katholisch","1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","144","0.0641338669756798","0.0541084611156912","0.0741592728356685"
"Katholisch","1990","66 und älter","Westdeutschland, alte Bundeslaender","438","0.407470704556109","0.377862752697155","0.437078656415063"
"Katholisch","1990","66 und älter","Ostdeutschland, neue Bundeslaender","36","0.0866830339985697","0.0603024025267867","0.113063665470353"
"Evangelisch","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1214","0.425983630113662","0.409926160849164","0.44204109937816"
"Evangelisch","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","340","0.197743803832592","0.178765565612831","0.216722042052352"
"Evangelisch","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1591","0.421129263489977","0.40712940885172","0.435129118128234"
"Evangelisch","1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","687","0.304965989133067","0.286126023045892","0.323805955220242"
"Evangelisch","1990","66 und älter","Westdeutschland, alte Bundeslaender","529","0.514102979943501","0.483986623016847","0.544219336870155"
"Evangelisch","1990","66 und älter","Ostdeutschland, neue Bundeslaender","223","0.514622678135579","0.467763833819339","0.561481522451819"
"Andere christlische Religionsgemeinschaft","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","100","0.0182200464815454","0.0138769415146469","0.0225631514484439"
"Andere christlische Religionsgemeinschaft","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Andere christlische Religionsgemeinschaft","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","197","0.0243867042026291","0.0200130904274603","0.0287603179777979"
"Andere christlische Religionsgemeinschaft","1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Andere christlische Religionsgemeinschaft","1990","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Andere christlische Religionsgemeinschaft","1990","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Islamische Religionsgemeinschaft","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","453","0.0383883351775387","0.0321492917889302","0.0446273785661472"
"Islamische Religionsgemeinschaft","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Islamische Religionsgemeinschaft","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","389","0.0276825554878374","0.0230306364606567","0.0323344745150181"
"Islamische Religionsgemeinschaft","1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Islamische Religionsgemeinschaft","1990","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Islamische Religionsgemeinschaft","1990","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Andere Religionsgemeinschaft","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Andere Religionsgemeinschaft","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Andere Religionsgemeinschaft","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Andere Religionsgemeinschaft","1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Andere Religionsgemeinschaft","1990","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Andere Religionsgemeinschaft","1990","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Konfessionslos","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","237","0.0802910946363531","0.0714668530267821","0.089115336245924"
"Konfessionslos","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","1269","0.753216342968102","0.73267324313051","0.773759442805693"
"Konfessionslos","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","427","0.110112916107209","0.101237032427958","0.118988799786459"
"Konfessionslos","1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1442","0.623470267029679","0.603643180775979","0.643297353283378"
"Konfessionslos","1990","66 und älter","Westdeutschland, alte Bundeslaender","71","0.0654394729502805","0.0505380112636307","0.0803409346369303"
"Konfessionslos","1990","66 und älter","Ostdeutschland, neue Bundeslaender","177","0.397595152209159","0.351710003678477","0.443480300739841"
"Christlich orthodox","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","118","0.00567717134026507","0.00323740513410401","0.00811693754642614"
"Christlich orthodox","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Christlich orthodox","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","194","0.00746740256044332","0.00502632156269313","0.0099084835581935"
"Christlich orthodox","1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Christlich orthodox","1990","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Christlich orthodox","1990","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Schiitische Rel.gemeinschaft","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Schiitische Rel.gemeinschaft","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Schiitische Rel.gemeinschaft","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Schiitische Rel.gemeinschaft","1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Schiitische Rel.gemeinschaft","1990","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Schiitische Rel.gemeinschaft","1990","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Sunnitische Rel.gemeinschaft","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Sunnitische Rel.gemeinschaft","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Sunnitische Rel.gemeinschaft","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
