year,bula_h,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Protestant,0.57728,190,232,0.51357,0.64098
1990,Schleswig-Holstein,Non-denominational,0.14082,42,232,0.09597,0.18568
1990,Hamburg,Protestant,0.46810,67,122,0.37919,0.55701
1990,Hamburg,Non-denominational,0.30297,55,122,0.22109,0.38486
1990,Lower Saxony,Catholic,0.12942,173,944,0.10799,0.15084
1990,Lower Saxony,Protestant,0.59175,611,944,0.56038,0.62312
1990,Lower Saxony,Islamic community,0.01445,54,944,0.00684,0.02207
1990,Lower Saxony,Non-denominational,0.10585,106,944,0.08621,0.12549
1990,Bremen,Protestant,0.58587,63,63,0.46326,0.70848
1990,North Rhine-Westphalia,Catholic,0.38026,1104,2532,0.36135,0.39917
1990,North Rhine-Westphalia,Protestant,0.31925,809,2532,0.30109,0.33741
1990,North Rhine-Westphalia,Other Christian community,0.01734,93,2532,0.01226,0.02243
1990,North Rhine-Westphalia,Islamic community,0.02706,273,2532,0.02074,0.03338
1990,North Rhine-Westphalia,Non-denominational,0.06459,173,2532,0.05502,0.07417
1990,North Rhine-Westphalia,Christian orthodox,0.00597,80,2532,0.00297,0.00897
1990,Hesse,Catholic,0.24349,305,954,0.21624,0.27074
1990,Hesse,Protestant,0.47029,412,954,0.43860,0.50198
1990,Hesse,Islamic community,0.02782,120,954,0.01738,0.03826
1990,Hesse,Non-denominational,0.07556,83,954,0.05878,0.09234
1990,Hesse,Christian orthodox,0.00452,34,954,0.00026,0.00878
1990,"Rhineland-Palatinate, Saarland",Catholic,0.47855,383,601,0.43858,0.51852
1990,"Rhineland-Palatinate, Saarland",Protestant,0.31442,218,601,0.27727,0.35157
1990,Baden-Wuerttemberg,Catholic,0.37964,829,1783,0.35711,0.40217
1990,Baden-Wuerttemberg,Protestant,0.33134,513,1783,0.30949,0.35320
1990,Baden-Wuerttemberg,Other Christian community,0.02772,97,1783,0.02009,0.03534
1990,Baden-Wuerttemberg,Islamic community,0.02379,193,1783,0.01671,0.03086
1990,Baden-Wuerttemberg,Non-denominational,0.04185,62,1783,0.03255,0.05115
1990,Baden-Wuerttemberg,Christian orthodox,0.00663,89,1783,0.00286,0.01040
1990,Bavaria,Catholic,0.53727,966,1579,0.51267,0.56188
1990,Bavaria,Protestant,0.20754,317,1579,0.18753,0.22755
