year,migback,pgisced97,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,Pre-primary Level,Catholic,0.42056,47,106,0.32613,0.51498
1990,No migration background,Pre-primary Level,Protestant,0.46572,59,106,0.37031,0.56114
1990,No migration background,Primary Level,Protestant,0.56576,42,42,0.41404,0.71748
1990,No migration background,Lower Secondary Level,Catholic,0.37579,682,1962,0.35435,0.39723
1990,No migration background,Lower Secondary Level,Protestant,0.49002,926,1962,0.46789,0.51214
1990,No migration background,Lower Secondary Level,Non-denominational,0.11796,354,1962,0.10368,0.13224
1990,No migration background,Upper Secondary Level,Catholic,0.32987,1645,6052,0.31802,0.34171
1990,No migration background,Upper Secondary Level,Protestant,0.43768,2426,6052,0.42518,0.45018
1990,No migration background,Upper Secondary Level,Other Christian community,0.01039,47,6052,0.00784,0.01295
1990,No migration background,Upper Secondary Level,Non-denominational,0.21656,1934,6052,0.20618,0.22693
1990,No migration background,Post-secondary Non-tertiary Level,Catholic,0.27544,70,264,0.22145,0.32943
1990,No migration background,Post-secondary Non-tertiary Level,Protestant,0.44567,102,264,0.38560,0.50574
1990,No migration background,Post-secondary Non-tertiary Level,Non-denominational,0.26509,92,264,0.21175,0.31844
1990,No migration background,First Stage of Tertiary Education,Catholic,0.35538,219,689,0.31962,0.39115
1990,No migration background,First Stage of Tertiary Education,Protestant,0.41987,273,689,0.38299,0.45675
1990,No migration background,First Stage of Tertiary Education,Non-denominational,0.20325,197,689,0.17318,0.23332
1990,No migration background,Second Stage of Tertiary Education,Catholic,0.24725,258,1542,0.22571,0.26879
1990,No migration background,Second Stage of Tertiary Education,Protestant,0.36160,498,1542,0.33761,0.38559
1990,No migration background,Second Stage of Tertiary Education,Non-denominational,0.37893,786,1542,0.35470,0.40315
1990,Direct migration background,Primary Level,Catholic,0.34673,206,529,0.30613,0.38733
1990,Direct migration background,Primary Level,Other Christian community,0.10343,42,529,0.07745,0.12940
1990,Direct migration background,Primary Level,Islamic community,0.40731,207,529,0.36540,0.44922
1990,Direct migration background,Primary Level,Christian orthodox,0.09093,74,529,0.06640,0.11545
1990,Direct migration background,Lower Secondary Level,Catholic,0.43433,320,858,0.40115,0.46752
1990,Direct migration background,Lower Secondary Level,Protestant,0.13712,42,858,0.11409,0.16015
1990,Direct migration background,Lower Secondary Level,Other Christian community,0.06530,61,858,0.04876,0.08184
1990,Direct migration background,Lower Secondary Level,Islamic community,0.23939,298,858,0.21082,0.26796
1990,Direct migration background,Lower Secondary Level,Non-denominational,0.05700,35,858,0.04148,0.07253
1990,Direct migration background,Lower Secondary Level,Christian orthodox,0.05341,102,858,0.03835,0.06846
1990,Direct migration background,Upper Secondary Level,Catholic,0.44408,359,861,0.41087,0.47729
1990,Direct migration background,Upper Secondary Level,Protestant,0.23428,96,861,0.20597,0.26258
1990,Direct migration background,Upper Secondary Level,Other Christian community,0.06026,77,861,0.04435,0.07616
1990,Direct migration background,Upper Secondary Level,Islamic community,0.11715,184,861,0.09566,0.13865
1990,Direct migration background,Upper Secondary Level,Non-denominational,0.10801,75,861,0.08726,0.12875
1990,Direct migration background,Upper Secondary Level,Christian orthodox,0.02475,70,861,0.01436,0.03513
1990,Direct migration background,Post-secondary Non-tertiary Level,Catholic,0.33120,32,70,0.22015,0.44225
1990,Direct migration background,Post-secondary Non-tertiary Level,Islamic community,0.31963,38,70,0.20959,0.42966
1990,Direct migration background,Second Stage of Tertiary Education,Catholic,0.28838,33,75,0.18516,0.39159
1990,Direct migration background,Second Stage of Tertiary Education,Non-denominational,0.33154,42,75,0.22428,0.43880
1990,Indirect migration background,Lower Secondary Level,Catholic,0.42045,60,60,0.29449,0.54641
1990,Indirect migration background,Upper Secondary Level,Catholic,0.44465,46,46,0.29946,0.58984
1997,No migration background,Pre-primary Level,Catholic,0.33128,54,218,0.26865,0.39390
1997,No migration background,Pre-primary Level,Protestant,0.38434,74,218,0.31961,0.44906
1997,No migration background,Pre-primary Level,Non-denominational,0.25779,90,218,0.19959,0.31599
1997,No migration background,Lower Secondary Level,Catholic,0.38755,509,1417,0.36217,0.41292
1997,No migration background,Lower Secondary Level,Protestant,0.44772,591,1417,0.42181,0.47362
1997,No migration background,Lower Secondary Level,Non-denominational,0.14857,317,1417,0.13005,0.16710
1997,No migration background,Upper Secondary Level,Catholic,0.30485,1426,5352,0.29252,0.31719
1997,No migration background,Upper Secondary Level,Protestant,0.39248,1943,5352,0.37940,0.40556
1997,No migration background,Upper Secondary Level,Other Christian community,0.00977,49,5352,0.00713,0.01241
1997,No migration background,Upper Secondary Level,Non-denominational,0.28373,1934,5352,0.27165,0.29581
1997,No migration background,Post-secondary Non-tertiary Level,Catholic,0.32298,94,302,0.27016,0.37581
1997,No migration background,Post-secondary Non-tertiary Level,Protestant,0.42276,115,302,0.36695,0.47857
1997,No migration background,Post-secondary Non-tertiary Level,Non-denominational,0.23137,93,302,0.18373,0.27901
1997,No migration background,First Stage of Tertiary Education,Catholic,0.31636,205,671,0.28115,0.35158
1997,No migration background,First Stage of Tertiary Education,Protestant,0.36562,241,671,0.32916,0.40209
1997,No migration background,First Stage of Tertiary Education,Non-denominational,0.29203,225,671,0.25760,0.32646
1997,No migration background,Second Stage of Tertiary Education,Catholic,0.24759,294,1552,0.22610,0.26907
1997,No migration background,Second Stage of Tertiary Education,Protestant,0.33413,491,1552,0.31065,0.35760
1997,No migration background,Second Stage of Tertiary Education,Non-denominational,0.40399,767,1552,0.37957,0.42842
1997,Direct migration background,Primary Level,Catholic,0.38173,142,352,0.33090,0.43255
1997,Direct migration background,Primary Level,Other Christian community,0.10245,48,352,0.07073,0.13418
1997,Direct migration background,Primary Level,Other religious community,0.38109,162,352,0.33028,0.43189
1997,Direct migration background,Lower Secondary Level,Catholic,0.41228,243,680,0.37526,0.44931
1997,Direct migration background,Lower Secondary Level,Protestant,0.17052,69,680,0.14223,0.19881
1997,Direct migration background,Lower Secondary Level,Other Christian community,0.09904,95,680,0.07657,0.12151
1997,Direct migration background,Lower Secondary Level,Other religious community,0.22592,222,680,0.19446,0.25737
1997,Direct migration background,Lower Secondary Level,Non-denominational,0.07760,51,680,0.05747,0.09772
1997,Direct migration background,Upper Secondary Level,Catholic,0.46197,387,881,0.42903,0.49491
1997,Direct migration background,Upper Secondary Level,Protestant,0.18537,111,881,0.15969,0.21104
1997,Direct migration background,Upper Secondary Level,Other Christian community,0.06255,86,881,0.04655,0.07855
1997,Direct migration background,Upper Secondary Level,Other religious community,0.13246,195,881,0.11007,0.15486
1997,Direct migration background,Upper Secondary Level,Non-denominational,0.13842,102,881,0.11560,0.16123
1997,Direct migration background,Post-secondary Non-tertiary Level,Catholic,0.47114,53,84,0.36375,0.57853
1997,Direct migration background,Post-secondary Non-tertiary Level,Other religious community,0.20564,31,84,0.11869,0.29260
1997,Direct migration background,Second Stage of Tertiary Education,Catholic,0.29239,50,144,0.21783,0.36694
1997,Direct migration background,Second Stage of Tertiary Education,Protestant,0.19014,35,144,0.12582,0.25446
1997,Direct migration background,Second Stage of Tertiary Education,Non-denominational,0.38201,59,144,0.30237,0.46164
1997,Indirect migration background,Lower Secondary Level,Catholic,0.39211,72,130,0.30786,0.47636
1997,Indirect migration background,Lower Secondary Level,Other religious community,0.24101,58,130,0.16720,0.31482
1997,Indirect migration background,Upper Secondary Level,Catholic,0.34990,73,161,0.27600,0.42380
1997,Indirect migration background,Upper Secondary Level,Other Christian community,0.11520,45,161,0.06573,0.16467
1997,Indirect migration background,Upper Secondary Level,Other religious community,0.16800,43,161,0.11007,0.22593
2003,No migration background,Pre-primary Level,Catholic,0.31446,144,488,0.27322,0.35570
2003,No migration background,Pre-primary Level,Protestant,0.36795,187,488,0.32512,0.41078
2003,No migration background,Pre-primary Level,Non-denominational,0.29694,157,488,0.25636,0.33752
2003,No migration background,Primary Level,Catholic,0.39144,34,68,0.27457,0.50831
2003,No migration background,Primary Level,Protestant,0.40738,34,68,0.28972,0.52503
2003,No migration background,Lower Secondary Level,Catholic,0.35847,630,1848,0.33660,0.38034
2003,No migration background,Lower Secondary Level,Protestant,0.43295,792,1848,0.41036,0.45555
2003,No migration background,Lower Secondary Level,Non-denominational,0.18815,426,1848,0.17033,0.20598
2003,No migration background,Upper Secondary Level,Catholic,0.31220,2894,9735,0.30300,0.32141
2003,No migration background,Upper Secondary Level,Protestant,0.37678,3561,9735,0.36715,0.38641
2003,No migration background,Upper Secondary Level,Other Christian community,0.00752,74,9735,0.00580,0.00923
2003,No migration background,Upper Secondary Level,Other religious community,0.00365,37,9735,0.00245,0.00484
2003,No migration background,Upper Secondary Level,Non-denominational,0.29280,3169,9735,0.28376,0.30184
2003,No migration background,Post-secondary Non-tertiary Level,Catholic,0.30408,248,871,0.27351,0.33465
2003,No migration background,Post-secondary Non-tertiary Level,Protestant,0.40745,359,871,0.37480,0.44010
2003,No migration background,Post-secondary Non-tertiary Level,Non-denominational,0.27100,264,871,0.24146,0.30053
2003,No migration background,First Stage of Tertiary Education,Catholic,0.31443,462,1478,0.29075,0.33811
2003,No migration background,First Stage of Tertiary Education,Protestant,0.35298,523,1478,0.32861,0.37736
2003,No migration background,First Stage of Tertiary Education,Non-denominational,0.31034,493,1478,0.28675,0.33394
2003,No migration background,Second Stage of Tertiary Education,Catholic,0.24180,926,3874,0.22832,0.25529
2003,No migration background,Second Stage of Tertiary Education,Protestant,0.34251,1309,3874,0.32757,0.35746
2003,No migration background,Second Stage of Tertiary Education,Non-denominational,0.40010,1639,3874,0.38467,0.41553
2003,Direct migration background,Primary Level,Catholic,0.26606,45,133,0.19068,0.34145
2003,Direct migration background,Primary Level,Other religious community,0.51993,88,133,0.43470,0.60516
2003,Direct migration background,Lower Secondary Level,Catholic,0.37705,238,657,0.33997,0.41414
2003,Direct migration background,Lower Secondary Level,Protestant,0.17206,83,657,0.14318,0.20095
2003,Direct migration background,Lower Secondary Level,Other Christian community,0.08478,81,657,0.06346,0.10609
2003,Direct migration background,Lower Secondary Level,Other religious community,0.26587,206,657,0.23206,0.29967
2003,Direct migration background,Lower Secondary Level,Non-denominational,0.09589,49,657,0.07335,0.11842
2003,Direct migration background,Upper Secondary Level,Catholic,0.37543,373,960,0.34478,0.40607
2003,Direct migration background,Upper Secondary Level,Protestant,0.19360,164,960,0.16859,0.21861
2003,Direct migration background,Upper Secondary Level,Other Christian community,0.09457,101,960,0.07605,0.11309
2003,Direct migration background,Upper Secondary Level,Other religious community,0.18154,200,960,0.15714,0.20593
2003,Direct migration background,Upper Secondary Level,Non-denominational,0.14803,122,960,0.12555,0.17050
2003,Direct migration background,Post-secondary Non-tertiary Level,Catholic,0.38717,92,177,0.31521,0.45914
2003,Direct migration background,Post-secondary Non-tertiary Level,Protestant,0.23399,50,177,0.17145,0.29654
