year,bula_h,regtyp,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Urban regions,Protestant,0.66064,82,82,0.55752,0.76375
1990,Schleswig-Holstein,Rural regions,Protestant,0.75983,108,108,0.67889,0.84077
1990,Hamburg,Urban regions,Protestant,0.52458,67,122,0.43559,0.61356
1990,Hamburg,Urban regions,Non-denominational,0.33953,55,122,0.25515,0.42390
1990,Lower Saxony,Urban regions,Catholic,0.15295,92,470,0.12037,0.18553
1990,Lower Saxony,Urban regions,Protestant,0.65141,266,470,0.60829,0.69454
1990,Lower Saxony,Urban regions,Islamic community,0.02969,47,470,0.01433,0.04505
1990,Lower Saxony,Urban regions,Non-denominational,0.15751,65,470,0.12454,0.19047
1990,Lower Saxony,Rural regions,Catholic,0.15069,81,467,0.11821,0.18317
1990,Lower Saxony,Rural regions,Protestant,0.73120,345,467,0.69095,0.77146
1990,Lower Saxony,Rural regions,Non-denominational,0.09474,41,467,0.06815,0.12133
1990,Bremen,Urban regions,Protestant,0.69212,63,63,0.57721,0.80703
1990,North Rhine-Westphalia,Urban regions,Catholic,0.45766,1052,2461,0.43797,0.47734
1990,North Rhine-Westphalia,Urban regions,Protestant,0.39436,792,2461,0.37505,0.41367
1990,North Rhine-Westphalia,Urban regions,Other Christian community,0.02189,93,2461,0.01611,0.02767
1990,North Rhine-Westphalia,Urban regions,Islamic community,0.03389,271,2461,0.02674,0.04104
1990,North Rhine-Westphalia,Urban regions,Non-denominational,0.08153,173,2461,0.07072,0.09235
1990,North Rhine-Westphalia,Urban regions,Christian orthodox,0.00754,80,2461,0.00412,0.01095
1990,North Rhine-Westphalia,Rural regions,Catholic,0.71571,52,52,0.59191,0.83951
1990,Hesse,Urban regions,Catholic,0.28372,266,826,0.25295,0.31448
1990,Hesse,Urban regions,Protestant,0.55224,343,826,0.51830,0.58617
1990,Hesse,Urban regions,Islamic community,0.03710,107,826,0.02421,0.05000
1990,Hesse,Urban regions,Non-denominational,0.09988,76,826,0.07942,0.12034
1990,Hesse,Urban regions,Christian orthodox,0.00642,34,826,0.00097,0.01187
1990,Hesse,Rural regions,Catholic,0.31670,39,108,0.22856,0.40485
1990,Hesse,Rural regions,Protestant,0.59002,69,108,0.49682,0.68321
