year,age_gr,migback,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No migration background,Catholic,0.33336,798,2844,0.31603,0.35069
1990,17-29 y.,No migration background,Protestant,0.41978,1081,2844,0.40164,0.43793
1990,17-29 y.,No migration background,Non-denominational,0.22816,965,2844,0.21274,0.24359
1990,17-29 y.,Direct migration background,Catholic,0.37226,214,666,0.33552,0.40900
1990,17-29 y.,Direct migration background,Other Christian community,0.05543,41,666,0.03804,0.07283
1990,17-29 y.,Direct migration background,Islamic community,0.35249,334,666,0.31618,0.38880
1990,17-29 y.,Direct migration background,Non-denominational,0.06712,31,666,0.04810,0.08614
1990,17-29 y.,Direct migration background,Christian orthodox,0.02678,46,666,0.01451,0.03905
1990,17-29 y.,Indirect migration background,Catholic,0.36921,118,225,0.30601,0.43241
1990,17-29 y.,Indirect migration background,Islamic community,0.23912,58,225,0.18326,0.29498
1990,17-29 y.,Indirect migration background,Christian orthodox,0.11175,49,225,0.07049,0.15301
1990,30-45 y.,No migration background,Catholic,0.34918,913,3345,0.33302,0.36533
1990,30-45 y.,No migration background,Protestant,0.37441,1157,3345,0.35801,0.39082
1990,30-45 y.,No migration background,Non-denominational,0.25861,1275,3345,0.24376,0.27345
1990,30-45 y.,Direct migration background,Catholic,0.42016,367,858,0.38712,0.45321
1990,30-45 y.,Direct migration background,Protestant,0.09237,39,858,0.07298,0.11175
1990,30-45 y.,Direct migration background,Other Christian community,0.08660,95,858,0.06777,0.10544
1990,30-45 y.,Direct migration background,Islamic community,0.21575,213,858,0.18821,0.24329
1990,30-45 y.,Direct migration background,Non-denominational,0.11220,61,858,0.09107,0.13333
1990,30-45 y.,Direct migration background,Christian orthodox,0.04677,83,858,0.03263,0.06091
1990,46-65 y.,No migration background,Catholic,0.31984,857,3214,0.30371,0.33596
1990,46-65 y.,No migration background,Protestant,0.46023,1420,3214,0.44299,0.47746
1990,46-65 y.,No migration background,Non-denominational,0.20411,937,3214,0.19018,0.21805
1990,46-65 y.,Direct migration background,Catholic,0.40080,375,973,0.36999,0.43160
1990,46-65 y.,Direct migration background,Protestant,0.19972,79,973,0.17458,0.22485
1990,46-65 y.,Direct migration background,Other Christian community,0.05971,69,973,0.04482,0.07461
1990,46-65 y.,Direct migration background,Islamic community,0.14321,234,973,0.12119,0.16523
1990,46-65 y.,Direct migration background,Non-denominational,0.12177,82,973,0.10121,0.14233
1990,46-65 y.,Direct migration background,Christian orthodox,0.04988,134,973,0.03619,0.06356
1990,66 and older,No migration background,Catholic,0.32937,407,1339,0.30419,0.35455
1990,66 and older,No migration background,Protestant,0.52733,701,1339,0.50058,0.55408
1990,66 and older,No migration background,Non-denominational,0.13019,231,1339,0.11216,0.14822
1990,66 and older,Direct migration background,Catholic,0.50450,51,82,0.39561,0.61338
1990,66 and older,Direct migration background,Protestant,0.35343,31,82,0.24932,0.45753
1997,17-29 y.,No migration background,Catholic,0.32360,560,2044,0.30332,0.34389
1997,17-29 y.,No migration background,Protestant,0.36869,716,2044,0.34777,0.38961
1997,17-29 y.,No migration background,Non-denominational,0.29013,768,2044,0.27045,0.30981
1997,17-29 y.,Direct migration background,Catholic,0.37823,160,440,0.33287,0.42360
1997,17-29 y.,Direct migration background,Protestant,0.12793,49,440,0.09668,0.15917
1997,17-29 y.,Direct migration background,Other religious community,0.28356,188,440,0.24139,0.32572
1997,17-29 y.,Direct migration background,Non-denominational,0.12799,43,440,0.09674,0.15924
1997,17-29 y.,Indirect migration background,Catholic,0.34997,161,440,0.30535,0.39459
1997,17-29 y.,Indirect migration background,Other Christian community,0.08315,71,440,0.05732,0.10898
1997,17-29 y.,Indirect migration background,Other religious community,0.29932,159,440,0.25648,0.34216
1997,17-29 y.,Indirect migration background,Non-denominational,0.14862,49,440,0.11535,0.18190
1997,30-45 y.,No migration background,Catholic,0.30663,936,3457,0.29126,0.32200
1997,30-45 y.,No migration background,Protestant,0.34617,1104,3457,0.33031,0.36203
1997,30-45 y.,No migration background,Other Christian community,0.01379,41,3457,0.00990,0.01768
1997,30-45 y.,No migration background,Non-denominational,0.32831,1376,3457,0.31265,0.34397
1997,30-45 y.,Direct migration background,Catholic,0.43270,324,805,0.39846,0.46695
1997,30-45 y.,Direct migration background,Protestant,0.09302,62,805,0.07294,0.11310
1997,30-45 y.,Direct migration background,Other Christian community,0.09157,91,805,0.07163,0.11151
1997,30-45 y.,Direct migration background,Other religious community,0.21664,245,805,0.18817,0.24512
1997,30-45 y.,Direct migration background,Non-denominational,0.14661,83,805,0.12216,0.17106
1997,46-65 y.,No migration background,Catholic,0.30341,744,2883,0.28663,0.32020
1997,46-65 y.,No migration background,Protestant,0.38936,1050,2883,0.37155,0.40716
1997,46-65 y.,No migration background,Other Christian community,0.01267,32,2883,0.00859,0.01675
1997,46-65 y.,No migration background,Non-denominational,0.28913,1057,2883,0.27257,0.30568
1997,46-65 y.,Direct migration background,Catholic,0.39011,344,917,0.35852,0.42170
1997,46-65 y.,Direct migration background,Protestant,0.15675,86,917,0.13321,0.18030
1997,46-65 y.,Direct migration background,Other Christian community,0.08898,132,917,0.07054,0.10742
1997,46-65 y.,Direct migration background,Other religious community,0.15572,227,917,0.13224,0.17920
1997,46-65 y.,Direct migration background,Non-denominational,0.18409,128,917,0.15899,0.20919
1997,66 and older,No migration background,Catholic,0.32948,391,1321,0.30412,0.35483
1997,66 and older,No migration background,Protestant,0.49184,653,1321,0.46487,0.51881
1997,66 and older,No migration background,Non-denominational,0.15817,277,1321,0.13848,0.17785
1997,66 and older,Direct migration background,Catholic,0.46230,112,168,0.38668,0.53792
1997,66 and older,Direct migration background,Protestant,0.31494,56,168,0.24449,0.38539
2003,17-29 y.,No migration background,Catholic,0.30531,871,3070,0.28902,0.32161
