year,regtyp,sex,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No answer / don't know,male,Non-denominational,0.86811,32,32,0.74900,0.98723
1990,No answer / don't know,female,Non-denominational,0.77741,38,38,0.64337,0.91145
1990,Urban regions,male,Catholic,0.36031,1483,4346,0.34604,0.37459
1990,Urban regions,male,Protestant,0.38791,1291,4346,0.37342,0.40240
1990,Urban regions,male,Other Christian community,0.01760,126,4346,0.01369,0.02151
1990,Urban regions,male,Islamic community,0.03131,412,4346,0.02613,0.03649
1990,Urban regions,male,Non-denominational,0.19333,901,4346,0.18158,0.20507
1990,Urban regions,male,Christian orthodox,0.00633,133,4346,0.00397,0.00869
1990,Urban regions,female,Catholic,0.37290,1571,4536,0.35883,0.38698
1990,Urban regions,female,Protestant,0.44125,1597,4536,0.42680,0.45570
1990,Urban regions,female,Other Christian community,0.02134,140,4536,0.01714,0.02555
1990,Urban regions,female,Islamic community,0.02418,358,4536,0.01971,0.02865
1990,Urban regions,female,Non-denominational,0.13236,743,4536,0.12250,0.14222
1990,Urban regions,female,Christian orthodox,0.00464,127,4536,0.00266,0.00662
1990,Rural regions,male,Catholic,0.28238,505,2276,0.26389,0.30088
1990,Rural regions,male,Protestant,0.38664,747,2276,0.36663,0.40665
1990,Rural regions,male,Islamic community,0.00682,39,2276,0.00344,0.01021
1990,Rural regions,male,Non-denominational,0.31158,985,2276,0.29255,0.33061
1990,Rural regions,female,Catholic,0.30152,560,2407,0.28318,0.31986
1990,Rural regions,female,Protestant,0.42609,903,2407,0.40633,0.44585
1990,Rural regions,female,Islamic community,0.00485,35,2407,0.00208,0.00763
1990,Rural regions,female,Non-denominational,0.24887,909,2407,0.23159,0.26614
1997,Urban regions,male,Catholic,0.34776,1338,4023,0.33304,0.36248
1997,Urban regions,male,Protestant,0.32440,1069,4023,0.30993,0.33886
1997,Urban regions,male,Other Christian community,0.02233,180,4023,0.01776,0.02689
1997,Urban regions,male,Other religious community,0.04858,413,4023,0.04194,0.05523
1997,Urban regions,male,Non-denominational,0.25474,1023,4023,0.24127,0.26820
1997,Urban regions,female,Catholic,0.36629,1460,4302,0.35189,0.38069
1997,Urban regions,female,Protestant,0.38458,1397,4302,0.37004,0.39912
1997,Urban regions,female,Other Christian community,0.02614,183,4302,0.02137,0.03090
1997,Urban regions,female,Other religious community,0.04136,387,4302,0.03541,0.04731
1997,Urban regions,female,Non-denominational,0.17954,875,4302,0.16807,0.19101
1997,Rural regions,male,Catholic,0.26585,469,2137,0.24711,0.28458
1997,Rural regions,male,Protestant,0.32978,601,2137,0.30985,0.34972
1997,Rural regions,male,Other Christian community,0.01395,45,2137,0.00898,0.01892
1997,Rural regions,male,Other religious community,0.01063,37,2137,0.00628,0.01498
1997,Rural regions,male,Non-denominational,0.37521,985,2137,0.35467,0.39574
1997,Rural regions,female,Catholic,0.26845,505,2247,0.25012,0.28678
1997,Rural regions,female,Protestant,0.38723,755,2247,0.36709,0.40738
1997,Rural regions,female,Other Christian community,0.01900,52,2247,0.01336,0.02465
1997,Rural regions,female,Non-denominational,0.31756,935,2247,0.29831,0.33682
2003,Urban regions,male,Catholic,0.32207,2241,7038,0.31115,0.33299
2003,Urban regions,male,Protestant,0.31895,2196,7038,0.30806,0.32984
2003,Urban regions,male,Other Christian community,0.02515,185,7038,0.02149,0.02881
2003,Urban regions,male,Other religious community,0.05747,413,7038,0.05203,0.06291
2003,Urban regions,male,Non-denominational,0.27636,2003,7038,0.26591,0.28681
2003,Urban regions,female,Catholic,0.35188,2557,7618,0.34115,0.36260
2003,Urban regions,female,Protestant,0.38300,2803,7618,0.37208,0.39392
2003,Urban regions,female,Other Christian community,0.02587,212,7618,0.02230,0.02943
2003,Urban regions,female,Other religious community,0.04292,386,7618,0.03837,0.04747
2003,Urban regions,female,Non-denominational,0.19634,1660,7618,0.18742,0.20526
2003,Rural regions,male,Catholic,0.25670,843,3571,0.24237,0.27103
2003,Rural regions,male,Protestant,0.32807,1076,3571,0.31266,0.34347
2003,Rural regions,male,Other Christian community,0.01171,48,3571,0.00818,0.01524
2003,Rural regions,male,Other religious community,0.00923,31,3571,0.00609,0.01236
2003,Rural regions,male,Non-denominational,0.39429,1573,3571,0.37826,0.41033
2003,Rural regions,female,Catholic,0.27665,941,3798,0.26242,0.29088
2003,Rural regions,female,Protestant,0.36129,1294,3798,0.34601,0.37657
2003,Rural regions,female,Other Christian community,0.01498,60,3798,0.01112,0.01885
2003,Rural regions,female,Other religious community,0.00954,33,3798,0.00645,0.01263
2003,Rural regions,female,Non-denominational,0.33753,1470,3798,0.32249,0.35258
2007,Urban regions,male,Catholic,0.31710,1975,6350,0.30566,0.32855
2007,Urban regions,male,Protestant,0.31662,2108,6350,0.30518,0.32806
2007,Urban regions,male,Other Christian community,0.02899,179,6350,0.02486,0.03312
2007,Urban regions,male,Islamic community,0.05512,292,6350,0.04950,0.06073
2007,Urban regions,male,Non-denominational,0.27800,1796,6350,0.26698,0.28902
2007,Urban regions,female,Catholic,0.33601,2302,7064,0.32500,0.34703
2007,Urban regions,female,Protestant,0.36484,2634,7064,0.35362,0.37607
2007,Urban regions,female,Other Christian community,0.03362,230,7064,0.02942,0.03783
2007,Urban regions,female,Islamic community,0.04202,274,7064,0.03734,0.04670
2007,Urban regions,female,Non-denominational,0.21970,1624,7064,0.21005,0.22936
2007,Rural regions,male,Catholic,0.24553,773,3347,0.23094,0.26011
