year,quintil_oecd,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,Catholic,0.38491,689,1880,0.36291,0.40691
1990,1st Quintile,Protestant,0.46128,574,1880,0.43874,0.48382
1990,1st Quintile,Other Christian community,0.02776,80,1880,0.02033,0.03519
1990,1st Quintile,Islamic community,0.06701,395,1880,0.05570,0.07831
1990,1st Quintile,Non-denominational,0.04500,66,1880,0.03562,0.05437
1990,1st Quintile,Christian orthodox,0.00712,76,1880,0.00332,0.01092
1990,2nd Quintile,Catholic,0.43776,796,1878,0.41532,0.46021
1990,2nd Quintile,Protestant,0.43378,630,1878,0.41135,0.45620
1990,2nd Quintile,Other Christian community,0.02381,75,1878,0.01692,0.03071
1990,2nd Quintile,Islamic community,0.03557,227,1878,0.02719,0.04395
1990,2nd Quintile,Non-denominational,0.06323,96,1878,0.05222,0.07424
1990,2nd Quintile,Christian orthodox,0.00513,54,1878,0.00190,0.00836
1990,3rd Quintile,Catholic,0.42570,812,1877,0.40333,0.44808
1990,3rd Quintile,Protestant,0.43579,645,1877,0.41335,0.45823
1990,3rd Quintile,Other Christian community,0.01669,59,1877,0.01089,0.02248
1990,3rd Quintile,Islamic community,0.02262,146,1877,0.01589,0.02935
1990,3rd Quintile,Non-denominational,0.09038,140,1877,0.07740,0.10335
1990,3rd Quintile,Christian orthodox,0.00662,75,1877,0.00295,0.01030
1990,4th Quintile,Catholic,0.42115,843,1934,0.39914,0.44316
1990,4th Quintile,Protestant,0.43498,724,1934,0.41288,0.45708
1990,4th Quintile,Other Christian community,0.01999,51,1934,0.01375,0.02623
1990,4th Quintile,Islamic community,0.00938,64,1934,0.00508,0.01367
1990,4th Quintile,Non-denominational,0.10620,179,1934,0.09247,0.11994
1990,4th Quintile,Christian orthodox,0.00596,73,1934,0.00253,0.00939
1990,5th Quintile,Catholic,0.39086,731,1801,0.36832,0.41340
1990,5th Quintile,Protestant,0.43574,741,1801,0.41283,0.45865
1990,5th Quintile,Other Christian community,0.01348,40,1801,0.00815,0.01881
1990,5th Quintile,Non-denominational,0.15230,252,1801,0.13570,0.16890
1990,5th Quintile,Christian orthodox,0.00417,37,1801,0.00119,0.00715
1997,1st Quintile,Catholic,0.29352,596,2357,0.27513,0.31191
1997,1st Quintile,Protestant,0.34995,594,2357,0.33069,0.36921
1997,1st Quintile,Other Christian community,0.03116,107,2357,0.02414,0.03817
1997,1st Quintile,Other religious community,0.09193,420,2357,0.08027,0.10360
1997,1st Quintile,Non-denominational,0.22984,640,2357,0.21285,0.24683
1997,2nd Quintile,Catholic,0.32214,745,2718,0.30457,0.33971
1997,2nd Quintile,Protestant,0.32902,714,2718,0.31135,0.34669
1997,2nd Quintile,Other Christian community,0.01857,103,2718,0.01349,0.02365
1997,2nd Quintile,Other religious community,0.04582,252,2718,0.03795,0.05368
1997,2nd Quintile,Non-denominational,0.28135,904,2718,0.26444,0.29826
1997,3rd Quintile,Catholic,0.33643,813,2613,0.31831,0.35455
1997,3rd Quintile,Protestant,0.37655,811,2613,0.35796,0.39513
1997,3rd Quintile,Other Christian community,0.01641,81,2613,0.01154,0.02128
1997,3rd Quintile,Other religious community,0.02581,111,2613,0.01973,0.03189
1997,3rd Quintile,Non-denominational,0.24148,797,2613,0.22506,0.25789
1997,4th Quintile,Catholic,0.34648,827,2650,0.32836,0.36460
1997,4th Quintile,Protestant,0.37144,901,2650,0.35304,0.38984
1997,4th Quintile,Other Christian community,0.02208,94,2650,0.01649,0.02768
1997,4th Quintile,Other religious community,0.01018,62,2650,0.00636,0.01400
1997,4th Quintile,Non-denominational,0.24907,766,2650,0.23260,0.26554
1997,5th Quintile,Catholic,0.34292,791,2379,0.32384,0.36200
1997,5th Quintile,Protestant,0.35546,803,2379,0.33622,0.37470
1997,5th Quintile,Other Christian community,0.02184,75,2379,0.01597,0.02772
1997,5th Quintile,Non-denominational,0.27494,710,2379,0.25699,0.29288
2003,1st Quintile,Catholic,0.26306,805,3381,0.24822,0.27790
2003,1st Quintile,Protestant,0.32171,996,3381,0.30596,0.33746
2003,1st Quintile,Other Christian community,0.03174,119,3381,0.02583,0.03765
2003,1st Quintile,Other religious community,0.10209,379,3381,0.09188,0.11230
2003,1st Quintile,Non-denominational,0.28141,1082,3381,0.26625,0.29657
2003,2nd Quintile,Catholic,0.32174,1108,3835,0.30695,0.33653
2003,2nd Quintile,Protestant,0.34890,1235,3835,0.33382,0.36399
2003,2nd Quintile,Other Christian community,0.02016,86,3835,0.01571,0.02461
2003,2nd Quintile,Other religious community,0.04207,213,3835,0.03572,0.04843
2003,2nd Quintile,Non-denominational,0.26712,1193,3835,0.25312,0.28113
2003,3rd Quintile,Catholic,0.31914,1180,4049,0.30478,0.33350
2003,3rd Quintile,Protestant,0.35678,1384,4049,0.34202,0.37153
2003,3rd Quintile,Other Christian community,0.01924,100,4049,0.01501,0.02348
2003,3rd Quintile,Other religious community,0.02558,140,4049,0.02072,0.03044
2003,3rd Quintile,Non-denominational,0.27926,1245,4049,0.26544,0.29308
2003,4th Quintile,Catholic,0.34057,1489,4436,0.32662,0.35452
2003,4th Quintile,Protestant,0.34728,1468,4436,0.33327,0.36129
2003,4th Quintile,Other Christian community,0.02038,93,4436,0.01622,0.02454
2003,4th Quintile,Other religious community,0.01343,77,4436,0.01004,0.01682
2003,4th Quintile,Non-denominational,0.27834,1309,4436,0.26514,0.29153
2003,5th Quintile,Catholic,0.32663,1998,6320,0.31507,0.33820
2003,5th Quintile,Protestant,0.37102,2285,6320,0.35910,0.38293
2003,5th Quintile,Other Christian community,0.01699,106,6320,0.01380,0.02018
2003,5th Quintile,Other religious community,0.00936,54,6320,0.00699,0.01174
2003,5th Quintile,Non-denominational,0.27600,1877,6320,0.26498,0.28702
2007,1st Quintile,Catholic,0.24853,720,3175,0.23350,0.26356
2007,1st Quintile,Protestant,0.31330,978,3175,0.29716,0.32944
2007,1st Quintile,Other Christian community,0.03838,119,3175,0.03169,0.04506
2007,1st Quintile,Islamic community,0.08666,289,3175,0.07687,0.09645
2007,1st Quintile,Non-denominational,0.30632,1069,3175,0.29028,0.32235
2007,2nd Quintile,Catholic,0.29400,959,3493,0.27889,0.30911
2007,2nd Quintile,Protestant,0.36628,1264,3493,0.35030,0.38226
2007,2nd Quintile,Other Christian community,0.02683,80,3493,0.02147,0.03219
2007,2nd Quintile,Islamic community,0.04875,154,3493,0.04160,0.05589
2007,2nd Quintile,Non-denominational,0.26130,1036,3493,0.24672,0.27587
2007,3rd Quintile,Catholic,0.31984,1162,3856,0.30511,0.33456
2007,3rd Quintile,Protestant,0.33237,1302,3856,0.31750,0.34724
2007,3rd Quintile,Other Christian community,0.02358,96,3856,0.01879,0.02837
2007,3rd Quintile,Islamic community,0.03344,105,3856,0.02777,0.03912
2007,3rd Quintile,Non-denominational,0.28800,1191,3856,0.27371,0.30230
2007,4th Quintile,Catholic,0.31754,1323,4308,0.30364,0.33144
2007,4th Quintile,Protestant,0.35724,1558,4308,0.34293,0.37155
2007,4th Quintile,Other Christian community,0.02503,104,4308,0.02036,0.02969
2007,4th Quintile,Islamic community,0.01560,54,4308,0.01190,0.01930
2007,4th Quintile,Non-denominational,0.28298,1269,4308,0.26953,0.29643
2007,5th Quintile,Catholic,0.34136,1783,5554,0.32888,0.35383
2007,5th Quintile,Protestant,0.35282,1980,5554,0.34025,0.36538
2007,5th Quintile,Other Christian community,0.02181,105,5554,0.01797,0.02565
2007,5th Quintile,Non-denominational,0.27878,1686,5554,0.26699,0.29057
2011,1st Quintile,Catholic,0.24690,580,2469,0.22989,0.26391
2011,1st Quintile,Protestant,0.30737,745,2469,0.28916,0.32557
2011,1st Quintile,Other Christian community,0.03044,75,2469,0.02366,0.03722
2011,1st Quintile,Islamic community,0.06353,166,2469,0.05391,0.07315
2011,1st Quintile,Non-denominational,0.34640,903,2469,0.32763,0.36517
2011,2nd Quintile,Catholic,0.28363,678,2713,0.26666,0.30059
2011,2nd Quintile,Protestant,0.35852,961,2713,0.34047,0.37657
2011,2nd Quintile,Other Christian community,0.02280,59,2713,0.01718,0.02841
2011,2nd Quintile,Islamic community,0.03399,86,2713,0.02717,0.04081
2011,2nd Quintile,Non-denominational,0.29917,929,2713,0.28194,0.31641
2011,3rd Quintile,Catholic,0.28595,863,3048,0.26990,0.30199
2011,3rd Quintile,Protestant,0.34676,1035,3048,0.32986,0.36366
2011,3rd Quintile,Other Christian community,0.02206,61,3048,0.01684,0.02727
2011,3rd Quintile,Islamic community,0.01875,62,3048,0.01394,0.02357
2011,3rd Quintile,Non-denominational,0.31969,1027,3048,0.30313,0.33624
2011,4th Quintile,Catholic,0.32439,1045,3278,0.30836,0.34042
2011,4th Quintile,Protestant,0.34111,1136,3278,0.32487,0.35734
2011,4th Quintile,Other Christian community,0.01787,63,3278,0.01334,0.02241
2011,4th Quintile,Islamic community,0.01275,31,3278,0.00891,0.01660
2011,4th Quintile,Non-denominational,0.30217,1003,3278,0.28645,0.31789
2011,5th Quintile,Catholic,0.32924,1207,4051,0.31476,0.34371
2011,5th Quintile,Protestant,0.33041,1410,4051,0.31593,0.34490
2011,5th Quintile,Other Christian community,0.01816,68,4051,0.01404,0.02227
2011,5th Quintile,Non-denominational,0.31303,1366,4051,0.29875,0.32731
2015,1st Quintile,Catholic,0.23825,1108,5047,0.22649,0.25000
2015,1st Quintile,Protestant,0.29299,1356,5047,0.28043,0.30555
2015,1st Quintile,Other Christian community,0.02030,156,5047,0.01641,0.02420
2015,1st Quintile,Islamic community,0.06241,359,5047,0.05574,0.06908
2015,1st Quintile,Other religious community,0.01277,80,5047,0.00967,0.01587
2015,1st Quintile,Non-denominational,0.31865,1642,5047,0.30579,0.33151
2015,1st Quintile,Christian orthodox,0.00972,119,5047,0.00701,0.01243
2015,1st Quintile,Sunni denomination,0.03865,227,5047,0.03333,0.04397
2015,2nd Quintile,Catholic,0.28156,1404,5212,0.26935,0.29377
2015,2nd Quintile,Protestant,0.31646,1496,5212,0.30383,0.32909
2015,2nd Quintile,Other Christian community,0.02493,149,5212,0.02070,0.02916
2015,2nd Quintile,Islamic community,0.02058,153,5212,0.01673,0.02444
2015,2nd Quintile,Other religious community,0.00323,34,5212,0.00169,0.00477
2015,2nd Quintile,Non-denominational,0.32623,1767,5212,0.31350,0.33896
2015,2nd Quintile,Christian orthodox,0.00751,120,5212,0.00516,0.00985
2015,2nd Quintile,Sunni denomination,0.01641,89,5212,0.01296,0.01986
2015,3rd Quintile,Catholic,0.30068,1442,4789,0.28769,0.31367
2015,3rd Quintile,Protestant,0.32915,1539,4789,0.31584,0.34246
2015,3rd Quintile,Other Christian community,0.01603,110,4789,0.01247,0.01959
2015,3rd Quintile,Islamic community,0.01369,82,4789,0.01040,0.01698
2015,3rd Quintile,Non-denominational,0.32268,1510,4789,0.30944,0.33592
2015,3rd Quintile,Christian orthodox,0.00392,65,4789,0.00215,0.00569
2015,3rd Quintile,Sunni denomination,0.00781,41,4789,0.00532,0.01031
2015,4th Quintile,Catholic,0.30615,1436,4703,0.29298,0.31933
2015,4th Quintile,Protestant,0.32633,1547,4703,0.31293,0.33973
2015,4th Quintile,Other Christian community,0.01867,94,4703,0.01480,0.02254
2015,4th Quintile,Islamic community,0.00670,47,4703,0.00437,0.00903
2015,4th Quintile,Non-denominational,0.33138,1530,4703,0.31793,0.34484
2015,4th Quintile,Christian orthodox,0.00317,49,4703,0.00157,0.00478
2015,5th Quintile,Catholic,0.31722,1588,5053,0.30439,0.33006
2015,5th Quintile,Protestant,0.31889,1631,5053,0.30604,0.33174
2015,5th Quintile,Other Christian community,0.02126,92,5053,0.01728,0.02524
2015,5th Quintile,Non-denominational,0.33232,1694,5053,0.31933,0.34530
