,Unnamed: 0,year,migback,pgisced97,plh0185,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2007,No migration background,Pre-primary Level,Very seldom,0.48984,131,19528,0.41833,0.57049
1,1,2007,No migration background,Pre-primary Level,Seldom,0.31585,82,19528,0.26037,0.37536
2,2,2007,No migration background,Pre-primary Level,Sometimes,0.19431,45,19528,0.14907,0.25105
3,3,2007,No migration background,Primary Level,Very seldom,1.0,31,19528,0.7596,1.29549
4,4,2007,No migration background,Lower Secondary Level,Very seldom,0.35558,567,19528,0.33582,0.37276
5,5,2007,No migration background,Lower Secondary Level,Seldom,0.31186,488,19528,0.29412,0.33084
6,6,2007,No migration background,Lower Secondary Level,Sometimes,0.21044,322,19528,0.194,0.22596
7,7,2007,No migration background,Lower Secondary Level,Often,0.09927,147,19528,0.08777,0.11144
8,8,2007,No migration background,Lower Secondary Level,Very often,0.02286,35,19528,0.01797,0.02783
9,9,2007,No migration background,Upper Secondary Level,Very seldom,0.39669,3719,19528,0.38566,0.40611
10,10,2007,No migration background,Upper Secondary Level,Seldom,0.32081,2919,19528,0.31084,0.32996
11,11,2007,No migration background,Upper Secondary Level,Sometimes,0.19771,1782,19528,0.1907,0.20529
12,12,2007,No migration background,Upper Secondary Level,Often,0.0659,571,19528,0.06102,0.0703
13,13,2007,No migration background,Upper Secondary Level,Very often,0.01888,165,19528,0.01664,0.02198
14,14,2007,No migration background,Post-secondary Non-tertiary Level,Very seldom,0.39101,357,19528,0.36461,0.42891
15,15,2007,No migration background,Post-secondary Non-tertiary Level,Seldom,0.31578,282,19528,0.28768,0.34617
16,16,2007,No migration background,Post-secondary Non-tertiary Level,Sometimes,0.20325,175,19528,0.17618,0.232
17,17,2007,No migration background,Post-secondary Non-tertiary Level,Often,0.08996,79,19528,0.07371,0.1074
18,18,2007,No migration background,First Stage of Tertiary Education,Very seldom,0.43436,599,19528,0.40219,0.46377
19,19,2007,No migration background,First Stage of Tertiary Education,Seldom,0.34603,446,19528,0.31612,0.37636
20,20,2007,No migration background,First Stage of Tertiary Education,Sometimes,0.16112,236,19528,0.14277,0.17905
21,21,2007,No migration background,First Stage of Tertiary Education,Often,0.05849,71,19528,0.04758,0.07271
22,22,2007,No migration background,Second Stage of Tertiary Education,Very seldom,0.43105,1754,19528,0.41116,0.44902
23,23,2007,No migration background,Second Stage of Tertiary Education,Seldom,0.32655,1292,19528,0.30779,0.34323
24,24,2007,No migration background,Second Stage of Tertiary Education,Sometimes,0.17322,689,19528,0.16142,0.18553
25,25,2007,No migration background,Second Stage of Tertiary Education,Often,0.0577,178,19528,0.04996,0.06576
