year,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Much Too Small,0.02343,218,5857,0.01956,0.02730
1984,A Bit Too Small,0.12512,914,5857,0.11665,0.13360
1984,Just Right,0.75935,4303,5857,0.74841,0.77030
1984,A Bit Too Large,0.07874,363,5857,0.07184,0.08564
1984,Much Too Large,0.01335,59,5857,0.01041,0.01629
1985,Much Too Small,0.02281,183,5238,0.01877,0.02685
1985,A Bit Too Small,0.11329,759,5238,0.10470,0.12187
1985,Just Right,0.77132,3909,5238,0.75995,0.78270
1985,A Bit Too Large,0.08040,336,5238,0.07304,0.08777
1985,Much Too Large,0.01218,51,5238,0.00921,0.01515
1986,Much Too Small,0.01982,148,4994,0.01595,0.02368
1986,A Bit Too Small,0.11520,699,4994,0.10635,0.12406
1986,Just Right,0.77349,3783,4994,0.76187,0.78510
1986,A Bit Too Large,0.08090,324,4994,0.07334,0.08847
1986,Much Too Large,0.01059,40,4994,0.00775,0.01343
1987,Much Too Small,0.01704,123,4939,0.01343,0.02065
1987,A Bit Too Small,0.10891,665,4939,0.10022,0.11760
1987,Just Right,0.78321,3786,4939,0.77172,0.79470
1987,A Bit Too Large,0.08260,330,4939,0.07492,0.09028
1987,Much Too Large,0.00824,35,4939,0.00572,0.01076
1988,Much Too Small,0.01640,117,4714,0.01277,0.02002
1988,A Bit Too Small,0.10745,614,4714,0.09860,0.11629
1988,Just Right,0.78709,3668,4714,0.77540,0.79877
1988,A Bit Too Large,0.08116,315,4714,0.07336,0.08895
1989,Much Too Small,0.01606,114,4594,0.01242,0.01969
1989,A Bit Too Small,0.10626,592,4594,0.09734,0.11517
1989,Just Right,0.78803,3573,4594,0.77621,0.79985
1989,A Bit Too Large,0.08154,315,4594,0.07363,0.08945
1990,Much Too Small,0.02446,265,6710,0.02076,0.02815
1990,A Bit Too Small,0.12847,1091,6710,0.12047,0.13648
1990,Just Right,0.76774,4928,6710,0.75764,0.77785
1990,A Bit Too Large,0.07109,381,6710,0.06494,0.07724
1990,Much Too Large,0.00824,45,6710,0.00608,0.01040
1991,Much Too Small,0.02616,260,6500,0.02228,0.03004
1991,A Bit Too Small,0.15856,1212,6500,0.14968,0.16744
1991,Just Right,0.72730,4579,6500,0.71647,0.73813
1991,A Bit Too Large,0.07962,406,6500,0.07304,0.08621
1991,Much Too Large,0.00835,43,6500,0.00614,0.01057
1992,Much Too Small,0.02548,259,6492,0.02165,0.02932
1992,A Bit Too Small,0.15856,1223,6492,0.14967,0.16745
1992,Just Right,0.72684,4539,6492,0.71600,0.73768
1992,A Bit Too Large,0.08207,438,6492,0.07540,0.08875
1992,Much Too Large,0.00704,33,6492,0.00501,0.00908
1993,Much Too Small,0.02494,243,6457,0.02113,0.02874
1993,A Bit Too Small,0.15982,1199,6457,0.15088,0.16876
1993,Just Right,0.72185,4508,6457,0.71092,0.73278
1993,A Bit Too Large,0.08576,469,6457,0.07893,0.09259
1993,Much Too Large,0.00763,38,6457,0.00550,0.00975
1994,Much Too Small,0.02316,233,6355,0.01946,0.02686
1994,A Bit Too Small,0.15369,1123,6355,0.14482,0.16256
1994,Just Right,0.72422,4474,6355,0.71323,0.73521
1994,A Bit Too Large,0.09036,478,6355,0.08331,0.09741
1994,Much Too Large,0.00857,47,6355,0.00630,0.01083
1995,Much Too Small,0.02255,224,6606,0.01897,0.02613
1995,A Bit Too Small,0.15457,1177,6606,0.14585,0.16329
1995,Just Right,0.71638,4641,6606,0.70551,0.72725
1995,A Bit Too Large,0.09711,521,6606,0.08997,0.10425
1995,Much Too Large,0.00939,43,6606,0.00706,0.01172
1996,Much Too Small,0.01923,199,6563,0.01590,0.02255
1996,A Bit Too Small,0.15240,1137,6563,0.14371,0.16110
1996,Just Right,0.71310,4640,6563,0.70216,0.72404
1996,A Bit Too Large,0.10636,544,6563,0.09890,0.11382
1996,Much Too Large,0.00891,43,6563,0.00663,0.01118
1997,Much Too Small,0.01722,158,6498,0.01406,0.02039
1997,A Bit Too Small,0.15666,1118,6498,0.14782,0.16550
1997,Just Right,0.71318,4664,6498,0.70218,0.72417
1997,A Bit Too Large,0.10494,520,6498,0.09749,0.11239
1997,Much Too Large,0.00800,38,6498,0.00583,0.01017
1998,Much Too Small,0.02246,192,7270,0.01906,0.02587
1998,A Bit Too Small,0.14555,1151,7270,0.13744,0.15365
1998,Just Right,0.71275,5194,7270,0.70235,0.72316
1998,A Bit Too Large,0.10851,672,7270,0.10136,0.11566
1998,Much Too Large,0.01073,61,7270,0.00836,0.01309
1999,Much Too Small,0.01584,147,7108,0.01294,0.01874
1999,A Bit Too Small,0.14659,1117,7108,0.13837,0.15482
1999,Just Right,0.73052,5196,7108,0.72021,0.74084
1999,A Bit Too Large,0.10006,607,7108,0.09309,0.10704
1999,Much Too Large,0.00698,41,7108,0.00504,0.00892
