,Unnamed: 0,year,hhtyp,hgseval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Single-person household,Much Too Small,0.01891,38,5704,0.01597,0.02236
1,1,1984,Single-person household,A Bit Too Small,0.0912,137,5704,0.08638,0.09589
2,2,1984,Single-person household,Just Right,0.75414,956,5704,0.73963,0.76866
3,3,1984,Single-person household,A Bit Too Large,0.10905,122,5704,0.10435,0.11353
4,4,1984,Single-person household,Much Too Large,0.0267,34,5704,0.02432,0.0293
5,5,1984,Couple without children,A Bit Too Small,0.10553,157,5704,0.09843,0.11194
6,6,1984,Couple without children,Just Right,0.81275,1069,5704,0.79502,0.83111
7,7,1984,Couple without children,A Bit Too Large,0.08172,96,5704,0.07836,0.08419
8,8,1984,Single parent,A Bit Too Small,0.14651,48,5704,0.12515,0.16657
9,9,1984,Single parent,Just Right,0.85349,241,5704,0.80996,0.88964
10,10,1984,Couple with children,Much Too Small,0.03933,141,5704,0.03459,0.04512
11,11,1984,Couple with children,A Bit Too Small,0.1699,523,5704,0.15895,0.17903
12,12,1984,Couple with children,Just Right,0.74104,1855,5704,0.72578,0.76164
13,13,1984,Couple with children,A Bit Too Large,0.04973,105,5704,0.0465,0.05322
14,14,1984,Multi-generational household,Just Right,1.0,83,5704,0.87836,1.10825
15,15,1984,Other Combinations,Just Right,1.0,99,5704,0.94126,1.05374
16,16,1985,Single-person household,Much Too Small,0.02088,33,5077,0.01744,0.02516
17,17,1985,Single-person household,A Bit Too Small,0.09094,121,5077,0.08436,0.09671
18,18,1985,Single-person household,Just Right,0.78225,848,5077,0.76546,0.80113
19,19,1985,Single-person household,A Bit Too Large,0.10593,106,5077,0.10091,0.11148
20,20,1985,Couple without children,A Bit Too Small,0.07981,111,5077,0.07359,0.0869
21,21,1985,Couple without children,Just Right,0.83138,981,5077,0.81057,0.85013
22,22,1985,Couple without children,A Bit Too Large,0.08881,98,5077,0.08391,0.09282
23,23,1985,Single parent,A Bit Too Small,0.15714,49,5077,0.13586,0.18041
24,24,1985,Single parent,Just Right,0.84286,206,5077,0.79689,0.8995
25,25,1985,Couple with children,Much Too Small,0.03425,111,5077,0.02919,0.03973
26,26,1985,Couple with children,A Bit Too Small,0.16096,444,5077,0.15202,0.16889
27,27,1985,Couple with children,Just Right,0.75271,1697,5077,0.73244,0.77461
28,28,1985,Couple with children,A Bit Too Large,0.05207,95,5077,0.04934,0.0556
29,29,1985,Multi-generational household,Just Right,1.0,83,5077,0.88203,1.10871
30,30,1985,Other Combinations,Just Right,1.0,94,5077,0.92705,1.06792
31,31,1986,Single-person household,Much Too Small,0.02109,31,4857,0.01668,0.02507
32,32,1986,Single-person household,A Bit Too Small,0.10492,130,4857,0.09917,0.11306
33,33,1986,Single-person household,Just Right,0.77733,792,4857,0.75684,0.79772
34,34,1986,Single-person household,A Bit Too Large,0.09667,92,4857,0.09176,0.10317
35,35,1986,Couple without children,A Bit Too Small,0.08849,109,4857,0.08157,0.09591
36,36,1986,Couple without children,Just Right,0.81993,974,4857,0.79688,0.84146
37,37,1986,Couple without children,A Bit Too Large,0.09158,96,4857,0.08621,0.09665
38,38,1986,Single parent,A Bit Too Small,0.13442,39,4857,0.10537,0.15843
39,39,1986,Single parent,Just Right,0.86558,202,4857,0.80752,0.92385
40,40,1986,Couple with children,Much Too Small,0.02699,88,4857,0.022,0.03172
41,41,1986,Couple with children,A Bit Too Small,0.14939,390,4857,0.13785,0.15863
42,42,1986,Couple with children,Just Right,0.76573,1634,4857,0.74584,0.78299
43,43,1986,Couple with children,A Bit Too Large,0.05789,99,4857,0.05427,0.06066
44,44,1986,Multi-generational household,Just Right,1.0,87,4857,0.85965,1.14482
45,45,1986,Other Combinations,Just Right,1.0,94,4857,0.89628,1.11888
46,46,1987,Single-person household,A Bit Too Small,0.09762,120,4784,0.08974,0.10606
47,47,1987,Single-person household,Just Right,0.8003,813,4784,0.77383,0.81977
48,48,1987,Single-person household,A Bit Too Large,0.10208,96,4784,0.09577,0.10702
49,49,1987,Couple without children,A Bit Too Small,0.08706,106,4784,0.08045,0.0943
50,50,1987,Couple without children,Just Right,0.81736,957,4784,0.79719,0.83675
51,51,1987,Couple without children,A Bit Too Large,0.09558,104,4784,0.09035,0.10126
52,52,1987,Single parent,A Bit Too Small,0.11868,38,4784,0.08909,0.14555
53,53,1987,Single parent,Just Right,0.88132,202,4784,0.83309,0.92754
54,54,1987,Couple with children,Much Too Small,0.02167,68,4784,0.01764,0.02587
55,55,1987,Couple with children,A Bit Too Small,0.14357,370,4784,0.13447,0.15357
56,56,1987,Couple with children,Just Right,0.77709,1635,4784,0.75647,0.79698
57,57,1987,Couple with children,A Bit Too Large,0.05768,96,4784,0.05354,0.0614
58,58,1987,Multi-generational household,Just Right,1.0,85,4784,0.87357,1.14636
59,59,1987,Other Combinations,Just Right,1.0,94,4784,0.90782,1.1053
60,60,1988,Single-person household,A Bit Too Small,0.09623,107,4605,0.08923,0.10379
61,61,1988,Single-person household,Just Right,0.80009,795,4605,0.78077,0.81796
62,62,1988,Single-person household,A Bit Too Large,0.10368,94,4605,0.09883,0.10963
63,63,1988,Couple without children,A Bit Too Small,0.09422,112,4605,0.08428,0.10291
64,64,1988,Couple without children,Just Right,0.81763,934,4605,0.79209,0.83944
65,65,1988,Couple without children,A Bit Too Large,0.08816,97,4605,0.08123,0.09379
66,66,1988,Single parent,A Bit Too Small,0.13886,44,4605,0.11502,0.16731
67,67,1988,Single parent,Just Right,0.86114,200,4605,0.81243,0.91645
68,68,1988,Couple with children,Much Too Small,0.01768,58,4605,0.01408,0.02164
69,69,1988,Couple with children,A Bit Too Small,0.13397,326,4605,0.12453,0.14537
70,70,1988,Couple with children,Just Right,0.78685,1585,4605,0.76534,0.80931
71,71,1988,Couple with children,A Bit Too Large,0.0615,99,4605,0.05685,0.06554
72,72,1988,Multi-generational household,Just Right,1.0,75,4605,0.81683,1.1795
73,73,1988,Other Combinations,Just Right,1.0,79,4605,0.88444,1.12485
74,74,1989,Single-person household,A Bit Too Small,0.09764,114,4478,0.08825,0.10594
75,75,1989,Single-person household,Just Right,0.8021,796,4478,0.77919,0.82105
76,76,1989,Single-person household,A Bit Too Large,0.10026,91,4478,0.09439,0.10549
77,77,1989,Couple without children,A Bit Too Small,0.09739,111,4478,0.08911,0.10825
78,78,1989,Couple without children,Just Right,0.81621,921,4478,0.79437,0.84047
79,79,1989,Couple without children,A Bit Too Large,0.0864,93,4478,0.07875,0.09395
80,80,1989,Single parent,A Bit Too Small,0.12508,34,4478,0.09615,0.15567
81,81,1989,Single parent,Just Right,0.87492,188,4478,0.823,0.93539
82,82,1989,Couple with children,Much Too Small,0.01771,54,4478,0.01423,0.0217
83,83,1989,Couple with children,A Bit Too Small,0.12693,304,4478,0.11696,0.13922
84,84,1989,Couple with children,Just Right,0.79038,1517,4478,0.76974,0.81664
85,85,1989,Couple with children,A Bit Too Large,0.06498,104,4478,0.06058,0.07042
86,86,1989,Multi-generational household,Just Right,1.0,77,4478,0.80878,1.19449
87,87,1989,Other Combinations,Just Right,1.0,74,4478,0.88329,1.12941
88,88,1990,Single-person household,A Bit Too Small,0.11326,158,6524,0.10655,0.12087
89,89,1990,Single-person household,Just Right,0.79721,1009,6524,0.7779,0.81931
90,90,1990,Single-person household,A Bit Too Large,0.08953,107,6524,0.08205,0.09606
91,91,1990,Couple without children,Much Too Small,0.0183,37,6524,0.01553,0.02109
92,92,1990,Couple without children,A Bit Too Small,0.10448,183,6524,0.09642,0.11147
93,93,1990,Couple without children,Just Right,0.8049,1316,6524,0.78027,0.82884
94,94,1990,Couple without children,A Bit Too Large,0.07231,109,6524,0.06545,0.07859
95,95,1990,Single parent,A Bit Too Small,0.16386,65,6524,0.1336,0.19402
96,96,1990,Single parent,Just Right,0.83614,274,6524,0.78499,0.89796
97,97,1990,Couple with children,Much Too Small,0.03877,170,6524,0.03521,0.04246
98,98,1990,Couple with children,A Bit Too Small,0.16455,641,6524,0.15571,0.17461
99,99,1990,Couple with children,Just Right,0.74176,2099,6524,0.71848,0.76534
100,100,1990,Couple with children,A Bit Too Large,0.05492,126,6524,0.05097,0.05855
101,101,1990,Multi-generational household,Just Right,1.0,124,6524,0.86734,1.17744
102,102,1990,Other Combinations,Just Right,1.0,106,6524,0.88766,1.11141
103,103,1991,Single-person household,A Bit Too Small,0.12212,155,6335,0.11444,0.13075
104,104,1991,Single-person household,Just Right,0.77531,936,6335,0.75435,0.79721
105,105,1991,Single-person household,A Bit Too Large,0.10257,126,6335,0.09552,0.10965
106,106,1991,Couple without children,A Bit Too Small,0.12014,202,6335,0.11051,0.12849
107,107,1991,Couple without children,Just Right,0.77413,1235,6335,0.75012,0.79738
108,108,1991,Couple without children,A Bit Too Large,0.10574,144,6335,0.09783,0.11154
109,109,1991,Single parent,A Bit Too Small,0.18637,71,6335,0.15772,0.21427
110,110,1991,Single parent,Just Right,0.81363,264,6335,0.75964,0.86883
111,111,1991,Couple with children,Much Too Small,0.04445,173,6335,0.03966,0.04926
112,112,1991,Couple with children,A Bit Too Small,0.2282,719,6335,0.21619,0.24066
113,113,1991,Couple with children,Just Right,0.68311,1943,6335,0.66359,0.70268
114,114,1991,Couple with children,A Bit Too Large,0.04424,101,6335,0.03953,0.04993
115,115,1991,Multi-generational household,A Bit Too Small,0.20365,32,6335,0.13327,0.30488
116,116,1991,Multi-generational household,Just Right,0.79635,105,6335,0.68273,0.92606
117,117,1991,Other Combinations,A Bit Too Small,0.2576,33,6335,0.21132,0.31057
118,118,1991,Other Combinations,Just Right,0.7424,96,6335,0.65774,0.8404
119,119,1992,Single-person household,A Bit Too Small,0.12127,159,6331,0.11336,0.12882
120,120,1992,Single-person household,Just Right,0.77893,957,6331,0.7562,0.80277
121,121,1992,Single-person household,A Bit Too Large,0.0998,124,6331,0.09271,0.10684
122,122,1992,Couple without children,Much Too Small,0.01917,39,6331,0.01353,0.02492
123,123,1992,Couple without children,A Bit Too Small,0.11551,203,6331,0.1054,0.12458
124,124,1992,Couple without children,Just Right,0.76445,1265,6331,0.74251,0.78823
125,125,1992,Couple without children,A Bit Too Large,0.10088,151,6331,0.09191,0.11075
126,126,1992,Single parent,A Bit Too Small,0.18954,69,6331,0.16189,0.22098
127,127,1992,Single parent,Just Right,0.81046,271,6331,0.73718,0.86363
128,128,1992,Couple with children,Much Too Small,0.04359,165,6331,0.03811,0.04867
129,129,1992,Couple with children,A Bit Too Small,0.23559,728,6331,0.22232,0.24762
130,130,1992,Couple with children,Just Right,0.66804,1837,6331,0.64371,0.69006
131,131,1992,Couple with children,A Bit Too Large,0.05278,120,6331,0.0477,0.0582
132,132,1992,Multi-generational household,Just Right,1.0,92,6331,0.80646,1.18541
133,133,1992,Other Combinations,A Bit Too Small,0.20912,34,6331,0.16564,0.24977
134,134,1992,Other Combinations,Just Right,0.79088,117,6331,0.69939,0.90582
135,135,1993,Single-person household,A Bit Too Small,0.12067,158,6299,0.11093,0.13012
136,136,1993,Single-person household,Just Right,0.77159,988,6299,0.74739,0.79247
137,137,1993,Single-person household,A Bit Too Large,0.10774,145,6299,0.09885,0.11595
138,138,1993,Couple without children,Much Too Small,0.01679,39,6299,0.01223,0.02232
139,139,1993,Couple without children,A Bit Too Small,0.12484,218,6299,0.11439,0.1364
140,140,1993,Couple without children,Just Right,0.74946,1258,6299,0.72561,0.77112
141,141,1993,Couple without children,A Bit Too Large,0.10891,169,6299,0.10049,0.11973
142,142,1993,Single parent,A Bit Too Small,0.20654,70,6299,0.18279,0.24168
143,143,1993,Single parent,Just Right,0.79346,256,6299,0.73758,0.85388
144,144,1993,Couple with children,Much Too Small,0.03929,148,6299,0.03445,0.04517
145,145,1993,Couple with children,A Bit Too Small,0.23109,686,6299,0.2182,0.24639
146,146,1993,Couple with children,Just Right,0.67756,1792,6299,0.65397,0.70018
147,147,1993,Couple with children,A Bit Too Large,0.05206,118,6299,0.045,0.05909
148,148,1993,Multi-generational household,Just Right,1.0,106,6299,0.85281,1.13804
149,149,1993,Other Combinations,A Bit Too Small,0.2348,40,6299,0.19334,0.28828
150,150,1993,Other Combinations,Just Right,0.7652,108,6299,0.67602,0.86525
151,151,1994,Single-person household,A Bit Too Small,0.11322,150,6180,0.10454,0.12212
152,152,1994,Single-person household,Just Right,0.7766,981,6180,0.7503,0.80317
153,153,1994,Single-person household,A Bit Too Large,0.11019,153,6180,0.10135,0.11978
154,154,1994,Couple without children,A Bit Too Small,0.1272,230,6180,0.11323,0.13728
155,155,1994,Couple without children,Just Right,0.7603,1283,6180,0.73822,0.78517
156,156,1994,Couple without children,A Bit Too Large,0.1125,169,6180,0.10319,0.12343
157,157,1994,Single parent,A Bit Too Small,0.20931,69,6180,0.17815,0.25388
158,158,1994,Single parent,Just Right,0.79069,249,6180,0.70971,0.8621
159,159,1994,Couple with children,Much Too Small,0.04339,158,6180,0.03781,0.04913
160,160,1994,Couple with children,A Bit Too Small,0.2199,614,6180,0.20602,0.23183
161,161,1994,Couple with children,Just Right,0.67621,1746,6180,0.64989,0.69855
162,162,1994,Couple with children,A Bit Too Large,0.0605,124,6180,0.0534,0.06814
163,163,1994,Multi-generational household,Just Right,1.0,100,6180,0.81586,1.17904
164,164,1994,Other Combinations,A Bit Too Small,0.27313,39,6180,0.2251,0.3247
165,165,1994,Other Combinations,Just Right,0.72687,115,6180,0.63487,0.83041
166,166,1995,Single-person household,A Bit Too Small,0.1255,178,6472,0.11314,0.13793
167,167,1995,Single-person household,Just Right,0.76538,1029,6472,0.74106,0.78833
168,168,1995,Single-person household,A Bit Too Large,0.10912,145,6472,0.09884,0.11987
169,169,1995,Couple without children,Much Too Small,0.01273,34,6472,0.00948,0.01604
170,170,1995,Couple without children,A Bit Too Small,0.10478,206,6472,0.09441,0.11502
171,171,1995,Couple without children,Just Right,0.7579,1356,6472,0.73294,0.78562
172,172,1995,Couple without children,A Bit Too Large,0.1246,194,6472,0.11372,0.13889
173,173,1995,Single parent,A Bit Too Small,0.24194,77,6472,0.20372,0.28508
174,174,1995,Single parent,Just Right,0.75806,249,6472,0.69753,0.83031
175,175,1995,Couple with children,Much Too Small,0.04341,145,6472,0.038,0.0511
176,176,1995,Couple with children,A Bit Too Small,0.22277,644,6472,0.20863,0.23843
177,177,1995,Couple with children,Just Right,0.6738,1808,6472,0.65181,0.69437
178,178,1995,Couple with children,A Bit Too Large,0.06001,136,6472,0.05359,0.06654
179,179,1995,Multi-generational household,A Bit Too Small,0.28492,32,6472,0.21103,0.3592
180,180,1995,Multi-generational household,Just Right,0.71508,87,6472,0.59565,0.85171
181,181,1995,Other Combinations,A Bit Too Small,0.27834,40,6472,0.22148,0.34183
182,182,1995,Other Combinations,Just Right,0.72166,112,6472,0.61824,0.81882
183,183,1996,Single-person household,A Bit Too Small,0.11937,161,6394,0.10842,0.12869
184,184,1996,Single-person household,Just Right,0.75472,1047,6394,0.72884,0.78164
185,185,1996,Single-person household,A Bit Too Large,0.1259,161,6394,0.11458,0.13553
186,186,1996,Couple without children,A Bit Too Small,0.11308,217,6394,0.10245,0.12495
187,187,1996,Couple without children,Just Right,0.75659,1367,6394,0.73203,0.78446
188,188,1996,Couple without children,A Bit Too Large,0.13034,198,6394,0.11941,0.14358
189,189,1996,Single parent,A Bit Too Small,0.18888,69,6394,0.16241,0.23105
190,190,1996,Single parent,Just Right,0.6923,262,6394,0.62862,0.75323
191,191,1996,Single parent,A Bit Too Large,0.11882,35,6394,0.09775,0.13983
192,192,1996,Couple with children,Much Too Small,0.034,119,6394,0.02856,0.04084
193,193,1996,Couple with children,A Bit Too Small,0.22393,630,6394,0.20829,0.23956
194,194,1996,Couple with children,Just Right,0.67784,1772,6394,0.65352,0.70403
195,195,1996,Couple with children,A Bit Too Large,0.06422,130,6394,0.05677,0.07323
196,196,1996,Multi-generational household,Just Right,1.0,85,6394,0.83009,1.18401
197,197,1996,Other Combinations,A Bit Too Small,0.28698,34,6394,0.22365,0.34988
198,198,1996,Other Combinations,Just Right,0.71302,107,6394,0.62335,0.8138
199,199,1997,Single-person household,A Bit Too Small,0.1347,188,6325,0.12435,0.14763
200,200,1997,Single-person household,Just Right,0.73352,998,6325,0.70686,0.75736
201,201,1997,Single-person household,A Bit Too Large,0.13178,159,6325,0.12266,0.14335
202,202,1997,Couple without children,A Bit Too Small,0.11266,220,6325,0.10091,0.12832
203,203,1997,Couple without children,Just Right,0.76477,1424,6325,0.73527,0.79024
204,204,1997,Couple without children,A Bit Too Large,0.12257,191,6325,0.1099,0.13416
205,205,1997,Single parent,A Bit Too Small,0.18168,59,6325,0.15319,0.20892
206,206,1997,Single parent,Just Right,0.81832,286,6325,0.74683,0.88319
